//====================================================
// Aeon Disk
//=====================================================
//"DOTA_Tooltip_Ability_item_aeon_disk"                                           "Aeon Disk"
//"DOTA_Tooltip_Ability_item_recipe_aeon_disk"                                    "Aeon Disk Recipe"
"DOTA_Tooltip_ability_item_aeon_disk_Description"                               "<h1>Passive: Combo Breaker</h1> When you take damage and your health falls below %health_threshold_pct%%%, a strong dispel is applied and you gain a %buff_duration% second buff that provides +%status_resistance%%% Status Resistance and causes all damage you deal and are dealt to be reduced to zero. Only triggers on player based damage.<br/><br/>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Strong Dispel</span>" // Cooldown increases every time it triggers.
//"DOTA_Tooltip_ability_item_aeon_disk_lore"                                      "A powerful artifact long ago smuggled out of the Ivory Incubarium. Or so many believe."
//"DOTA_Tooltip_ability_item_aeon_disk_bonus_health"                              "+$health"
//"DOTA_Tooltip_ability_item_aeon_disk_bonus_mana"                                "+$mana"
//"DOTA_Tooltip_ability_item_aeon_disk_cooldown_duration"                         "COOLDOWN:"

//"DOTA_Tooltip_modifier_item_aeon_disk_buff"                                     "Combo Breaker"
//"DOTA_Tooltip_modifier_item_aeon_disk_buff_Description"                         "All incoming and outgoing damage negated."

"DOTA_Tooltip_Ability_item_aeon_disk_oaa_1"                                     "#{DOTA_Tooltip_Ability_item_aeon_disk}"
"DOTA_Tooltip_Ability_item_recipe_aeon_disk_oaa_1"                              "#{DOTA_Tooltip_Ability_item_recipe_aeon_disk}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_1_Description"                         "#{DOTA_Tooltip_ability_item_aeon_disk_Description}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_1_lore"                                "#{DOTA_Tooltip_ability_item_aeon_disk_lore}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_1_bonus_health"                        "#{DOTA_Tooltip_ability_item_aeon_disk_bonus_health}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_1_bonus_mana"                          "#{DOTA_Tooltip_ability_item_aeon_disk_bonus_mana}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_1_bonus_health_regen"                  "+$hp_regen"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_1_bonus_mana_regen"                    "+$mana_regen"
"DOTA_Tooltip_Ability_item_aeon_disk_oaa_1_cooldown_tooltip"                    "#{DOTA_Tooltip_ability_item_aeon_disk_cooldown_duration}"

"DOTA_Tooltip_Ability_item_aeon_disk_oaa_2"                                     "#{DOTA_Tooltip_Ability_item_aeon_disk}"
"DOTA_Tooltip_Ability_item_recipe_aeon_disk_oaa_2"                              "#{DOTA_Tooltip_Ability_item_recipe_aeon_disk}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_2_Description"                         "#{DOTA_Tooltip_ability_item_aeon_disk_Description}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_2_lore"                                "#{DOTA_Tooltip_ability_item_aeon_disk_lore}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_2_bonus_health"                        "#{DOTA_Tooltip_ability_item_aeon_disk_bonus_health}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_2_bonus_mana"                          "#{DOTA_Tooltip_ability_item_aeon_disk_bonus_mana}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_2_bonus_health_regen"                  "#{DOTA_Tooltip_ability_item_aeon_disk_oaa_1_bonus_health_regen}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_2_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_aeon_disk_oaa_1_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_aeon_disk_oaa_2_cooldown_tooltip"                    "#{DOTA_Tooltip_ability_item_aeon_disk_cooldown_duration}"

"DOTA_Tooltip_Ability_item_aeon_disk_oaa_3"                                     "#{DOTA_Tooltip_Ability_item_aeon_disk}"
"DOTA_Tooltip_Ability_item_recipe_aeon_disk_oaa_3"                              "#{DOTA_Tooltip_Ability_item_recipe_aeon_disk}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_3_Description"                         "#{DOTA_Tooltip_ability_item_aeon_disk_Description}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_3_lore"                                "#{DOTA_Tooltip_ability_item_aeon_disk_lore}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_3_bonus_health"                        "#{DOTA_Tooltip_ability_item_aeon_disk_bonus_health}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_3_bonus_mana"                          "#{DOTA_Tooltip_ability_item_aeon_disk_bonus_mana}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_3_bonus_health_regen"                  "#{DOTA_Tooltip_ability_item_aeon_disk_oaa_1_bonus_health_regen}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_3_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_aeon_disk_oaa_1_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_aeon_disk_oaa_3_cooldown_tooltip"                    "#{DOTA_Tooltip_ability_item_aeon_disk_cooldown_duration}"

"DOTA_Tooltip_Ability_item_aeon_disk_oaa_4"                                     "#{DOTA_Tooltip_Ability_item_aeon_disk}"
"DOTA_Tooltip_Ability_item_recipe_aeon_disk_oaa_4"                              "#{DOTA_Tooltip_Ability_item_recipe_aeon_disk}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_4_Description"                         "#{DOTA_Tooltip_ability_item_aeon_disk_Description}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_4_lore"                                "#{DOTA_Tooltip_ability_item_aeon_disk_lore}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_4_bonus_health"                        "#{DOTA_Tooltip_ability_item_aeon_disk_bonus_health}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_4_bonus_mana"                          "#{DOTA_Tooltip_ability_item_aeon_disk_bonus_mana}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_4_bonus_health_regen"                  "#{DOTA_Tooltip_ability_item_aeon_disk_oaa_1_bonus_health_regen}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_4_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_aeon_disk_oaa_1_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_aeon_disk_oaa_4_cooldown_tooltip"                    "#{DOTA_Tooltip_ability_item_aeon_disk_cooldown_duration}"

"DOTA_Tooltip_Ability_item_aeon_disk_oaa_5"                                     "#{DOTA_Tooltip_Ability_item_aeon_disk}"
"DOTA_Tooltip_Ability_item_recipe_aeon_disk_oaa_5"                              "#{DOTA_Tooltip_Ability_item_recipe_aeon_disk}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_5_Description"                         "#{DOTA_Tooltip_ability_item_aeon_disk_Description}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_5_lore"                                "#{DOTA_Tooltip_ability_item_aeon_disk_lore}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_5_bonus_health"                        "#{DOTA_Tooltip_ability_item_aeon_disk_bonus_health}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_5_bonus_mana"                          "#{DOTA_Tooltip_ability_item_aeon_disk_bonus_mana}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_5_bonus_health_regen"                  "#{DOTA_Tooltip_ability_item_aeon_disk_oaa_1_bonus_health_regen}"
"DOTA_Tooltip_ability_item_aeon_disk_oaa_5_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_aeon_disk_oaa_1_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_aeon_disk_oaa_5_cooldown_tooltip"                    "#{DOTA_Tooltip_ability_item_aeon_disk_cooldown_duration}"

"DOTA_Tooltip_modifier_item_aeon_disk_oaa_buff"                                 "#{DOTA_Tooltip_modifier_item_aeon_disk_buff}"
"DOTA_Tooltip_modifier_item_aeon_disk_oaa_buff_Description"                     "#{DOTA_Tooltip_modifier_item_aeon_disk_buff_Description}"
