//==================================================================+
// Azazel's Walls
//==================================================================+
"DOTA_Tooltip_Ability_item_azazel_wall_1"                    "Azazel's Wall"
"DOTA_Tooltip_Ability_item_azazel_wall_1_Description"        "Summons a Wall blocking passage perpendicular to bearer at target location."
"DOTA_Tooltip_Ability_item_azazel_wall_1_construction_time"  "CONSTRUCTION TIME:"
"DOTA_Tooltip_Ability_item_azazel_wall_1_health"             "MAX HEALTH:"
"DOTA_Tooltip_Ability_item_azazel_wall_1_Lore"               " "

"DOTA_Tooltip_Ability_item_azazel_wall_2"                    "#{DOTA_Tooltip_Ability_item_azazel_wall_1}"
"DOTA_Tooltip_Ability_item_azazel_wall_2_Description"        "#{DOTA_Tooltip_Ability_item_azazel_wall_1_Description}"
"DOTA_Tooltip_Ability_item_azazel_wall_2_construction_time"  "#{DOTA_Tooltip_Ability_item_azazel_wall_1_construction_time}"
"DOTA_Tooltip_Ability_item_azazel_wall_2_health"             "#{DOTA_Tooltip_Ability_item_azazel_wall_1_health}"
"DOTA_Tooltip_Ability_item_azazel_wall_2_Lore"               "#{DOTA_Tooltip_Ability_item_azazel_wall_1_Lore}"

"DOTA_Tooltip_Ability_item_azazel_wall_3"                    "#{DOTA_Tooltip_Ability_item_azazel_wall_1}"
"DOTA_Tooltip_Ability_item_azazel_wall_3_Description"        "#{DOTA_Tooltip_Ability_item_azazel_wall_1_Description}"
"DOTA_Tooltip_Ability_item_azazel_wall_3_construction_time"  "#{DOTA_Tooltip_Ability_item_azazel_wall_1_construction_time}"
"DOTA_Tooltip_Ability_item_azazel_wall_3_health"             "#{DOTA_Tooltip_Ability_item_azazel_wall_1_health}"
"DOTA_Tooltip_Ability_item_azazel_wall_3_Lore"               "#{DOTA_Tooltip_Ability_item_azazel_wall_1_Lore}"

"DOTA_Tooltip_Ability_item_azazel_wall_4"                    "#{DOTA_Tooltip_Ability_item_azazel_wall_1}"
"DOTA_Tooltip_Ability_item_azazel_wall_4_Description"        "#{DOTA_Tooltip_Ability_item_azazel_wall_1_Description}"
"DOTA_Tooltip_Ability_item_azazel_wall_4_construction_time"  "#{DOTA_Tooltip_Ability_item_azazel_wall_1_construction_time}"
"DOTA_Tooltip_Ability_item_azazel_wall_4_health"             "#{DOTA_Tooltip_Ability_item_azazel_wall_1_health}"
"DOTA_Tooltip_Ability_item_azazel_wall_4_Lore"               "#{DOTA_Tooltip_Ability_item_azazel_wall_1_Lore}"
