//=============================================================================
// Battlefury
//=============================================================================
//"DOTA_Tooltip_Ability_item_bfury"                                               "Battle Fury"
//"DOTA_Tooltip_Ability_item_recipe_bfury"                                        "Battle Fury Recipe"
"DOTA_Tooltip_ability_item_bfury_Description"                                   "<h1>Active: Chop Tree</h1> Destroy a target tree.<br><br>Cast Range: %abilitycastrange%\n<h1>Passive: Quell</h1> Increases attack damage against non-hero units by %quelling_bonus%. \n<h1>Passive: Cleave</h1> Deals %cleave_damage_percent%%% of attack damage as physical damage in a cone up to %cleave_distance% around the target. Deals %cleave_damage_percent_creep%%% against creeps. (Melee Only)"
//"DOTA_Tooltip_ability_item_bfury_Lore"                                          "The bearer of this mighty axe gains the ability to cut down swaths of enemies at once."
"DOTA_Tooltip_ability_item_bfury_Note0"                                         "Cleave damage is reduced by armor value."
"DOTA_Tooltip_ability_item_bfury_Note1"                                         "If multiple sources of Cleave are present, each Cleave's damage is applied separately."
//"DOTA_Tooltip_ability_item_bfury_bonus_damage"                                  "+$damage"
//"DOTA_Tooltip_ability_item_bfury_bonus_health_regen"                            "+$hp_regen"
//"DOTA_Tooltip_ability_item_bfury_bonus_mana_regen"                              "+$mana_regen"

"DOTA_Tooltip_Ability_item_recipe_small_cleaver_oaa"                            "Small Cleaver Recipe"
"DOTA_Tooltip_Ability_item_small_cleaver_oaa"                                   "Small Cleaver"
"DOTA_Tooltip_Ability_item_small_cleaver_oaa_Description"                       "<h1>Active: Chop Tree</h1> Destroy a target tree.<br><br>Cast Range: %abilitycastrange%\n<h1>Passive: Quell</h1> Increases attack damage against non-hero units by %quelling_bonus%. \n<h1>Passive: Minor Cleave</h1> Deals %cleave_damage_percent_creep%%% of attack damage as physical damage in a cone up to %cleave_distance% around the target against creeps only. (Melee Only)"
"DOTA_Tooltip_Ability_item_small_cleaver_oaa_Lore"                              "Small cleaving axe."
"DOTA_Tooltip_Ability_item_small_cleaver_oaa_Note0"                             "#{DOTA_Tooltip_ability_item_bfury_Note0}"
"DOTA_Tooltip_Ability_item_small_cleaver_oaa_Note1"                             "#{DOTA_Tooltip_ability_item_bfury_Note1}"
"DOTA_Tooltip_Ability_item_small_cleaver_oaa_bonus_damage"                      "#{DOTA_Tooltip_ability_item_bfury_bonus_damage}"

"DOTA_Tooltip_Ability_item_bfury_2"                                             "#{DOTA_Tooltip_Ability_item_bfury}"
"DOTA_Tooltip_Ability_item_recipe_bfury_2"                                      "#{DOTA_Tooltip_Ability_item_recipe_bfury}"
"DOTA_Tooltip_Ability_item_bfury_2_Description"                                 "#{DOTA_Tooltip_ability_item_bfury_Description}"
"DOTA_Tooltip_Ability_item_bfury_2_Lore"                                        "#{DOTA_Tooltip_ability_item_bfury_Lore}"
"DOTA_Tooltip_Ability_item_bfury_2_Note0"                                       "#{DOTA_Tooltip_ability_item_bfury_Note0}"
"DOTA_Tooltip_Ability_item_bfury_2_Note1"                                       "#{DOTA_Tooltip_ability_item_bfury_Note1}"
"DOTA_Tooltip_Ability_item_bfury_2_bonus_damage"                                "#{DOTA_Tooltip_ability_item_bfury_bonus_damage}"
"DOTA_Tooltip_Ability_item_bfury_2_bonus_health_regen"                          "#{DOTA_Tooltip_ability_item_bfury_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_bfury_2_bonus_mana_regen"                            "#{DOTA_Tooltip_ability_item_bfury_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_bfury_3"                                             "#{DOTA_Tooltip_Ability_item_bfury}"
"DOTA_Tooltip_Ability_item_recipe_bfury_3"                                      "#{DOTA_Tooltip_Ability_item_recipe_bfury_2}"
"DOTA_Tooltip_Ability_item_bfury_3_Description"                                 "#{DOTA_Tooltip_ability_item_bfury_Description}"
"DOTA_Tooltip_Ability_item_bfury_3_Lore"                                        "#{DOTA_Tooltip_ability_item_bfury_Lore}"
"DOTA_Tooltip_Ability_item_bfury_3_Note0"                                       "#{DOTA_Tooltip_ability_item_bfury_Note0}"
"DOTA_Tooltip_Ability_item_bfury_3_Note1"                                       "#{DOTA_Tooltip_ability_item_bfury_Note1}"
"DOTA_Tooltip_Ability_item_bfury_3_bonus_damage"                                "#{DOTA_Tooltip_ability_item_bfury_bonus_damage}"
"DOTA_Tooltip_Ability_item_bfury_3_bonus_health_regen"                          "#{DOTA_Tooltip_ability_item_bfury_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_bfury_3_bonus_mana_regen"                            "#{DOTA_Tooltip_ability_item_bfury_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_bfury_4"                                             "#{DOTA_Tooltip_Ability_item_bfury}"
"DOTA_Tooltip_Ability_item_recipe_bfury_4"                                      "#{DOTA_Tooltip_Ability_item_recipe_bfury_2}"
"DOTA_Tooltip_Ability_item_bfury_4_Description"                                 "#{DOTA_Tooltip_ability_item_bfury_Description}"
"DOTA_Tooltip_Ability_item_bfury_4_Lore"                                        "#{DOTA_Tooltip_ability_item_bfury_Lore}"
"DOTA_Tooltip_Ability_item_bfury_4_Note0"                                       "#{DOTA_Tooltip_ability_item_bfury_Note0}"
"DOTA_Tooltip_Ability_item_bfury_4_Note1"                                       "#{DOTA_Tooltip_ability_item_bfury_Note1}"
"DOTA_Tooltip_Ability_item_bfury_4_bonus_damage"                                "#{DOTA_Tooltip_ability_item_bfury_bonus_damage}"
"DOTA_Tooltip_Ability_item_bfury_4_bonus_health_regen"                          "#{DOTA_Tooltip_ability_item_bfury_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_bfury_4_bonus_mana_regen"                            "#{DOTA_Tooltip_ability_item_bfury_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_bfury_5"                                             "#{DOTA_Tooltip_Ability_item_bfury}"
"DOTA_Tooltip_Ability_item_recipe_bfury_5"                                      "#{DOTA_Tooltip_Ability_item_recipe_bfury_2}"
"DOTA_Tooltip_Ability_item_bfury_5_Description"                                 "#{DOTA_Tooltip_ability_item_bfury_Description}"
"DOTA_Tooltip_Ability_item_bfury_5_Lore"                                        "#{DOTA_Tooltip_ability_item_bfury_Lore}"
"DOTA_Tooltip_Ability_item_bfury_5_Note0"                                       "#{DOTA_Tooltip_ability_item_bfury_Note0}"
"DOTA_Tooltip_Ability_item_bfury_5_Note1"                                       "#{DOTA_Tooltip_ability_item_bfury_Note1}"
"DOTA_Tooltip_Ability_item_bfury_5_bonus_damage"                                "#{DOTA_Tooltip_ability_item_bfury_bonus_damage}"
"DOTA_Tooltip_Ability_item_bfury_5_bonus_health_regen"                          "#{DOTA_Tooltip_ability_item_bfury_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_bfury_5_bonus_mana_regen"                            "#{DOTA_Tooltip_ability_item_bfury_bonus_mana_regen}"
