//=============================================================================
// Battlefury OAA
//=============================================================================
"DOTA_Tooltip_Ability_item_bfury_oaa_1"                                         "#{DOTA_Tooltip_Ability_item_bfury}"
"DOTA_Tooltip_Ability_item_recipe_bfury_oaa_1"                                  "#{DOTA_Tooltip_Ability_item_recipe_bfury}"
//"DOTA_Tooltip_Ability_item_bfury_oaa_1_Description"                             "#{DOTA_Tooltip_ability_item_bfury_Description}<br/><br/><font color='#FFA500'>Cleave no longer pierces armor.</font>""
"DOTA_Tooltip_Ability_item_bfury_oaa_1_Description"                             "<h1>Passive: Cleave</h1> Deals %cleave_damage_percent%%% of attack damage as physical damage in a cone up to %cleave_distance% around the target. (Melee Only)<br/><br/><font color='#FFA500'>Cleave no longer pierces armor.</font>"
"DOTA_Tooltip_Ability_item_bfury_oaa_1_Lore"                                    "#{DOTA_Tooltip_ability_item_bfury_Lore}"
"DOTA_Tooltip_Ability_item_bfury_oaa_1_Note0"                                   "Cleave damage is reduced by both armor type and armor value." // Replaces DOTA_Tooltip_ability_item_bfury_Note0
"DOTA_Tooltip_Ability_item_bfury_oaa_1_Note1"                                   "#{DOTA_Tooltip_ability_item_bfury_Note1}"
"DOTA_Tooltip_Ability_item_bfury_oaa_1_Note2"                                   "#{DOTA_Tooltip_ability_item_bfury_Note2}"
//"DOTA_Tooltip_Ability_item_bfury_oaa_1_Note3"                                   "#{DOTA_Tooltip_ability_item_bfury_Note3}" // Chop can be used to destroy Techies' Remote Mines.
"DOTA_Tooltip_Ability_item_bfury_oaa_1_bonus_damage"                            "#{DOTA_Tooltip_ability_item_bfury_bonus_damage}"
"DOTA_Tooltip_Ability_item_bfury_oaa_1_bonus_health_regen"                      "#{DOTA_Tooltip_ability_item_bfury_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_bfury_oaa_1_bonus_mana_regen"                        "#{DOTA_Tooltip_ability_item_bfury_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_bfury_oaa_2"                                         "#{DOTA_Tooltip_Ability_item_bfury_oaa_1}"
"DOTA_Tooltip_Ability_item_recipe_bfury_oaa_2"                                  "#{DOTA_Tooltip_Ability_item_recipe_bfury_oaa_1}"
"DOTA_Tooltip_Ability_item_bfury_oaa_2_Description"                             "#{DOTA_Tooltip_Ability_item_bfury_oaa_1_Description}"
"DOTA_Tooltip_Ability_item_bfury_oaa_2_Lore"                                    "#{DOTA_Tooltip_Ability_item_bfury_oaa_1_Lore}"
"DOTA_Tooltip_Ability_item_bfury_oaa_2_Note0"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_1_Note0}"
"DOTA_Tooltip_Ability_item_bfury_oaa_2_Note1"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_1_Note1}"
"DOTA_Tooltip_Ability_item_bfury_oaa_2_Note2"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_1_Note2}"
//"DOTA_Tooltip_Ability_item_bfury_oaa_2_Note3"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_1_Note3}"
"DOTA_Tooltip_Ability_item_bfury_oaa_2_bonus_damage"                            "#{DOTA_Tooltip_Ability_item_bfury_oaa_1_bonus_damage}"
"DOTA_Tooltip_Ability_item_bfury_oaa_2_bonus_health_regen"                      "#{DOTA_Tooltip_Ability_item_bfury_oaa_1_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_bfury_oaa_2_bonus_mana_regen"                        "#{DOTA_Tooltip_Ability_item_bfury_oaa_1_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_bfury_oaa_3"                                         "#{DOTA_Tooltip_Ability_item_bfury_oaa_2}"
"DOTA_Tooltip_Ability_item_recipe_bfury_oaa_3"                                  "#{DOTA_Tooltip_Ability_item_recipe_bfury_oaa_2}"
"DOTA_Tooltip_Ability_item_bfury_oaa_3_Description"                             "#{DOTA_Tooltip_Ability_item_bfury_oaa_2_Description}"
"DOTA_Tooltip_Ability_item_bfury_oaa_3_Lore"                                    "#{DOTA_Tooltip_Ability_item_bfury_oaa_2_Lore}"
"DOTA_Tooltip_Ability_item_bfury_oaa_3_Note0"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_2_Note0}"
"DOTA_Tooltip_Ability_item_bfury_oaa_3_Note1"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_2_Note1}"
"DOTA_Tooltip_Ability_item_bfury_oaa_3_Note2"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_2_Note2}"
//"DOTA_Tooltip_Ability_item_bfury_oaa_3_Note3"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_2_Note3}"
"DOTA_Tooltip_Ability_item_bfury_oaa_3_bonus_damage"                            "#{DOTA_Tooltip_Ability_item_bfury_oaa_2_bonus_damage}"
"DOTA_Tooltip_Ability_item_bfury_oaa_3_bonus_health_regen"                      "#{DOTA_Tooltip_Ability_item_bfury_oaa_2_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_bfury_oaa_3_bonus_mana_regen"                        "#{DOTA_Tooltip_Ability_item_bfury_oaa_2_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_bfury_oaa_4"                                         "#{DOTA_Tooltip_Ability_item_bfury_oaa_3}"
"DOTA_Tooltip_Ability_item_recipe_bfury_oaa_4"                                  "#{DOTA_Tooltip_Ability_item_recipe_bfury_oaa_3}"
"DOTA_Tooltip_Ability_item_bfury_oaa_4_Description"                             "#{DOTA_Tooltip_Ability_item_bfury_oaa_3_Description}"
"DOTA_Tooltip_Ability_item_bfury_oaa_4_Lore"                                    "#{DOTA_Tooltip_Ability_item_bfury_oaa_3_Lore}"
"DOTA_Tooltip_Ability_item_bfury_oaa_4_Note0"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_3_Note0}"
"DOTA_Tooltip_Ability_item_bfury_oaa_4_Note1"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_3_Note1}"
"DOTA_Tooltip_Ability_item_bfury_oaa_4_Note2"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_3_Note2}"
//"DOTA_Tooltip_Ability_item_bfury_oaa_4_Note3"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_3_Note3}"
"DOTA_Tooltip_Ability_item_bfury_oaa_4_bonus_damage"                            "#{DOTA_Tooltip_Ability_item_bfury_oaa_3_bonus_damage}"
"DOTA_Tooltip_Ability_item_bfury_oaa_4_bonus_health_regen"                      "#{DOTA_Tooltip_Ability_item_bfury_oaa_3_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_bfury_oaa_4_bonus_mana_regen"                        "#{DOTA_Tooltip_Ability_item_bfury_oaa_3_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_bfury_oaa_5"                                         "#{DOTA_Tooltip_Ability_item_bfury_oaa_4}"
"DOTA_Tooltip_Ability_item_recipe_bfury_oaa_5"                                  "#{DOTA_Tooltip_Ability_item_recipe_bfury_oaa_4}"
"DOTA_Tooltip_Ability_item_bfury_oaa_5_Description"                             "#{DOTA_Tooltip_Ability_item_bfury_oaa_4_Description}"
"DOTA_Tooltip_Ability_item_bfury_oaa_5_Lore"                                    "#{DOTA_Tooltip_Ability_item_bfury_oaa_4_Lore}"
"DOTA_Tooltip_Ability_item_bfury_oaa_5_Note0"                                   "#{DOTA_Tooltip_Ability_item_bfury_oaa_4_Note0}"
