//==========================================================================
// Black King Bar
//==========================================================================

//"DOTA_Tooltip_Ability_item_black_king_bar"                                      "Black King Bar"
//"DOTA_Tooltip_Ability_item_recipe_black_king_bar"                               "Black King Bar Recipe"
//"DOTA_Tooltip_ability_item_black_king_bar_Description"                          "<h1>Active: Avatar</h1> Applies a basic dispel. Grants %magic_resist%%% Magic resistance and immunity to pure and reflected damage. For the duration of the effect, any negative effect from enemy spells has no effect. <br><br>Duration: %duration% <br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
//"DOTA_Tooltip_ability_item_black_king_bar_Lore"                                 "A powerful staff imbued with the strength of giants."
//"DOTA_Tooltip_ability_item_black_king_bar_Note0"                                "Purchasing another Black King Bar will not reset its immunity duration."
//"DOTA_Tooltip_ability_item_black_king_bar_Note1"                                "Abilities that pierce magic immunity will work fully even when Avatar is activated"
//"DOTA_Tooltip_ability_item_black_king_bar_bonus_strength"                       "+$str"
//"DOTA_Tooltip_ability_item_black_king_bar_bonus_damage"                         "+$damage"

"DOTA_Tooltip_Ability_item_black_king_bar_1"                                    "#{DOTA_Tooltip_Ability_item_black_king_bar}"
"DOTA_Tooltip_Ability_item_recipe_black_king_bar_1"                             "#{DOTA_Tooltip_Ability_item_recipe_black_king_bar}"
"DOTA_Tooltip_ability_item_black_king_bar_1_Description"                        "<h1>Active: Avatar</h1> Grants Debuff Immunity and %magic_resist%%% Magic resistance. Debuff Immunity: most debuffs and stuns from enemy spells will have no effect + immunity to reflected damage and some pure damage spells. <br><br>Duration: %duration% seconds. <br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
"DOTA_Tooltip_ability_item_black_king_bar_1_Lore"                               "#{DOTA_Tooltip_ability_item_black_king_bar_Lore}"
"DOTA_Tooltip_ability_item_black_king_bar_1_Note0"                              "Using Black King Bar will not decrease its duration."
"DOTA_Tooltip_ability_item_black_king_bar_1_bonus_strength"                     "#{DOTA_Tooltip_ability_item_black_king_bar_bonus_strength}"
"DOTA_Tooltip_ability_item_black_king_bar_1_bonus_damage"                       "#{DOTA_Tooltip_ability_item_black_king_bar_bonus_damage}"

//"DOTA_Tooltip_modifier_black_king_bar_immune"                                   "Black King Bar"
"DOTA_Tooltip_modifier_black_king_bar_immune_Description"                       "Bonus magic resistance and Debuff Immunity."

