//==========================================================================
// Blade Mail
//==========================================================================

"DOTA_Tooltip_Ability_item_blade_mail_2"                                "Blade Mail"
"DOTA_Tooltip_Ability_item_recipe_blade_mail_2"                         "Blade Mail Recipe"
"DOTA_Tooltip_Ability_item_blade_mail_2_Description"                    "Active: Damage Return - Reflects any damage taken back to the unit that dealt the damage.  Lasts %duration% seconds."
"DOTA_Tooltip_Ability_item_blade_mail_2_Lore"                           "A razor-sharp coat of mail, it is the choice of selfless martyrs in combat."
"DOTA_Tooltip_Ability_item_blade_mail_2_Note0"                          "Damage Return is calculated before any kind of reduction."
"DOTA_Tooltip_Ability_item_blade_mail_2_Note1"                          "Damage Return doesn't reflect damage from other forms of Blademail."
"DOTA_Tooltip_Ability_item_blade_mail_2_Note2"                          "Returned damage type is the same as it was received."
"DOTA_Tooltip_Ability_item_blade_mail_2_Note3"                          "Can pierce Spell Immunity if the original damage type does."
"DOTA_Tooltip_Ability_item_blade_mail_2_bonus_damage"                   "+$damage"
"DOTA_Tooltip_Ability_item_blade_mail_2_bonus_armor"                    "+$armor"
"DOTA_Tooltip_Ability_item_blade_mail_2_bonus_intellect"                "+$int"
"DOTA_Tooltip_Ability_item_blade_mail_2_duration"                       "DAMAGE RETURN DURATION:"

"DOTA_Tooltip_Ability_item_blade_mail_3"                                "Blade Mail"
"DOTA_Tooltip_Ability_item_recipe_blade_mail_3"                         "Blade Mail Recipe"
"DOTA_Tooltip_Ability_item_blade_mail_3_Description"                    "Active: Damage Return - Reflects any damage taken back to the unit that dealt the damage.  Lasts %duration% seconds."
"DOTA_Tooltip_Ability_item_blade_mail_3_Lore"                           "A razor-sharp coat of mail, it is the choice of selfless martyrs in combat."
"DOTA_Tooltip_Ability_item_blade_mail_3_Note0"                          "Damage Return is calculated before any kind of reduction."
"DOTA_Tooltip_Ability_item_blade_mail_3_Note1"                          "Damage Return doesn't reflect damage from other forms of Blademail."
"DOTA_Tooltip_Ability_item_blade_mail_3_Note2"                          "Returned damage type is the same as it was received."
"DOTA_Tooltip_Ability_item_blade_mail_3_Note3"                          "Can pierce Spell Immunity if the original damage type does."
"DOTA_Tooltip_Ability_item_blade_mail_3_bonus_damage"                   "+$damage"
"DOTA_Tooltip_Ability_item_blade_mail_3_bonus_armor"                    "+$armor"
"DOTA_Tooltip_Ability_item_blade_mail_3_bonus_intellect"                "+$int"
"DOTA_Tooltip_Ability_item_blade_mail_3_duration"                       "DAMAGE RETURN DURATION:"
