//===============================================================================
// Bubble Orb
//===============================================================================
"DOTA_Tooltip_Ability_item_bubble_orb_1"                                            "Bubble Orb"
"DOTA_Tooltip_Ability_item_bubble_orb_1_Description"                                "<h1>Active: Sanctum</h1> Creates a bubble for %duration% seconds that protects you from all spells and debuffs originating from the outside. Bubble knocks back enemies and dispels allies when created.<br><br>Radius: %radius%<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Strong Dispel</span>"
"DOTA_Tooltip_Ability_item_bubble_orb_1_bonus_health"                               "+$health"
"DOTA_Tooltip_Ability_item_bubble_orb_1_bonus_armor"                                "+$armor"
"DOTA_Tooltip_Ability_item_bubble_orb_1_bonus_health_regen"                         "+$hp_regen"
"DOTA_Tooltip_Ability_item_bubble_orb_1_bonus_mana_regen"                           "+$mana_regen"
"DOTA_Tooltip_Ability_item_bubble_orb_1_bonus_mana"                                 "+$mana"
"DOTA_Tooltip_Ability_item_bubble_orb_1_Lore"                                       "A very bubbly orb that becomes huge at will."

"DOTA_Tooltip_Ability_item_bubble_orb_2"                                            "#{DOTA_Tooltip_Ability_item_bubble_orb_1}"
"DOTA_Tooltip_Ability_item_bubble_orb_2_Description"                                "#{DOTA_Tooltip_Ability_item_bubble_orb_1_Description}"
"DOTA_Tooltip_Ability_item_bubble_orb_2_bonus_health"                               "#{DOTA_Tooltip_Ability_item_bubble_orb_1_bonus_health}"
"DOTA_Tooltip_Ability_item_bubble_orb_2_bonus_armor"                                "#{DOTA_Tooltip_Ability_item_bubble_orb_1_bonus_armor}"
"DOTA_Tooltip_Ability_item_bubble_orb_2_bonus_health_regen"                         "#{DOTA_Tooltip_Ability_item_bubble_orb_1_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_bubble_orb_2_bonus_mana_regen"                           "#{DOTA_Tooltip_Ability_item_bubble_orb_1_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_bubble_orb_2_bonus_mana"                                 "#{DOTA_Tooltip_Ability_item_bubble_orb_1_bonus_mana}"
"DOTA_Tooltip_Ability_item_bubble_orb_2_Lore"                                       "#{DOTA_Tooltip_Ability_item_bubble_orb_1_Lore}"

"DOTA_Tooltip_modifier_item_preemptive_bubble_block"                                "Bubble Orb Protection"
"DOTA_Tooltip_modifier_item_preemptive_bubble_block_Description"                    "Unit is protected from spells and debuffs originating from outside the bubble"
