//=====================================================================
// Butterfly (OAA version)
//=====================================================================
// "DOTA_Tooltip_Ability_item_butterfly"                                          "Butterfly"
// "DOTA_Tooltip_ability_item_butterfly_Note0"                                    "Stacks diminishingly with other sources of Evasion."
// "DOTA_Tooltip_ability_item_butterfly_Lore"                                     "Only the mightiest and most experienced of warriors can wield the Butterfly, but it provides incredible dexterity in combat."
// "DOTA_Tooltip_ability_item_butterfly_bonus_agility"                            "+$agi"
// "DOTA_Tooltip_ability_item_butterfly_bonus_evasion"                            "%+$evasion"
// "DOTA_Tooltip_ability_item_butterfly_bonus_attack_speed_pct"                   "%+$attack_pct"
// "DOTA_Tooltip_ability_item_butterfly_bonus_damage"                             "+$damage"
// "DOTA_Tooltip_modifier_item_butterfly_extra"                                   "Flutter"
// "DOTA_Tooltip_modifier_item_butterfly_extra_Description"                       "Affected by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% bonus movement speed."

"DOTA_Tooltip_Ability_item_butterfly_oaa"                                       "#{DOTA_Tooltip_Ability_item_butterfly}"
"DOTA_Tooltip_Ability_item_recipe_butterfly_oaa"                                "Butterfly Recipe"
"DOTA_Tooltip_Ability_item_butterfly_oaa_Description"                           "<h1>Active: Flutter</h1> Grants %buff_ms_per_agility%%% move speed for each point of Agility and %buff_evasion%%% evasion for %buff_duration% seconds."
"DOTA_Tooltip_Ability_item_butterfly_oaa_Lore"                                  "#{DOTA_Tooltip_ability_item_butterfly_Lore}"
"DOTA_Tooltip_Ability_item_butterfly_oaa_Note0"                                 "#{DOTA_Tooltip_ability_item_butterfly_Note0}"
"DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_agility"                         "+$agi"
"DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_damage"                          "+$damage"
"DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_evasion"                         "%+$evasion"
//"DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_attack_speed"                    "+$attack"
"DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_attack_speed_per_agility_pct"    "%+Agility Attack Speed"

"DOTA_Tooltip_Ability_item_butterfly_2"                                         "#{DOTA_Tooltip_Ability_item_butterfly}"
"DOTA_Tooltip_Ability_item_recipe_butterfly_2"                                  "#{DOTA_Tooltip_Ability_item_recipe_butterfly_oaa}"
"DOTA_Tooltip_Ability_item_butterfly_2_Description"                             "#{DOTA_Tooltip_Ability_item_butterfly_oaa_Description}"
"DOTA_Tooltip_ability_item_butterfly_2_Note0"                                   "#{DOTA_Tooltip_ability_item_butterfly_Note0}"
"DOTA_Tooltip_Ability_item_butterfly_2_Lore"                                    "#{DOTA_Tooltip_ability_item_butterfly_Lore}"
"DOTA_Tooltip_Ability_item_butterfly_2_bonus_agility"                           "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_agility}"
"DOTA_Tooltip_Ability_item_butterfly_2_bonus_damage"                            "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_damage}"
"DOTA_Tooltip_Ability_item_butterfly_2_bonus_evasion"                           "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_evasion}"
//"DOTA_Tooltip_Ability_item_butterfly_2_bonus_attack_speed"                      "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_butterfly_2_bonus_attack_speed_per_agility_pct"      "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_attack_speed_per_agility_pct}"

"DOTA_Tooltip_Ability_item_butterfly_3"                                         "#{DOTA_Tooltip_Ability_item_butterfly}"
"DOTA_Tooltip_Ability_item_recipe_butterfly_3"                                  "#{DOTA_Tooltip_Ability_item_recipe_butterfly_oaa}"
"DOTA_Tooltip_Ability_item_butterfly_3_Description"                             "#{DOTA_Tooltip_Ability_item_butterfly_oaa_Description}"
"DOTA_Tooltip_ability_item_butterfly_3_Note0"                                   "#{DOTA_Tooltip_ability_item_butterfly_Note0}"
"DOTA_Tooltip_Ability_item_butterfly_3_Lore"                                    "#{DOTA_Tooltip_ability_item_butterfly_Lore}"
"DOTA_Tooltip_Ability_item_butterfly_3_bonus_agility"                           "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_agility}"
"DOTA_Tooltip_Ability_item_butterfly_3_bonus_damage"                            "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_damage}"
"DOTA_Tooltip_Ability_item_butterfly_3_bonus_evasion"                           "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_evasion}"
//"DOTA_Tooltip_Ability_item_butterfly_3_bonus_attack_speed"                      "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_butterfly_3_bonus_attack_speed_per_agility_pct"      "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_attack_speed_per_agility_pct}"

"DOTA_Tooltip_Ability_item_butterfly_4"                                         "#{DOTA_Tooltip_Ability_item_butterfly}"
"DOTA_Tooltip_Ability_item_recipe_butterfly_4"                                  "#{DOTA_Tooltip_Ability_item_recipe_butterfly_oaa}"
"DOTA_Tooltip_Ability_item_butterfly_4_Description"                             "#{DOTA_Tooltip_Ability_item_butterfly_oaa_Description}"
"DOTA_Tooltip_ability_item_butterfly_4_Note0"                                   "#{DOTA_Tooltip_ability_item_butterfly_Note0}"
"DOTA_Tooltip_Ability_item_butterfly_4_Lore"                                    "#{DOTA_Tooltip_ability_item_butterfly_Lore}"
"DOTA_Tooltip_Ability_item_butterfly_4_bonus_agility"                           "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_agility}"
"DOTA_Tooltip_Ability_item_butterfly_4_bonus_damage"                            "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_damage}"
"DOTA_Tooltip_Ability_item_butterfly_4_bonus_evasion"                           "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_evasion}"
//"DOTA_Tooltip_Ability_item_butterfly_4_bonus_attack_speed"                      "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_butterfly_4_bonus_attack_speed_per_agility_pct"      "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_attack_speed_per_agility_pct}"

"DOTA_Tooltip_Ability_item_butterfly_5"                                         "#{DOTA_Tooltip_Ability_item_butterfly}"
"DOTA_Tooltip_Ability_item_recipe_butterfly_5"                                  "#{DOTA_Tooltip_Ability_item_recipe_butterfly_oaa}"
"DOTA_Tooltip_Ability_item_butterfly_5_Description"                             "#{DOTA_Tooltip_Ability_item_butterfly_oaa_Description}"
"DOTA_Tooltip_ability_item_butterfly_5_Note0"                                   "#{DOTA_Tooltip_ability_item_butterfly_Note0}"
"DOTA_Tooltip_Ability_item_butterfly_5_Lore"                                    "#{DOTA_Tooltip_ability_item_butterfly_Lore}"
"DOTA_Tooltip_Ability_item_butterfly_5_bonus_agility"                           "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_agility}"
"DOTA_Tooltip_Ability_item_butterfly_5_bonus_damage"                            "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_damage}"
"DOTA_Tooltip_Ability_item_butterfly_5_bonus_evasion"                           "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_evasion}"
//"DOTA_Tooltip_Ability_item_butterfly_5_bonus_attack_speed"                      "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_butterfly_5_bonus_attack_speed_per_agility_pct"      "#{DOTA_Tooltip_Ability_item_butterfly_oaa_bonus_attack_speed_per_agility_pct}"

"DOTA_Tooltip_modifier_item_butterfly_oaa_active"                               "#{DOTA_Tooltip_modifier_item_butterfly_extra}"
"DOTA_Tooltip_modifier_item_butterfly_oaa_active_Description"                   "%dMODIFIER_PROPERTY_EVASION_CONSTANT%%% evasion and %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% bonus move speed."
