// "DOTA_Tooltip_Ability_item_consecrated_wraps"                                  "Consecrated Wraps"
// "DOTA_Tooltip_Ability_item_recipe_consecrated_wraps"                           "Consecrated Wraps Recipe"
// "DOTA_Tooltip_ability_item_consecrated_wraps_Description"                      "<h1>Passive: Hallowed</h1> Gain a stack every %stack_gain_time%s, up to a maximum of %max_stacks% stacks. Upon gaining a stack, your movement speed is increased by %movement_speed_pct_on_stack_gain%%% for %duration%s.<br><br>Whenever you take damage from a player-controlled unit or Roshan, consume all stacks to gain an all damage barrier for %duration%s that absorbs %barrier_per_stack% damage per stack (%max_barrier_tooltip% max)."
// "DOTA_Tooltip_ability_item_consecrated_wraps_Note0"                            "Stacks cannot be gained for %stack_gain_time%s after you take damage from a player-controlled unit or Roshan."
// "DOTA_Tooltip_ability_item_consecrated_wraps_Note1"                            "Self-damage and HP Loss damage cannot remove stacks."
// "DOTA_Tooltip_ability_item_consecrated_wraps_Note2"                            "Movement speed buff does not stack."
// "DOTA_Tooltip_ability_item_consecrated_wraps_Note3"                            "Movement speed buff is only provided if you have reached maximum stacks at least once while the item is equipped."
// "DOTA_Tooltip_ability_item_consecrated_wraps_bonus_spell_resist"               "%+$spell_resist"
// "DOTA_Tooltip_ability_item_consecrated_wraps_bonus_all_stats"                  "+$all"
// "DOTA_Tooltip_ability_item_consecrated_wraps_bonus_health"                     "+$health"

"DOTA_Tooltip_Ability_item_consecrated_wraps_2"                                 "#{DOTA_Tooltip_Ability_item_consecrated_wraps}"
"DOTA_Tooltip_Ability_item_recipe_consecrated_wraps_2"                          "#{DOTA_Tooltip_Ability_item_recipe_consecrated_wraps}"
"DOTA_Tooltip_Ability_item_consecrated_wraps_2_Description"                     "#{DOTA_Tooltip_ability_item_consecrated_wraps_Description}"
"DOTA_Tooltip_ability_item_consecrated_wraps_2_bonus_spell_resist"              "#{DOTA_Tooltip_ability_item_consecrated_wraps_bonus_spell_resist}"
"DOTA_Tooltip_ability_item_consecrated_wraps_2_bonus_all_stats"                 "#{DOTA_Tooltip_ability_item_consecrated_wraps_bonus_all_stats}"
"DOTA_Tooltip_ability_item_consecrated_wraps_2_bonus_health"                    "#{DOTA_Tooltip_ability_item_consecrated_wraps_bonus_health}"

"DOTA_Tooltip_Ability_item_consecrated_wraps_3"                                 "#{DOTA_Tooltip_Ability_item_consecrated_wraps}"
"DOTA_Tooltip_Ability_item_recipe_consecrated_wraps_3"                          "#{DOTA_Tooltip_Ability_item_recipe_consecrated_wraps}"
"DOTA_Tooltip_Ability_item_consecrated_wraps_3_Description"                     "#{DOTA_Tooltip_ability_item_consecrated_wraps_Description}"
"DOTA_Tooltip_ability_item_consecrated_wraps_3_bonus_spell_resist"              "#{DOTA_Tooltip_ability_item_consecrated_wraps_bonus_spell_resist}"
"DOTA_Tooltip_ability_item_consecrated_wraps_3_bonus_all_stats"                 "#{DOTA_Tooltip_ability_item_consecrated_wraps_bonus_all_stats}"
"DOTA_Tooltip_ability_item_consecrated_wraps_3_bonus_health"                    "#{DOTA_Tooltip_ability_item_consecrated_wraps_bonus_health}"

"DOTA_Tooltip_Ability_item_consecrated_wraps_4"                                 "#{DOTA_Tooltip_Ability_item_consecrated_wraps}"
"DOTA_Tooltip_Ability_item_recipe_consecrated_wraps_4"                          "#{DOTA_Tooltip_Ability_item_recipe_consecrated_wraps}"
"DOTA_Tooltip_Ability_item_consecrated_wraps_4_Description"                     "#{DOTA_Tooltip_ability_item_consecrated_wraps_Description}"
"DOTA_Tooltip_ability_item_consecrated_wraps_4_bonus_spell_resist"              "#{DOTA_Tooltip_ability_item_consecrated_wraps_bonus_spell_resist}"
"DOTA_Tooltip_ability_item_consecrated_wraps_4_bonus_all_stats"                 "#{DOTA_Tooltip_ability_item_consecrated_wraps_bonus_all_stats}"
"DOTA_Tooltip_ability_item_consecrated_wraps_4_bonus_health"                    "#{DOTA_Tooltip_ability_item_consecrated_wraps_bonus_health}"

"DOTA_Tooltip_Ability_item_consecrated_wraps_5"                                 "#{DOTA_Tooltip_Ability_item_consecrated_wraps}"
"DOTA_Tooltip_Ability_item_recipe_consecrated_wraps_5"                          "#{DOTA_Tooltip_Ability_item_recipe_consecrated_wraps}"
"DOTA_Tooltip_Ability_item_consecrated_wraps_5_Description"                     "#{DOTA_Tooltip_ability_item_consecrated_wraps_Description}"
"DOTA_Tooltip_ability_item_consecrated_wraps_5_bonus_spell_resist"              "#{DOTA_Tooltip_ability_item_consecrated_wraps_bonus_spell_resist}"
"DOTA_Tooltip_ability_item_consecrated_wraps_5_bonus_all_stats"                 "#{DOTA_Tooltip_ability_item_consecrated_wraps_bonus_all_stats}"
"DOTA_Tooltip_ability_item_consecrated_wraps_5_bonus_health"                    "#{DOTA_Tooltip_ability_item_consecrated_wraps_bonus_health}"
