//==========================================
// CORES
//==========================================

"DOTA_Tooltip_Ability_item_reflex_core"                                             "Reflex Core"
"DOTA_Tooltip_Ability_item_reflex_core_Description"                                 "Reflex items are insane defensive items built from a Reflex Core. The second tier 1 boss you kill gives every player on your team a Reflex Core. Hold Alt for more info."
"DOTA_Tooltip_Ability_item_reflex_core_Note0"                                       "It is highly recommended that you build a reflex item."
"DOTA_Tooltip_Ability_item_reflex_core_Note1"                                       "Max Reflex Cores per player: 1"

"DOTA_Tooltip_Ability_item_farming_core"                                            "Farming Core"
"DOTA_Tooltip_Ability_item_farming_core_Description"                                "The Farming Core combines with your upgraded boots (e.g. Treads, Travels) to give it special abilities useful for farming. The first tier 1 boss you kill gives every player on your team a Farming Core. Hold Alt for more info."
"DOTA_Tooltip_Ability_item_farming_core_Note0"                                      "You should upgrade your boots as soon as possible."
"DOTA_Tooltip_Ability_item_farming_core_Note1"                                      "Max Farming Cores per player: 1"

"DOTA_Tooltip_Ability_item_upgrade_core"                                            "Upgrade Core 1"
"DOTA_Tooltip_Ability_item_upgrade_core_Description"                                "Upgrade Core 1, when combined with certain items, can upgrade them by one level, up to Level 2. You can use any higher level core as an Upgrade Core 1. Bosses reward you with at least one upgrade core. Hold Alt for more info."
"DOTA_Tooltip_Ability_item_upgrade_core_Note0"                                      "The level of a core depends upon the strength of the boss."
"DOTA_Tooltip_Ability_item_upgrade_core_Note1"                                      "Managing your cores and upgrading your items is essential to victory."

"DOTA_Tooltip_Ability_item_upgrade_core_2"                                          "Upgrade Core 2"
"DOTA_Tooltip_Ability_item_upgrade_core_2_Description"                              "Upgrade Core 2, when combined with certain  items, can upgrade them by one level, up to Level 3. You can use any higher level core as an Upgrade Core 2. Bosses reward you with at least one upgrade core. Hold Alt for more info."
"DOTA_Tooltip_Ability_item_upgrade_core_2_Note0"                                    "The level of a core depends upon the strength of the boss."
"DOTA_Tooltip_Ability_item_upgrade_core_2_Note1"                                    "Managing your cores and upgrading your items is essential to victory."

"DOTA_Tooltip_Ability_item_upgrade_core_3"                                          "Upgrade Core 3"
"DOTA_Tooltip_Ability_item_upgrade_core_3_Description"                              "Upgrade Core 3, when combined with certain items, can upgrade them by one level, up to Level 4. You can use any higher level core as an Upgrade Core 3. Bosses reward you with at least one upgrade core. Hold Alt for more info."
"DOTA_Tooltip_Ability_item_upgrade_core_3_Note0"                                    "The level of a core depends upon the strength of the boss."
"DOTA_Tooltip_Ability_item_upgrade_core_3_Note1"                                    "Managing your cores and upgrading your items is essential to victory."

"DOTA_Tooltip_Ability_item_upgrade_core_4"                                          "Upgrade Core 4"
"DOTA_Tooltip_Ability_item_upgrade_core_4_Description"                              "Upgrade Core 4, when combined with certain items, can upgrade them by one level, up to Level 5. You can use an Upgrade Core 4 as any lower level Upgrade Core. Bosses reward you with at least 1 upgrade core. Hold Alt for more info."
"DOTA_Tooltip_Ability_item_upgrade_core_4_Note0"                                    "The level of a core depends upon the strength of the boss."
"DOTA_Tooltip_Ability_item_upgrade_core_4_Note1"                                    "Managing your cores and upgrading your items is essential to victory."

"DOTA_Tooltip_Ability_item_core_info"                                               "Cores"
"DOTA_Tooltip_Ability_item_core_info_Description"                                   "Cores upgrade various items into much more powerful variants and are dropped by bosses. Check the 'Upgrades' tab in the Shop for more information."
