//==============================================================================
// Crimson Guard
//==============================================================================
//"DOTA_Tooltip_ability_item_crimson_guard_Description"                       "<h1>Active: Guard</h1> For %duration% seconds, grant nearby allied heroes and buildings +%bonus_aoe_armor% armor, and a %block_chance_active%%% chance to block %block_damage_melee_active% damage from each incoming attack.<br><br>Units may only be affected by Guard once every %tooltip_reapply_time% seconds.<br><br>Radius: %bonus_aoe_radius%\n<h1>Passive: Damage Block</h1> Grants a %block_chance%%% chance to block %block_damage_melee% damage from incoming attacks on melee heroes, and %block_damage_ranged% damage on ranged."
//"DOTA_Tooltip_ability_item_crimson_guard_Lore"                              "A cuirass originally built to protect against the dreaded Year Beast."
//"DOTA_Tooltip_ability_item_crimson_guard_bonus_health"                      "+$health"
//"DOTA_Tooltip_ability_item_crimson_guard_bonus_health_regen"                "+$hp_regen"
//"DOTA_Tooltip_ability_item_crimson_guard_bonus_all_stats"                   "+$all"
//"DOTA_Tooltip_ability_item_crimson_guard_bonus_armor"                       "+$armor"
//"DOTA_Tooltip_ability_item_crimson_guard_Note0"                             "Multiple sources of damage block do not stack."

"DOTA_Tooltip_Ability_item_crimson_guard_2"                                 "#{DOTA_Tooltip_Ability_item_crimson_guard}"
"DOTA_Tooltip_Ability_item_recipe_crimson_guard_2"                          "#{DOTA_Tooltip_Ability_item_recipe_crimson_guard}"
"DOTA_Tooltip_Ability_item_crimson_guard_2_Description"                     "#{DOTA_Tooltip_ability_item_crimson_guard_Description}"
"DOTA_Tooltip_Ability_item_crimson_guard_2_Lore"                            "#{DOTA_Tooltip_ability_item_crimson_guard_Lore}"
"DOTA_Tooltip_Ability_item_crimson_guard_2_Note0"                           "#{DOTA_Tooltip_ability_item_crimson_guard_Note0}"
"DOTA_Tooltip_Ability_item_crimson_guard_2_bonus_health"                    "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_health}"
"DOTA_Tooltip_Ability_item_crimson_guard_2_bonus_health_regen"              "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_health_regen}"
//"DOTA_Tooltip_Ability_item_crimson_guard_2_bonus_all_stats"                 "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_crimson_guard_2_bonus_armor"                     "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_armor}"

"DOTA_Tooltip_Ability_item_crimson_guard_3"                                 "#{DOTA_Tooltip_Ability_item_crimson_guard}"
"DOTA_Tooltip_Ability_item_recipe_crimson_guard_3"                          "#{DOTA_Tooltip_Ability_item_recipe_crimson_guard}"
"DOTA_Tooltip_Ability_item_crimson_guard_3_Description"                     "#{DOTA_Tooltip_ability_item_crimson_guard_Description}"
"DOTA_Tooltip_Ability_item_crimson_guard_3_Lore"                            "#{DOTA_Tooltip_ability_item_crimson_guard_Lore}"
"DOTA_Tooltip_Ability_item_crimson_guard_3_Note0"                           "#{DOTA_Tooltip_ability_item_crimson_guard_Note0}"
"DOTA_Tooltip_Ability_item_crimson_guard_3_bonus_health"                    "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_health}"
"DOTA_Tooltip_Ability_item_crimson_guard_3_bonus_health_regen"              "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_health_regen}"
//"DOTA_Tooltip_Ability_item_crimson_guard_3_bonus_all_stats"                 "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_crimson_guard_3_bonus_armor"                     "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_armor}"

"DOTA_Tooltip_Ability_item_crimson_guard_4"                                 "#{DOTA_Tooltip_Ability_item_crimson_guard}"
"DOTA_Tooltip_Ability_item_recipe_crimson_guard_4"                          "#{DOTA_Tooltip_Ability_item_recipe_crimson_guard}"
"DOTA_Tooltip_Ability_item_crimson_guard_4_Description"                     "#{DOTA_Tooltip_ability_item_crimson_guard_Description}"
"DOTA_Tooltip_Ability_item_crimson_guard_4_Lore"                            "#{DOTA_Tooltip_ability_item_crimson_guard_Lore}"
"DOTA_Tooltip_Ability_item_crimson_guard_4_Note0"                           "#{DOTA_Tooltip_ability_item_crimson_guard_Note0}"
"DOTA_Tooltip_Ability_item_crimson_guard_4_bonus_health"                    "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_health}"
"DOTA_Tooltip_Ability_item_crimson_guard_4_bonus_health_regen"              "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_health_regen}"
//"DOTA_Tooltip_Ability_item_crimson_guard_4_bonus_all_stats"                 "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_crimson_guard_4_bonus_armor"                     "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_armor}"

"DOTA_Tooltip_Ability_item_crimson_guard_5"                                 "#{DOTA_Tooltip_Ability_item_crimson_guard}"
"DOTA_Tooltip_Ability_item_recipe_crimson_guard_5"                          "#{DOTA_Tooltip_Ability_item_recipe_crimson_guard}"
"DOTA_Tooltip_Ability_item_crimson_guard_5_Description"                     "#{DOTA_Tooltip_ability_item_crimson_guard_Description}"
"DOTA_Tooltip_Ability_item_crimson_guard_5_Lore"                            "#{DOTA_Tooltip_ability_item_crimson_guard_Lore}"
"DOTA_Tooltip_Ability_item_crimson_guard_5_Note0"                           "#{DOTA_Tooltip_ability_item_crimson_guard_Note0}"
"DOTA_Tooltip_Ability_item_crimson_guard_5_bonus_health"                    "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_health}"
"DOTA_Tooltip_Ability_item_crimson_guard_5_bonus_health_regen"              "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_health_regen}"
//"DOTA_Tooltip_Ability_item_crimson_guard_5_bonus_all_stats"                 "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_crimson_guard_5_bonus_armor"                     "#{DOTA_Tooltip_ability_item_crimson_guard_bonus_armor}"

"DOTA_Tooltip_modifier_item_crimson_guard_extra_Description"                "Gained armor, and a 100%% chance to block part of the damage from incoming attacks."
