//============================================================================
// Dagon
//============================================================================
"DOTA_Tooltip_Ability_item_dagon_oaa"                                           "Dagon"
"DOTA_Tooltip_Ability_item_recipe_dagon_oaa"                                    "Dagon Recipe"
"DOTA_Tooltip_Ability_item_dagon_oaa_Description"                               "<h1>Active: Energy Burst</h1> Emits a powerful burst of magical damage upon a targeted enemy unit. Heals the caster for %burst_heal_percent%%% of the damage dealt.<br><br>Damage: %damage%<br>Mana Cost: %mana_cost_tooltip%<br>Cooldown: %cooldown_tooltip% seconds"
"DOTA_Tooltip_Ability_item_dagon_oaa_Lore"                                      "A lesser wand that grows in power the longer it is used, it brings magic to the fingertips of the user."
"DOTA_Tooltip_ability_item_dagon_oaa_Note0"                                     "Instantly kills illusions and non-ancient creeps."
"DOTA_Tooltip_Ability_item_dagon_oaa_bonus_int"                                 "+$int"
"DOTA_Tooltip_Ability_item_dagon_oaa_bonus_str"                                 "+$str"
"DOTA_Tooltip_Ability_item_dagon_oaa_bonus_agi"                                 "+$agi"
"DOTA_Tooltip_Ability_item_dagon_oaa_hero_spell_lifesteal"                      "%+Hero Spell Lifesteal"
"DOTA_Tooltip_Ability_item_dagon_oaa_creep_spell_lifesteal"                     "%+Creep Spell Lifesteal"
//"DOTA_Tooltip_Ability_item_dagon_oaa_spell_amp"                                 "#{DOTA_Tooltip_ability_item_kaya_spell_amp}"

"DOTA_Tooltip_modifier_item_oaa_dagon_debuff"                                   "Blinded with Dagon"
"DOTA_Tooltip_modifier_item_oaa_dagon_debuff_Description"                       "100%% miss chance"

"DOTA_Tooltip_Ability_item_dagon_oaa_2"                                         "#{DOTA_Tooltip_Ability_item_dagon_oaa}"
"DOTA_Tooltip_Ability_item_recipe_dagon_oaa_2"                                  "#{DOTA_Tooltip_Ability_item_recipe_dagon_oaa}"
"DOTA_Tooltip_Ability_item_dagon_oaa_2_Description"                             "#{DOTA_Tooltip_Ability_item_dagon_oaa_Description}"
