//==================================================================+
// Desolator
//==================================================================+
//"DOTA_Tooltip_Ability_item_desolator"                                           "Desolator"
"DOTA_Tooltip_Ability_item_recipe_desolator"                                    "Desolator Recipe"
//"DOTA_Tooltip_ability_item_desolator_Description"                               "<h1>Passive: Corruption</h1> Your attacks reduce the target's armor by %corruption_armor% for %corruption_duration% seconds."
//"DOTA_Tooltip_ability_item_desolator_Lore"                                      "A wicked weapon, used in torturing political criminals."
"DOTA_Tooltip_ability_item_desolator_Note0"                                     ""
//"DOTA_Tooltip_ability_item_desolator_bonus_damage"                              "+$damage"

"DOTA_Tooltip_Ability_item_desolator_oaa_2"                                     "#{DOTA_Tooltip_Ability_item_desolator}"
"DOTA_Tooltip_Ability_item_recipe_desolator_oaa_2"                              "#{DOTA_Tooltip_Ability_item_recipe_desolator}"
"DOTA_Tooltip_Ability_item_desolator_oaa_2_Description"                         "#{DOTA_Tooltip_ability_item_desolator_Description}"
"DOTA_Tooltip_Ability_item_desolator_oaa_2_Lore"                                "#{DOTA_Tooltip_ability_item_desolator_Lore}"
"DOTA_Tooltip_Ability_item_desolator_oaa_2_bonus_damage"                        "#{DOTA_Tooltip_ability_item_desolator_bonus_damage}"

"DOTA_Tooltip_Ability_item_desolator_3"                                         "#{DOTA_Tooltip_Ability_item_desolator}"
"DOTA_Tooltip_Ability_item_recipe_desolator_3"                                  "#{DOTA_Tooltip_Ability_item_recipe_desolator}"
"DOTA_Tooltip_Ability_item_desolator_3_Description"                             "#{DOTA_Tooltip_ability_item_desolator_Description}"
"DOTA_Tooltip_Ability_item_desolator_3_Lore"                                    "#{DOTA_Tooltip_ability_item_desolator_Lore}"
"DOTA_Tooltip_Ability_item_desolator_3_bonus_damage"                            "#{DOTA_Tooltip_ability_item_desolator_bonus_damage}"

"DOTA_Tooltip_Ability_item_desolator_4"                                         "#{DOTA_Tooltip_Ability_item_desolator}"
"DOTA_Tooltip_Ability_item_recipe_desolator_4"                                  "#{DOTA_Tooltip_Ability_item_recipe_desolator}"
"DOTA_Tooltip_Ability_item_desolator_4_Description"                             "#{DOTA_Tooltip_ability_item_desolator_Description}"
"DOTA_Tooltip_Ability_item_desolator_4_Lore"                                    "#{DOTA_Tooltip_ability_item_desolator_Lore}"
"DOTA_Tooltip_Ability_item_desolator_4_bonus_damage"                            "#{DOTA_Tooltip_ability_item_desolator_bonus_damage}"

"DOTA_Tooltip_Ability_item_desolator_5"                                         "#{DOTA_Tooltip_Ability_item_desolator}"
"DOTA_Tooltip_Ability_item_recipe_desolator_5"                                  "#{DOTA_Tooltip_Ability_item_recipe_desolator}"
"DOTA_Tooltip_Ability_item_desolator_5_Description"                             "#{DOTA_Tooltip_ability_item_desolator_Description}"
"DOTA_Tooltip_Ability_item_desolator_5_Lore"                                    "#{DOTA_Tooltip_ability_item_desolator_Lore}"
"DOTA_Tooltip_Ability_item_desolator_5_bonus_damage"                            "#{DOTA_Tooltip_ability_item_desolator_bonus_damage}"
