//==================================================================+
// Devastator
//==================================================================+
//"DOTA_Tooltip_Ability_item_desolator"                                           "Desolator"
//"DOTA_Tooltip_ability_item_desolator_Description"                               "<h1>Passive: Corruption</h1> Your attacks reduce the target's armor by %corruption_armor% for %corruption_duration% seconds.\n\n<h1>Passive: Soul Stealer</h1> Desolator gains +%bonus_damage_per_kill% damage every time an enemy hero dies while affected by Corruption, to a maximum of %max_damage%."
//"DOTA_Tooltip_ability_item_desolator_Lore"                                      "A wicked weapon, used in torturing political criminals."
//"DOTA_Tooltip_ability_item_desolator_Note0"                                     "Armor reduction works on buildings."
//"DOTA_Tooltip_ability_item_desolator_bonus_damage"                              "+$damage"

//"DOTA_Tooltip_modifier_desolator_buff"                                          "Desolator"
//"DOTA_Tooltip_modifier_desolator_buff_Description"                              "Desolator attacks reduced your armor by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."

"DOTA_Tooltip_Ability_item_desolator_oaa"                                       "#{DOTA_Tooltip_Ability_item_desolator}"
"DOTA_Tooltip_Ability_item_recipe_desolator_oaa"                                "Desolator Recipe"
"DOTA_Tooltip_Ability_item_desolator_oaa_Description"                           "<h1>Passive: Corruption</h1> Your attacks reduce the target's armor by %corruption_armor% for %corruption_duration% seconds."
"DOTA_Tooltip_Ability_item_desolator_oaa_Lore"                                  "#{DOTA_Tooltip_ability_item_desolator_Lore}"
"DOTA_Tooltip_Ability_item_desolator_oaa_bonus_damage"                          "+$damage"

"Dota_Tooltip_Modifier_item_devastator_oaa_corruption_armor"                    "Corrupted Armor"
"Dota_Tooltip_Modifier_item_devastator_oaa_corruption_armor_Description"        "Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"Dota_Tooltip_Modifier_item_devastator_oaa_reduce_armor"                        "Devastated Armor"
"Dota_Tooltip_Modifier_item_devastator_oaa_reduce_armor_Description"            "Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"Dota_Tooltip_Modifier_item_devastator_oaa_slow_movespeed"                      "Devastated Movement"
"Dota_Tooltip_Modifier_item_devastator_oaa_slow_movespeed_Description"          "Taking damage over time and move speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"DOTA_Tooltip_Ability_item_devastator_oaa_1"                                    "Devastator"
"DOTA_Tooltip_Ability_item_recipe_devastator_1"                                 "Devastator Recipe"
"DOTA_Tooltip_Ability_item_devastator_oaa_1_Description"                        "<h1>Active: Devastate</h1> Shoots out a wave that procs your attack, slows enemies by %devastator_movespeed_reduction%%% for %devastator_movespeed_reduction_duration% seconds and reduces their armor by %devastator_armor_reduction% for %devastator_armor_reduction_duration% seconds. Enemies hit will also take %devastator_damage% physical damage on impact and %damage_per_interval% pure damage every %interval% second. Attacks procced with the wave have True Strike.<br><br>Distance: %devastator_distance%\n<h1>Passive: Corruption</h1> Your attacks reduce the target's armor by %corruption_armor% for %corruption_duration% seconds."
"DOTA_Tooltip_Ability_item_devastator_oaa_1_Lore"                               "His fury focused, carving his way through entire armies."
"DOTA_Tooltip_Ability_item_devastator_oaa_1_Note0"                              "Devastate armor reduction doesn't stack with Corruption armor reduction!"
"DOTA_Tooltip_Ability_item_devastator_oaa_1_bonus_damage"                       "+$damage"

"DOTA_Tooltip_Ability_item_devastator_oaa_2"                                    "#{DOTA_Tooltip_Ability_item_devastator_oaa_1}"
"DOTA_Tooltip_Ability_item_recipe_devastator_2"                                 "#{DOTA_Tooltip_Ability_item_recipe_devastator_1}"
"DOTA_Tooltip_Ability_item_devastator_oaa_2_Description"                        "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_Description}"
"DOTA_Tooltip_Ability_item_devastator_oaa_2_Lore"                               "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_Lore}"
"DOTA_Tooltip_Ability_item_devastator_oaa_2_Note0"                              "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_Note0}"
"DOTA_Tooltip_Ability_item_devastator_oaa_2_bonus_damage"                       "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_bonus_damage}"

"DOTA_Tooltip_Ability_item_devastator_oaa_3"                                    "#{DOTA_Tooltip_Ability_item_devastator_oaa_1}"
"DOTA_Tooltip_Ability_item_recipe_devastator_4"                                 "#{DOTA_Tooltip_Ability_item_recipe_devastator_1}"
"DOTA_Tooltip_Ability_item_devastator_oaa_3_Description"                        "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_Description}"
"DOTA_Tooltip_Ability_item_devastator_oaa_3_Lore"                               "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_Lore}"
"DOTA_Tooltip_Ability_item_devastator_oaa_3_Note0"                              "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_Note0}"
"DOTA_Tooltip_Ability_item_devastator_oaa_3_bonus_damage"                       "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_bonus_damage}"

"DOTA_Tooltip_Ability_item_devastator_oaa_4"                                    "#{DOTA_Tooltip_Ability_item_devastator_oaa_1}"
"DOTA_Tooltip_Ability_item_recipe_devastator_4"                                 "#{DOTA_Tooltip_Ability_item_recipe_devastator_1}"
"DOTA_Tooltip_Ability_item_devastator_oaa_4_Description"                        "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_Description}"
"DOTA_Tooltip_Ability_item_devastator_oaa_4_Lore"                               "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_Lore}"
"DOTA_Tooltip_Ability_item_devastator_oaa_4_Note0"                              "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_Note0}"
"DOTA_Tooltip_Ability_item_devastator_oaa_4_bonus_damage"                       "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_bonus_damage}"

"DOTA_Tooltip_Ability_item_devastator_oaa_5"                                    "#{DOTA_Tooltip_Ability_item_devastator_oaa_1}"
"DOTA_Tooltip_Ability_item_recipe_devastator_5"                                 "#{DOTA_Tooltip_Ability_item_recipe_devastator_1}"
"DOTA_Tooltip_Ability_item_devastator_oaa_5_Description"                        "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_Description}"
"DOTA_Tooltip_Ability_item_devastator_oaa_5_Lore"                               "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_Lore}"
"DOTA_Tooltip_Ability_item_devastator_oaa_5_Note0"                              "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_Note0}"
"DOTA_Tooltip_Ability_item_devastator_oaa_5_bonus_damage"                       "#{DOTA_Tooltip_Ability_item_devastator_oaa_1_bonus_damage}"
