//===============================================================================
// Dispel Orb
//===============================================================================
"DOTA_Tooltip_Ability_item_dispel_orb_1"                                        "Dispel Orb"
"DOTA_Tooltip_Ability_item_dispel_orb_1_Description"                            "<h1>Active: Shake It Off</h1> Constantly applies basic dispel on yourself for %duration% seconds.<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
"DOTA_Tooltip_Ability_item_dispel_orb_1_Lore"                                   "An ancient orb of magical fortification."
"DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_strength"                         "+$str"
"DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_agility"                          "+$agi"
"DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_intellect"                        "+$int"
"DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_damage"                           "+$damage"
//"DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_health_regen"                     "+$hp_regen"
//"DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_armor"                            "+$armor"
//"DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_mana_regen"                       "+$mana_regen"
//"DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_mana"                             "+$mana"

"DOTA_Tooltip_Ability_item_dispel_orb_2"                                        "#{DOTA_Tooltip_Ability_item_dispel_orb_1}"
"DOTA_Tooltip_Ability_item_dispel_orb_2_Description"                            "#{DOTA_Tooltip_Ability_item_dispel_orb_1_Description}"
"DOTA_Tooltip_Ability_item_dispel_orb_2_Lore"                                   "#{DOTA_Tooltip_Ability_item_dispel_orb_1_Lore}"
"DOTA_Tooltip_Ability_item_dispel_orb_2_bonus_strength"                         "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_strength}"
"DOTA_Tooltip_Ability_item_dispel_orb_2_bonus_agility"                          "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_agility}"
"DOTA_Tooltip_Ability_item_dispel_orb_2_bonus_intellect"                        "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_intellect}"
"DOTA_Tooltip_Ability_item_dispel_orb_2_bonus_damage"                           "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_damage}"
//"DOTA_Tooltip_Ability_item_dispel_orb_2_bonus_health_regen"                     "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_health_regen}"
//"DOTA_Tooltip_Ability_item_dispel_orb_2_bonus_armor"                            "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_armor}"
//"DOTA_Tooltip_Ability_item_dispel_orb_2_bonus_mana_regen"                       "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_mana_regen}"
//"DOTA_Tooltip_Ability_item_dispel_orb_2_bonus_mana"                             "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_mana}"

"DOTA_Tooltip_Ability_item_dispel_orb_3"                                        "#{DOTA_Tooltip_Ability_item_dispel_orb_1}"
"DOTA_Tooltip_Ability_item_dispel_orb_3_Description"                            "#{DOTA_Tooltip_Ability_item_dispel_orb_1_Description}"
"DOTA_Tooltip_Ability_item_dispel_orb_3_Lore"                                   "#{DOTA_Tooltip_Ability_item_dispel_orb_1_Lore}"
"DOTA_Tooltip_Ability_item_dispel_orb_3_bonus_strength"                         "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_strength}"
"DOTA_Tooltip_Ability_item_dispel_orb_3_bonus_agility"                          "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_agility}"
"DOTA_Tooltip_Ability_item_dispel_orb_3_bonus_intellect"                        "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_intellect}"
"DOTA_Tooltip_Ability_item_dispel_orb_3_bonus_damage"                           "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_damage}"
//"DOTA_Tooltip_Ability_item_dispel_orb_3_bonus_health_regen"                     "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_health_regen}"
//"DOTA_Tooltip_Ability_item_dispel_orb_3_bonus_armor"                            "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_armor}"
//"DOTA_Tooltip_Ability_item_dispel_orb_3_bonus_mana_regen"                       "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_mana_regen}"
//"DOTA_Tooltip_Ability_item_dispel_orb_3_bonus_mana"                             "#{DOTA_Tooltip_Ability_item_dispel_orb_1_bonus_mana}"

"DOTA_Tooltip_modifier_item_dispel_orb_active"                                  "Shaking It Off"
"DOTA_Tooltip_modifier_item_dispel_orb_active_Description"                      "Periodically removes normal debuffs from this unit."
