//=========================================================================
// Echo Sabre
//=========================================================================
//"DOTA_Tooltip_Ability_item_echo_sabre_Description"              "<h1>Passive: Echo Strike</h1> Causes melee attacks to attack twice in quick succession. The double attacks apply a %movement_slow%%% movement slow for %slow_duration% seconds on each strike."
//"DOTA_Tooltip_Ability_item_echo_sabre_Lore"                     "A deceptively swift blade imbued with resonant magic."
//"DOTA_Tooltip_Ability_item_echo_sabre_bonus_strength"           "+$str"
//"DOTA_Tooltip_Ability_item_echo_sabre_bonus_intellect"          "+$int"
//"DOTA_Tooltip_Ability_item_echo_sabre_bonus_attack_speed"       "+$attack"
//"DOTA_Tooltip_Ability_item_echo_sabre_bonus_damage"             "+$damage"
//"DOTA_Tooltip_Ability_item_echo_sabre_bonus_mana_regen"         "+$mana_regen"
"DOTA_Tooltip_Ability_item_echo_sabre_cooldown_tooltip"         "COOLDOWN:"

"DOTA_Tooltip_Ability_item_echo_sabre_2"                        "#{DOTA_Tooltip_Ability_item_echo_sabre}"
"DOTA_Tooltip_Ability_item_recipe_echo_sabre_2"                 "Echo Sabre Recipe"
"DOTA_Tooltip_Ability_item_echo_sabre_2_Description"            "#{DOTA_Tooltip_Ability_item_echo_sabre_Description}"
"DOTA_Tooltip_Ability_item_echo_sabre_2_Lore"                   "#{DOTA_Tooltip_Ability_item_echo_sabre_Lore}"
"DOTA_Tooltip_Ability_item_echo_sabre_2_bonus_intellect"        "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_intellect}"
"DOTA_Tooltip_Ability_item_echo_sabre_2_bonus_strength"         "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_strength}"
"DOTA_Tooltip_Ability_item_echo_sabre_2_bonus_attack_speed"     "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_echo_sabre_2_bonus_damage"           "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_damage}"
"DOTA_Tooltip_Ability_item_echo_sabre_2_bonus_mana_regen"       "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_echo_sabre_2_cooldown_tooltip"       "#{DOTA_Tooltip_Ability_item_echo_sabre_cooldown_tooltip}"

"DOTA_Tooltip_Ability_item_echo_sabre_3"                        "#{DOTA_Tooltip_Ability_item_echo_sabre}"
"DOTA_Tooltip_Ability_item_recipe_echo_sabre_3"                 "#{DOTA_Tooltip_Ability_item_recipe_echo_sabre_2}"
"DOTA_Tooltip_Ability_item_echo_sabre_3_Description"            "#{DOTA_Tooltip_Ability_item_echo_sabre_Description}"
"DOTA_Tooltip_Ability_item_echo_sabre_3_Lore"                   "#{DOTA_Tooltip_Ability_item_echo_sabre_Lore}"
"DOTA_Tooltip_Ability_item_echo_sabre_3_bonus_intellect"        "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_intellect}"
"DOTA_Tooltip_Ability_item_echo_sabre_3_bonus_strength"         "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_strength}"
"DOTA_Tooltip_Ability_item_echo_sabre_3_bonus_attack_speed"     "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_echo_sabre_3_bonus_damage"           "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_damage}"
"DOTA_Tooltip_Ability_item_echo_sabre_3_bonus_mana_regen"       "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_echo_sabre_3_cooldown_tooltip"       "#{DOTA_Tooltip_Ability_item_echo_sabre_cooldown_tooltip}"

"DOTA_Tooltip_Ability_item_echo_sabre_4"                        "#{DOTA_Tooltip_Ability_item_echo_sabre}"
"DOTA_Tooltip_Ability_item_recipe_echo_sabre_4"                 "#{DOTA_Tooltip_Ability_item_recipe_echo_sabre_2}"
"DOTA_Tooltip_Ability_item_echo_sabre_4_Description"            "#{DOTA_Tooltip_Ability_item_echo_sabre_Description}"
"DOTA_Tooltip_Ability_item_echo_sabre_4_Lore"                   "#{DOTA_Tooltip_Ability_item_echo_sabre_Lore}"
"DOTA_Tooltip_Ability_item_echo_sabre_4_bonus_intellect"        "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_intellect}"
"DOTA_Tooltip_Ability_item_echo_sabre_4_bonus_strength"         "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_strength}"
"DOTA_Tooltip_Ability_item_echo_sabre_4_bonus_attack_speed"     "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_echo_sabre_4_bonus_damage"           "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_damage}"
"DOTA_Tooltip_Ability_item_echo_sabre_4_bonus_mana_regen"       "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_echo_sabre_4_cooldown_tooltip"       "#{DOTA_Tooltip_Ability_item_echo_sabre_cooldown_tooltip}"

"DOTA_Tooltip_Ability_item_echo_sabre_5"                        "#{DOTA_Tooltip_Ability_item_echo_sabre}"
"DOTA_Tooltip_Ability_item_recipe_echo_sabre_5"                 "#{DOTA_Tooltip_Ability_item_recipe_echo_sabre_2}"
"DOTA_Tooltip_Ability_item_echo_sabre_5_Description"            "#{DOTA_Tooltip_Ability_item_echo_sabre_Description}"
"DOTA_Tooltip_Ability_item_echo_sabre_5_Lore"                   "#{DOTA_Tooltip_Ability_item_echo_sabre_Lore}"
"DOTA_Tooltip_Ability_item_echo_sabre_5_bonus_intellect"        "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_intellect}"
"DOTA_Tooltip_Ability_item_echo_sabre_5_bonus_strength"         "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_strength}"
"DOTA_Tooltip_Ability_item_echo_sabre_5_bonus_attack_speed"     "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_echo_sabre_5_bonus_damage"           "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_damage}"
"DOTA_Tooltip_Ability_item_echo_sabre_5_bonus_mana_regen"       "#{DOTA_Tooltip_Ability_item_echo_sabre_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_echo_sabre_5_cooldown_tooltip"       "#{DOTA_Tooltip_Ability_item_echo_sabre_cooldown_tooltip}"
