// "DOTA_Tooltip_Ability_item_essence_distiller"                                  "Essence Distiller"
// "DOTA_Tooltip_Ability_item_recipe_essence_distiller"                           "Essence Distiller Recipe"
// "DOTA_Tooltip_ability_item_essence_distiller_Description"                      "<h1>Active: Soul Release</h1> Provides %soul_heal_amount% health regeneration when cast on allies.<br><br>Can be ground targeted to lie dormant for up to %ground_duration%s and attach to the first enemy that comes within %latch_range% radius. When on enemies, deals %soul_damage_amount% damage per second and provides True Sight over them and shares their vision with the wearer's team.<br><br>Lasts %duration% seconds.<br><br>Gains charges every time an enemy hero dies within %soul_radius% units."
// "DOTA_Tooltip_ability_item_essence_distiller_Note0"                            "Empty distillers gain 2 charges."
// "DOTA_Tooltip_ability_item_essence_distiller_Note1"                            "Only the closest Essence Distiller to the dying hero will gain a charge."
// "DOTA_Tooltip_ability_item_essence_distiller_Note2"                            "If the allied unit is attacked by an enemy hero or Roshan, the effect is lost."
// "DOTA_Tooltip_ability_item_essence_distiller_Note3"                            "Does not trigger spell block or spell reflect."
// "DOTA_Tooltip_ability_item_essence_distiller_Note4"                            "While dormant, provides vision in %latch_vision% radius. Vision lingers for %linger_after_latch_duration%s after latching."
// "DOTA_Tooltip_ability_item_essence_distiller_mana_regen"                       "+$mana_regen"
// "DOTA_Tooltip_ability_item_essence_distiller_bonus_armor"                      "+$armor"
// "DOTA_Tooltip_ability_item_essence_distiller_bonus_all_stats"                  "+$all"
// "DOTA_Tooltip_ability_item_essence_distiller_bonus_mana"                       "+$mana"

"DOTA_Tooltip_Ability_item_essence_distiller_2"                                 "#{DOTA_Tooltip_Ability_item_essence_distiller}"
"DOTA_Tooltip_Ability_item_recipe_essence_distiller_2"                          "#{DOTA_Tooltip_Ability_item_recipe_essence_distiller}"
"DOTA_Tooltip_ability_item_essence_distiller_2_Description"                     "#{DOTA_Tooltip_ability_item_essence_distiller_Description}"
"DOTA_Tooltip_ability_item_essence_distiller_2_mana_regen"                      "#{DOTA_Tooltip_ability_item_essence_distiller_mana_regen}"
"DOTA_Tooltip_ability_item_essence_distiller_2_bonus_armor"                     "#{DOTA_Tooltip_ability_item_essence_distiller_bonus_armor}"
"DOTA_Tooltip_ability_item_essence_distiller_2_bonus_all_stats"                 "#{DOTA_Tooltip_ability_item_essence_distiller_bonus_all_stats}"
"DOTA_Tooltip_ability_item_essence_distiller_2_bonus_mana"                      "#{DOTA_Tooltip_ability_item_essence_distiller_bonus_mana}"

"DOTA_Tooltip_Ability_item_essence_distiller_3"                                 "#{DOTA_Tooltip_Ability_item_essence_distiller}"
"DOTA_Tooltip_Ability_item_recipe_essence_distiller_3"                          "#{DOTA_Tooltip_Ability_item_recipe_essence_distiller}"
"DOTA_Tooltip_ability_item_essence_distiller_3_Description"                     "#{DOTA_Tooltip_ability_item_essence_distiller_Description}"
"DOTA_Tooltip_ability_item_essence_distiller_3_mana_regen"                      "#{DOTA_Tooltip_ability_item_essence_distiller_mana_regen}"
"DOTA_Tooltip_ability_item_essence_distiller_3_bonus_armor"                     "#{DOTA_Tooltip_ability_item_essence_distiller_bonus_armor}"
"DOTA_Tooltip_ability_item_essence_distiller_3_bonus_all_stats"                 "#{DOTA_Tooltip_ability_item_essence_distiller_bonus_all_stats}"
"DOTA_Tooltip_ability_item_essence_distiller_3_bonus_mana"                      "#{DOTA_Tooltip_ability_item_essence_distiller_bonus_mana}"

"DOTA_Tooltip_Ability_item_essence_distiller_4"                                 "#{DOTA_Tooltip_Ability_item_essence_distiller}"
"DOTA_Tooltip_Ability_item_recipe_essence_distiller_4"                          "#{DOTA_Tooltip_Ability_item_recipe_essence_distiller}"
"DOTA_Tooltip_ability_item_essence_distiller_4_Description"                     "#{DOTA_Tooltip_ability_item_essence_distiller_Description}"
"DOTA_Tooltip_ability_item_essence_distiller_4_mana_regen"                      "#{DOTA_Tooltip_ability_item_essence_distiller_mana_regen}"
"DOTA_Tooltip_ability_item_essence_distiller_4_bonus_armor"                     "#{DOTA_Tooltip_ability_item_essence_distiller_bonus_armor}"
"DOTA_Tooltip_ability_item_essence_distiller_4_bonus_all_stats"                 "#{DOTA_Tooltip_ability_item_essence_distiller_bonus_all_stats}"
"DOTA_Tooltip_ability_item_essence_distiller_4_bonus_mana"                      "#{DOTA_Tooltip_ability_item_essence_distiller_bonus_mana}"

"DOTA_Tooltip_Ability_item_essence_distiller_5"                                 "#{DOTA_Tooltip_Ability_item_essence_distiller}"
"DOTA_Tooltip_Ability_item_recipe_essence_distiller_5"                          "#{DOTA_Tooltip_Ability_item_recipe_essence_distiller}"
"DOTA_Tooltip_ability_item_essence_distiller_5_Description"                     "#{DOTA_Tooltip_ability_item_essence_distiller_Description}"
"DOTA_Tooltip_ability_item_essence_distiller_5_mana_regen"                      "#{DOTA_Tooltip_ability_item_essence_distiller_mana_regen}"
"DOTA_Tooltip_ability_item_essence_distiller_5_bonus_armor"                     "#{DOTA_Tooltip_ability_item_essence_distiller_bonus_armor}"
"DOTA_Tooltip_ability_item_essence_distiller_5_bonus_all_stats"                 "#{DOTA_Tooltip_ability_item_essence_distiller_bonus_all_stats}"
"DOTA_Tooltip_ability_item_essence_distiller_5_bonus_mana"                      "#{DOTA_Tooltip_ability_item_essence_distiller_bonus_mana}"

