//==============================================================================
// Eternal Shroud
//==============================================================================
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa"                                  "#{DOTA_Tooltip_Ability_item_eternal_shroud}"
"DOTA_Tooltip_Ability_item_recipe_eternal_shroud_oaa"                           "Eternal Shroud Recipe"
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_Description"                      "<h1>Active: Shroud</h1> Creates a spell shield that absorbs up to %barrier_block% magical damage, converting damage taken into mana.  Lasts %barrier_duration% seconds."
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_Lore"                             "#{DOTA_Tooltip_ability_item_eternal_shroud_Lore}"
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_bonus_spell_resist"               "%+$spell_resist"
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_bonus_health_regen"               "+$hp_regen"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_bonus_health"                     "+$health"
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_hero_spell_lifesteal"             "%+$spell_lifesteal_hero"
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_creep_spell_lifesteal"            "%+$spell_lifesteal_creep"

"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_2"                                "#{DOTA_Tooltip_Ability_item_eternal_shroud_oaa}"
"DOTA_Tooltip_Ability_item_recipe_eternal_shroud_oaa_2"                         "#{DOTA_Tooltip_Ability_item_recipe_eternal_shroud_oaa}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_2_Description"                    "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_Description}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_2_Lore"                           "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_Lore}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_2_bonus_health_regen"             "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_2_bonus_health"                   "#{DOTA_Tooltip_Ability_item_eternal_shroud_oaa_bonus_health}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_2_bonus_spell_resist"             "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_bonus_spell_resist}"
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_2_hero_spell_lifesteal"           "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_hero_spell_lifesteal}"
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_2_creep_spell_lifesteal"          "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_creep_spell_lifesteal}"

"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_3"                                "#{DOTA_Tooltip_Ability_item_eternal_shroud_oaa}"
"DOTA_Tooltip_Ability_item_recipe_eternal_shroud_oaa_3"                         "#{DOTA_Tooltip_Ability_item_recipe_eternal_shroud_oaa}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_3_Description"                    "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_Description}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_3_Lore"                           "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_Lore}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_3_bonus_health_regen"             "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_3_bonus_health"                   "#{DOTA_Tooltip_Ability_item_eternal_shroud_oaa_bonus_health}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_3_bonus_spell_resist"             "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_bonus_spell_resist}"
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_3_hero_spell_lifesteal"           "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_hero_spell_lifesteal}"
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_3_creep_spell_lifesteal"          "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_creep_spell_lifesteal}"

"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_4"                                "#{DOTA_Tooltip_Ability_item_eternal_shroud_oaa}"
"DOTA_Tooltip_Ability_item_recipe_eternal_shroud_oaa_4"                         "#{DOTA_Tooltip_Ability_item_recipe_eternal_shroud_oaa}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_4_Description"                    "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_Description}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_4_Lore"                           "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_Lore}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_4_bonus_health_regen"             "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_4_bonus_health"                   "#{DOTA_Tooltip_Ability_item_eternal_shroud_oaa_bonus_health}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_4_bonus_spell_resist"             "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_bonus_spell_resist}"
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_4_hero_spell_lifesteal"           "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_hero_spell_lifesteal}"
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_4_creep_spell_lifesteal"          "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_creep_spell_lifesteal}"

"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_5"                                "#{DOTA_Tooltip_Ability_item_eternal_shroud_oaa}"
"DOTA_Tooltip_Ability_item_recipe_eternal_shroud_oaa_5"                         "#{DOTA_Tooltip_Ability_item_recipe_eternal_shroud_oaa}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_5_Description"                    "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_Description}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_5_Lore"                           "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_Lore}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_5_bonus_health_regen"             "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_5_bonus_health"                   "#{DOTA_Tooltip_Ability_item_eternal_shroud_oaa_bonus_health}"
"DOTA_Tooltip_Ability_item_eternal_shroud_oaa_5_bonus_spell_resist"             "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_bonus_spell_resist}"
"DOTA_Tooltip_ability_item_eternal_shroud_oaa_5_hero_spell_lifesteal"           "#{DOTA_Tooltip_ability_item_eternal_shroud_oaa_hero_spell_lifesteal}"
