//===================================================================
// Far Sight
//===================================================================
"DOTA_Tooltip_Ability_item_far_sight"                                           "Far Sight"
"DOTA_Tooltip_Ability_item_recipe_far_sight"                                    "Far Sight Recipe"
"DOTA_Tooltip_Ability_item_far_sight_Description"                               "<h1>Active: Reveal</h1>Provides flying vision and true sight in target area for %reveal_duration% seconds. Dust effect lingers on enemies that ventured into the area for %dust_duration% seconds. <br><br>Radius: %reveal_radius%<br>Range: Global"
"DOTA_Tooltip_Ability_item_far_sight_Lore"                                      "Once used on Kunkka's fleet for spotting enemies."
"DOTA_Tooltip_Ability_item_far_sight_Note0"                                     "Far Sight bonus cast range doesn't stack with Aether Lens, Ethereal Blade or with another Far Sight."
//"DOTA_Tooltip_Ability_item_far_sight_bonus_health"                              "+$health"
//"DOTA_Tooltip_Ability_item_far_sight_bonus_health_regen"                        "+$hp_regen"
"DOTA_Tooltip_Ability_item_far_sight_bonus_mana"                                "+$mana"
"DOTA_Tooltip_Ability_item_far_sight_bonus_mana_regen"                          "+$mana_regen"
//"DOTA_Tooltip_Ability_item_far_sight_bonus_strength"                            "+$str"
"DOTA_Tooltip_Ability_item_far_sight_bonus_armor"                               "+$armor"
//"DOTA_Tooltip_Ability_item_far_sight_bonus_intellect"                           "+$int"
"DOTA_Tooltip_Ability_item_far_sight_bonus_to_worst_attribute"                  "+Lowest Attribute"
"DOTA_Tooltip_Ability_item_far_sight_bonus_vision_range"                        "#{DOTA_Tooltip_ability_item_seer_stone_vision_bonus}"
"DOTA_Tooltip_Ability_item_far_sight_bonus_cast_range"                          "+$cast_range"

"DOTA_Tooltip_Ability_item_far_sight_2"                                         "#{DOTA_Tooltip_Ability_item_far_sight}"
"DOTA_Tooltip_Ability_item_recipe_far_sight_2"                                  "#{DOTA_Tooltip_Ability_item_recipe_far_sight}"
"DOTA_Tooltip_Ability_item_far_sight_2_Description"                             "#{DOTA_Tooltip_Ability_item_far_sight_Description}"
"DOTA_Tooltip_Ability_item_far_sight_2_Lore"                                    "#{DOTA_Tooltip_Ability_item_far_sight_Lore}"
"DOTA_Tooltip_Ability_item_far_sight_2_Note0"                                   "#{DOTA_Tooltip_Ability_item_far_sight_Note0}"
"DOTA_Tooltip_Ability_item_far_sight_2_bonus_mana"                              "#{DOTA_Tooltip_Ability_item_far_sight_bonus_mana}"
"DOTA_Tooltip_Ability_item_far_sight_2_bonus_mana_regen"                        "#{DOTA_Tooltip_Ability_item_far_sight_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_far_sight_2_bonus_armor"                             "#{DOTA_Tooltip_Ability_item_far_sight_bonus_armor}"
"DOTA_Tooltip_Ability_item_far_sight_2_bonus_to_worst_attribute"                "#{DOTA_Tooltip_Ability_item_far_sight_bonus_to_worst_attribute}"
"DOTA_Tooltip_Ability_item_far_sight_2_bonus_vision_range"                      "#{DOTA_Tooltip_Ability_item_far_sight_bonus_vision_range}"
"DOTA_Tooltip_Ability_item_far_sight_2_bonus_cast_range"                        "#{DOTA_Tooltip_Ability_item_far_sight_bonus_cast_range}"

"DOTA_Tooltip_Ability_item_far_sight_3"                                         "#{DOTA_Tooltip_Ability_item_far_sight}"
"DOTA_Tooltip_Ability_item_recipe_far_sight_3"                                  "#{DOTA_Tooltip_Ability_item_recipe_far_sight}"
"DOTA_Tooltip_Ability_item_far_sight_3_Description"                             "#{DOTA_Tooltip_Ability_item_far_sight_Description}"
"DOTA_Tooltip_Ability_item_far_sight_3_Lore"                                    "#{DOTA_Tooltip_Ability_item_far_sight_Lore}"
"DOTA_Tooltip_Ability_item_far_sight_3_Note0"                                   "#{DOTA_Tooltip_Ability_item_far_sight_Note0}"
"DOTA_Tooltip_Ability_item_far_sight_3_bonus_mana"                              "#{DOTA_Tooltip_Ability_item_far_sight_bonus_mana}"
"DOTA_Tooltip_Ability_item_far_sight_3_bonus_mana_regen"                        "#{DOTA_Tooltip_Ability_item_far_sight_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_far_sight_3_bonus_armor"                             "#{DOTA_Tooltip_Ability_item_far_sight_bonus_armor}"
"DOTA_Tooltip_Ability_item_far_sight_3_bonus_to_worst_attribute"                "#{DOTA_Tooltip_Ability_item_far_sight_bonus_to_worst_attribute}"
"DOTA_Tooltip_Ability_item_far_sight_3_bonus_vision_range"                      "#{DOTA_Tooltip_Ability_item_far_sight_bonus_vision_range}"
"DOTA_Tooltip_Ability_item_far_sight_3_bonus_cast_range"                        "#{DOTA_Tooltip_Ability_item_far_sight_bonus_cast_range}"

"DOTA_Tooltip_Ability_item_far_sight_4"                                         "#{DOTA_Tooltip_Ability_item_far_sight}"
"DOTA_Tooltip_Ability_item_recipe_far_sight_4"                                  "#{DOTA_Tooltip_Ability_item_recipe_far_sight}"
"DOTA_Tooltip_Ability_item_far_sight_4_Description"                             "#{DOTA_Tooltip_Ability_item_far_sight_Description}"
"DOTA_Tooltip_Ability_item_far_sight_4_Lore"                                    "#{DOTA_Tooltip_Ability_item_far_sight_Lore}"
"DOTA_Tooltip_Ability_item_far_sight_4_Note0"                                   "#{DOTA_Tooltip_Ability_item_far_sight_Note0}"
"DOTA_Tooltip_Ability_item_far_sight_4_bonus_mana"                              "#{DOTA_Tooltip_Ability_item_far_sight_bonus_mana}"
"DOTA_Tooltip_Ability_item_far_sight_4_bonus_mana_regen"                        "#{DOTA_Tooltip_Ability_item_far_sight_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_far_sight_4_bonus_armor"                             "#{DOTA_Tooltip_Ability_item_far_sight_bonus_armor}"
"DOTA_Tooltip_Ability_item_far_sight_4_bonus_to_worst_attribute"                "#{DOTA_Tooltip_Ability_item_far_sight_bonus_to_worst_attribute}"
"DOTA_Tooltip_Ability_item_far_sight_4_bonus_vision_range"                      "#{DOTA_Tooltip_Ability_item_far_sight_bonus_vision_range}"
"DOTA_Tooltip_Ability_item_far_sight_4_bonus_cast_range"                        "#{DOTA_Tooltip_Ability_item_far_sight_bonus_cast_range}"

"DOTA_Tooltip_Ability_item_far_sight_5"                                         "#{DOTA_Tooltip_Ability_item_far_sight}"
"DOTA_Tooltip_Ability_item_recipe_far_sight_5"                                  "#{DOTA_Tooltip_Ability_item_recipe_far_sight}"
"DOTA_Tooltip_Ability_item_far_sight_5_Description"                             "#{DOTA_Tooltip_Ability_item_far_sight_Description}"
"DOTA_Tooltip_Ability_item_far_sight_5_Lore"                                    "#{DOTA_Tooltip_Ability_item_far_sight_Lore}"
"DOTA_Tooltip_Ability_item_far_sight_5_Note0"                                   "#{DOTA_Tooltip_Ability_item_far_sight_Note0}"
"DOTA_Tooltip_Ability_item_far_sight_5_bonus_mana"                              "#{DOTA_Tooltip_Ability_item_far_sight_bonus_mana}"
"DOTA_Tooltip_Ability_item_far_sight_5_bonus_mana_regen"                        "#{DOTA_Tooltip_Ability_item_far_sight_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_far_sight_5_bonus_armor"                             "#{DOTA_Tooltip_Ability_item_far_sight_bonus_armor}"
"DOTA_Tooltip_Ability_item_far_sight_5_bonus_to_worst_attribute"                "#{DOTA_Tooltip_Ability_item_far_sight_bonus_to_worst_attribute}"
"DOTA_Tooltip_Ability_item_far_sight_5_bonus_vision_range"                      "#{DOTA_Tooltip_Ability_item_far_sight_bonus_vision_range}"
"DOTA_Tooltip_Ability_item_far_sight_5_bonus_cast_range"                        "#{DOTA_Tooltip_Ability_item_far_sight_bonus_cast_range}"
