//=================================================================================
// Greater Arcane Boots
//=================================================================================
"DOTA_Tooltip_Ability_item_greater_arcane_boots"                          "Greater Arcane Boots"
"DOTA_Tooltip_ability_item_greater_arcane_boots_Description"              "<h1>Active: Replenish Mana</h1>Restores %replenish_amount% mana to all nearby allies.<br><br>Radius: %replenish_radius%\n<h1>Passive: Greed</h1> Generates unreliable gold. <br><br>Flat movement speed bonuses from multiple pairs of boots do not stack. Can be upgraded to Greater Guardian Greaves of the same level by combining with level 1 Mekansm and the regular Guardian Greaves Recipe."
"DOTA_Tooltip_ability_item_greater_arcane_boots_Lore"                     "Magi equipped with these boots are valued in battle."
"DOTA_Tooltip_ability_item_greater_arcane_boots_Note0"                    "Does not work on Meepo clones."
"DOTA_Tooltip_ability_item_greater_arcane_boots_bonus_movement"           "+$move_speed"
"DOTA_Tooltip_ability_item_greater_arcane_boots_bonus_mana"               "+$mana"
"DOTA_Tooltip_Ability_item_greater_arcane_boots_bonus_gold_per_minute"    "+Gold/Min"

"DOTA_Tooltip_Ability_item_greater_arcane_boots_2"                        "#{DOTA_Tooltip_Ability_item_greater_arcane_boots}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_2_Description"            "#{DOTA_Tooltip_ability_item_greater_arcane_boots_Description}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_2_Lore"                   "#{DOTA_Tooltip_ability_item_greater_arcane_boots_Lore}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_2_Note0"                  "#{DOTA_Tooltip_ability_item_greater_arcane_boots_Note0}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_2_bonus_movement"         "#{DOTA_Tooltip_ability_item_greater_arcane_boots_bonus_movement}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_2_bonus_mana"             "#{DOTA_Tooltip_ability_item_greater_arcane_boots_bonus_mana}"
"DOTA_Tooltip_Ability_item_greater_arcane_boots_2_bonus_gold_per_minute"  "#{DOTA_Tooltip_Ability_item_greater_arcane_boots_bonus_gold_per_minute}"

"DOTA_Tooltip_Ability_item_greater_arcane_boots_3"                        "#{DOTA_Tooltip_Ability_item_greater_arcane_boots}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_3_Description"            "#{DOTA_Tooltip_ability_item_greater_arcane_boots_Description}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_3_Lore"                   "#{DOTA_Tooltip_ability_item_greater_arcane_boots_Lore}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_3_Note0"                  "#{DOTA_Tooltip_ability_item_greater_arcane_boots_Note0}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_3_bonus_movement"         "#{DOTA_Tooltip_ability_item_greater_arcane_boots_bonus_movement}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_3_bonus_mana"             "#{DOTA_Tooltip_ability_item_greater_arcane_boots_bonus_mana}"
"DOTA_Tooltip_Ability_item_greater_arcane_boots_3_bonus_gold_per_minute"  "#{DOTA_Tooltip_Ability_item_greater_arcane_boots_bonus_gold_per_minute}"

"DOTA_Tooltip_Ability_item_greater_arcane_boots_4"                        "#{DOTA_Tooltip_Ability_item_greater_arcane_boots}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_4_Description"            "#{DOTA_Tooltip_ability_item_greater_arcane_boots_Description}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_4_Lore"                   "#{DOTA_Tooltip_ability_item_greater_arcane_boots_Lore}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_4_Note0"                  "#{DOTA_Tooltip_ability_item_greater_arcane_boots_Note0}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_4_bonus_movement"         "#{DOTA_Tooltip_ability_item_greater_arcane_boots_bonus_movement}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_4_bonus_mana"             "#{DOTA_Tooltip_ability_item_greater_arcane_boots_bonus_mana}"
"DOTA_Tooltip_Ability_item_greater_arcane_boots_4_bonus_gold_per_minute"  "#{DOTA_Tooltip_Ability_item_greater_arcane_boots_bonus_gold_per_minute}"

"DOTA_Tooltip_Ability_item_greater_arcane_boots_5"                        "#{DOTA_Tooltip_Ability_item_greater_arcane_boots}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_5_Description"            "#{DOTA_Tooltip_ability_item_greater_arcane_boots_Description}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_5_Lore"                   "#{DOTA_Tooltip_ability_item_greater_arcane_boots_Lore}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_5_Note0"                  "#{DOTA_Tooltip_ability_item_greater_arcane_boots_Note0}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_5_bonus_movement"         "#{DOTA_Tooltip_ability_item_greater_arcane_boots_bonus_movement}"
"DOTA_Tooltip_ability_item_greater_arcane_boots_5_bonus_mana"             "#{DOTA_Tooltip_ability_item_greater_arcane_boots_bonus_mana}"
"DOTA_Tooltip_Ability_item_greater_arcane_boots_5_bonus_gold_per_minute"  "#{DOTA_Tooltip_Ability_item_greater_arcane_boots_bonus_gold_per_minute}"
