//=================================================================================
// Greater Guardian Greaves
//=================================================================================
// "DOTA_Tooltip_ability_item_guardian_greaves_Description"                       "<h1>Active: Mend</h1>Restores %replenish_health% health and %replenish_mana% mana to nearby allies, and removes most negative effects from the caster.<br><br>Radius: %replenish_radius%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>\n\n<h1>Passive: Guardian Aura</h1> Grants %aura_health_regen% health regeneration, %aura_mana_regen% mana regeneration and %aura_armor% armor to allied units. If an allied hero's health falls below %aura_bonus_threshold%%%, this is increased to %aura_health_regen_bonus% health regeneration, %aura_mana_regen_bonus% mana regeneration and %aura_armor_bonus% armor. <br><br>Radius: %aura_radius% \nMovement speed bonuses from multiple pairs of boots do not stack."
// "DOTA_Tooltip_ability_item_guardian_greaves_bonus_movement"                    "+$move_speed"
// "DOTA_Tooltip_ability_item_guardian_greaves_bonus_mana"                        "+$mana"
// "DOTA_Tooltip_ability_item_guardian_greaves_mana_regen"                        "+$mana_regen"
// "DOTA_Tooltip_ability_item_guardian_greaves_bonus_armor"                       "+$armor"
// "DOTA_Tooltip_ability_item_guardian_greaves_Lore"                              "One of many holy instruments constructed to honor the Omniscience."
// "DOTA_Tooltip_ability_item_guardian_greaves_Note0"                             "The aura boost only applies to heroes."
// "DOTA_Tooltip_ability_item_guardian_greaves_Note1"                             "Mend does not affect units that have been affected by Mend or Mekansm Restore within Guardian Greaves' cooldown."

// "DOTA_Tooltip_modifier_item_guardian_greaves_aura"                             "Guardian Aura"
// "DOTA_Tooltip_modifier_item_guardian_greaves_aura_Description"                 "Provides %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% health regeneration and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."

"DOTA_Tooltip_Ability_item_greater_guardian_greaves"                            "Greater Guardian Greaves"
"DOTA_Tooltip_Ability_item_recipe_greater_guardian_greaves"                     "Greater Guardian Greaves Recipe"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_Description"                "<h1>Active: Great Mend</h1>Restores %replenish_health% <font color='#FFA500'>+ %max_health_pct_heal_amount%%%</font> health and %replenish_mana% mana to nearby allies, and removes most negative effects from the caster.<br><br>Radius: %replenish_radius%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>\n\n<h1>Passive: Greater Guardian Aura</h1> Grants %aura_health_regen% health regeneration, %aura_mana_regen% mana regeneration and <font color='#FFA500'> %aura_armor% armor</font> to allied units. <br><br>Radius: %aura_radius% \n\n<h1>Passive: Guardian Sustain</h1> If the wearer's health falls below %hp_threshold%%%, their health regen is increased by %low_hp_health_regen_bonus%, <font color='#FFA500'>their mana regen is increased by %low_hp_mana_regen_bonus% and their armor is increased by %low_hp_armor_bonus%.</font>"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_movement"             "+$move_speed"
//"DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_all_stats"            "+$all"
//"DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_mana"                 "+$mana"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_armor"                "+$armor"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_mana_regen"                 "+$mana_regen"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_Lore"                       "Forged by the Omniscience himself, sewn from the threads of mighty Pegasus's mane."
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_Note0"                      "#{DOTA_Tooltip_ability_item_guardian_greaves_Note0}"

"DOTA_Tooltip_Ability_item_greater_guardian_greaves_2"                          "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves}"
"DOTA_Tooltip_Ability_item_recipe_greater_guardian_greaves_2"                   "#{DOTA_Tooltip_Ability_item_recipe_greater_guardian_greaves}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_2_Description"              "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_Description}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_2_bonus_movement"           "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_movement}"
//"DOTA_Tooltip_Ability_item_greater_guardian_greaves_2_bonus_all_stats"          "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_all_stats}"
//"DOTA_Tooltip_Ability_item_greater_guardian_greaves_2_bonus_mana"               "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_mana}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_2_bonus_armor"              "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_armor}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_2_mana_regen"               "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_mana_regen}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_2_Lore"                     "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_Lore}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_2_Note0"                    "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_Note0}"

"DOTA_Tooltip_Ability_item_greater_guardian_greaves_3"                          "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves}"
"DOTA_Tooltip_Ability_item_recipe_greater_guardian_greaves_3"                   "#{DOTA_Tooltip_Ability_item_recipe_greater_guardian_greaves}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_3_Description"              "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_Description}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_3_bonus_movement"           "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_movement}"
//"DOTA_Tooltip_Ability_item_greater_guardian_greaves_3_bonus_all_stats"          "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_all_stats}"
//"DOTA_Tooltip_Ability_item_greater_guardian_greaves_3_bonus_mana"               "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_mana}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_3_bonus_armor"              "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_armor}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_3_mana_regen"               "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_mana_regen}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_3_Lore"                     "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_Lore}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_3_Note0"                    "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_Note0}"

"DOTA_Tooltip_Ability_item_greater_guardian_greaves_4"                          "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves}"
"DOTA_Tooltip_Ability_item_recipe_greater_guardian_greaves_4"                   "#{DOTA_Tooltip_Ability_item_recipe_greater_guardian_greaves}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_4_Description"              "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_Description}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_4_bonus_movement"           "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_movement}"
//"DOTA_Tooltip_Ability_item_greater_guardian_greaves_4_bonus_all_stats"          "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_all_stats}"
//"DOTA_Tooltip_Ability_item_greater_guardian_greaves_4_bonus_mana"               "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_mana}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_4_bonus_armor"              "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_bonus_armor}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_4_mana_regen"               "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_mana_regen}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_4_Lore"                     "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_Lore}"
"DOTA_Tooltip_Ability_item_greater_guardian_greaves_4_Note0"                    "#{DOTA_Tooltip_Ability_item_greater_guardian_greaves_Note0}"

"DOTA_Tooltip_modifier_item_greater_guardian_greaves_aura"                      "Greater #{DOTA_Tooltip_modifier_item_guardian_greaves_aura}"
"DOTA_Tooltip_modifier_item_greater_guardian_greaves_aura_Description"          ""

