//===================================================================
// Greater Phase Boots
//===================================================================
"DOTA_Tooltip_Ability_item_greater_phase_boots"                                 "Greater Phase Boots"
"DOTA_Tooltip_Ability_item_recipe_greater_phase_boots"                          "Greater Phase Boots Recipe"
"DOTA_Tooltip_Ability_item_greater_phase_boots_Description"                     "<h1>Active: Greater Phase</h1> You become phased, you gain %phase_movement_speed%%% bonus move speed, and you can turn more quickly for %phase_duration% seconds. <br>When melee, enemies you phase through are damaged with an instant attack that also procs attack modifiers. <br>When ranged, upon activation you will attack all visible enemies within your attack range plus %active_bonus_range% range. Disjoints projectiles upon activation."
"DOTA_Tooltip_Ability_item_greater_phase_boots_Lore"                            "Boots of Sylvanas, the unstoppable."
"DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_damage"                    "+$damage"
"DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_movement_speed"            "+$move_speed"
"DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_armor"                     "+$armor"
"DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_health"                    "+$health"
"DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_mana_regen"                "+$mana_regen"
//"item_greater_phase_boots_splinter_Description"                                 "<h1>Passive: Phantom Hit</h1> Deals %splinter_attack_outgoing%%% of attack damage as physical damage to up to %splinter_count% random neutral creeps around the target.<br><br>Radius: %splinter_radius%"

"DOTA_Tooltip_Ability_item_greater_phase_boots_2"                               "#{DOTA_Tooltip_Ability_item_greater_phase_boots}"
"DOTA_Tooltip_Ability_item_recipe_greater_phase_boots_2"                        "#{DOTA_Tooltip_Ability_item_recipe_greater_phase_boots}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_2_Description"                   "#{DOTA_Tooltip_Ability_item_greater_phase_boots_Description}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_2_Lore"                          "#{DOTA_Tooltip_Ability_item_greater_phase_boots_Lore}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_2_bonus_damage"                  "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_damage}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_2_bonus_movement_speed"          "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_movement_speed}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_2_bonus_armor"                   "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_armor}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_2_bonus_health"                  "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_health}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_2_bonus_mana_regen"              "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_greater_phase_boots_3"                               "#{DOTA_Tooltip_Ability_item_greater_phase_boots}"
"DOTA_Tooltip_Ability_item_recipe_greater_phase_boots_3"                        "#{DOTA_Tooltip_Ability_item_recipe_greater_phase_boots}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_3_Description"                   "#{DOTA_Tooltip_Ability_item_greater_phase_boots_Description}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_3_Lore"                          "#{DOTA_Tooltip_Ability_item_greater_phase_boots_Lore}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_3_bonus_damage"                  "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_damage}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_3_bonus_movement_speed"          "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_movement_speed}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_3_bonus_armor"                   "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_armor}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_3_bonus_health"                  "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_health}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_3_bonus_mana_regen"              "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_greater_phase_boots_4"                               "#{DOTA_Tooltip_Ability_item_greater_phase_boots}"
"DOTA_Tooltip_Ability_item_recipe_greater_phase_boots_4"                        "#{DOTA_Tooltip_Ability_item_recipe_greater_phase_boots}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_4_Description"                   "#{DOTA_Tooltip_Ability_item_greater_phase_boots_Description}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_4_Lore"                          "#{DOTA_Tooltip_Ability_item_greater_phase_boots_Lore}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_4_bonus_damage"                  "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_damage}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_4_bonus_movement_speed"          "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_movement_speed}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_4_bonus_armor"                   "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_armor}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_4_bonus_health"                  "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_health}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_4_bonus_mana_regen"              "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_greater_phase_boots_5"                               "#{DOTA_Tooltip_Ability_item_greater_phase_boots}"
"DOTA_Tooltip_Ability_item_recipe_greater_phase_boots_5"                        "#{DOTA_Tooltip_Ability_item_recipe_greater_phase_boots}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_5_Description"                   "#{DOTA_Tooltip_Ability_item_greater_phase_boots_Description}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_5_Lore"                          "#{DOTA_Tooltip_Ability_item_greater_phase_boots_Lore}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_5_bonus_damage"                  "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_damage}"
"DOTA_Tooltip_Ability_item_greater_phase_boots_5_bonus_movement_speed"          "#{DOTA_Tooltip_Ability_item_greater_phase_boots_bonus_movement_speed}"
