//===============================================================================
// Greater Boots of Travel
//===============================================================================
"DOTA_Tooltip_Ability_item_greater_travel_boots"                                "Greater Boots of Travel"
"DOTA_Tooltip_Ability_item_recipe_greater_travel_boots"                         "Greater Boots of Travel Recipe"
"DOTA_Tooltip_Ability_item_greater_travel_boots_Description"                    "#{item_greater_travel_boots_ability_Description}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_Lore"                           "The boots of a once renowned legendary merchant."
"DOTA_Tooltip_Ability_item_greater_travel_boots_bonus_movement_speed"           "%+$move_speed"
"item_greater_travel_boots_ability_Description"                                 "<h1>Active: Teleport</h1> Teleports you to any allied structure or unit, including heroes. Teleporting to a unit is interrupted if the target unit dies."

"DOTA_Tooltip_Ability_item_greater_travel_boots_2"                              "#{DOTA_Tooltip_Ability_item_greater_travel_boots}"
"DOTA_Tooltip_Ability_item_recipe_greater_travel_boots_2"                       "#{DOTA_Tooltip_Ability_item_recipe_greater_travel_boots}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_2_Description"                  "#{DOTA_Tooltip_Ability_item_greater_travel_boots_Description}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_2_Lore"                         "#{DOTA_Tooltip_Ability_item_greater_travel_boots_Lore}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_2_bonus_movement_speed"         "#{DOTA_Tooltip_Ability_item_greater_travel_boots_bonus_movement_speed}"

"DOTA_Tooltip_Ability_item_greater_travel_boots_3"                              "#{DOTA_Tooltip_Ability_item_greater_travel_boots}"
"DOTA_Tooltip_Ability_item_recipe_greater_travel_boots_3"                       "#{DOTA_Tooltip_Ability_item_recipe_greater_travel_boots}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_3_Description"                  "#{DOTA_Tooltip_Ability_item_greater_travel_boots_Description}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_3_Lore"                         "#{DOTA_Tooltip_Ability_item_greater_travel_boots_Lore}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_3_bonus_movement_speed"         "#{DOTA_Tooltip_Ability_item_greater_travel_boots_bonus_movement_speed}"

"DOTA_Tooltip_Ability_item_greater_travel_boots_4"                              "#{DOTA_Tooltip_Ability_item_greater_travel_boots}"
"DOTA_Tooltip_Ability_item_recipe_greater_travel_boots_4"                       "#{DOTA_Tooltip_Ability_item_recipe_greater_travel_boots}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_4_Description"                  "#{DOTA_Tooltip_Ability_item_greater_travel_boots_Description}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_4_Lore"                         "#{DOTA_Tooltip_Ability_item_greater_travel_boots_Lore}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_4_bonus_movement_speed"         "#{DOTA_Tooltip_Ability_item_greater_travel_boots_bonus_movement_speed}"

"DOTA_Tooltip_Ability_item_greater_travel_boots_5"                              "#{DOTA_Tooltip_Ability_item_greater_travel_boots}"
"DOTA_Tooltip_Ability_item_recipe_greater_travel_boots_5"                       "#{DOTA_Tooltip_Ability_item_recipe_greater_travel_boots}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_5_Description"                  "#{DOTA_Tooltip_Ability_item_greater_travel_boots_Description}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_5_Lore"                         "#{DOTA_Tooltip_Ability_item_greater_travel_boots_Lore}"
"DOTA_Tooltip_Ability_item_greater_travel_boots_5_bonus_movement_speed"         "#{DOTA_Tooltip_Ability_item_greater_travel_boots_bonus_movement_speed}"

"DOTA_Tooltip_Ability_item_travel_origin"                                       "Travel Spark"
"DOTA_Tooltip_Ability_item_recipe_travel_origin"                                "Travel Spark Recipe"
"DOTA_Tooltip_Ability_item_travel_origin_Description"                           "#{item_greater_travel_boots_ability_Description}"
"DOTA_Tooltip_Ability_item_travel_origin_Lore"                                  "The thirst for adventure is an ever-common catalyst for the humble to become heroes."
"DOTA_Tooltip_Ability_item_travel_origin_bonus_movement_speed"                  "#{DOTA_Tooltip_Ability_item_greater_travel_boots_bonus_movement_speed}"
