//=====================================================================
// Hand of Midas
//=====================================================================
"DOTA_Tooltip_Ability_item_hand_of_midas"             "Hand of Midas"
"DOTA_Tooltip_Ability_item_recipe_hand_of_midas"      "Hand of Midas Recipe"
"DOTA_Tooltip_Ability_item_hand_of_midas_Description"                             "<h1>Active: Transmute</h1> Kills a non-hero target for %bonus_gold% gold and %xp_multiplier%x experience. <br><br> Cannot be used on Ancient Creeps.<br><br>Range: %transmute_cast_range_tooltip%"
"DOTA_Tooltip_Ability_item_hand_of_midas_Lore"                                    "Preserved through unknown magical means, the Hand of Midas is a weapon of greed, sacrificing animals to line the owner's pockets."
"DOTA_Tooltip_Ability_item_hand_of_midas_Note0"                               "The gold given is reliable gold (you do not get the normal creep bounty)."
"DOTA_Tooltip_Ability_item_hand_of_midas_Note1"                               "Experience gained by using Transmute is not shared."
"DOTA_Tooltip_Ability_item_hand_of_midas_bonus_attack_speed"                  "+$attack"
//"DOTA_Tooltip_Ability_item_hand_of_midas_transmute_cast_range_tooltip"        "TRANSMUTE CAST RANGE:"

"DOTA_Tooltip_Ability_item_hand_of_midas_2"             "Hand of Midas"
"DOTA_Tooltip_Ability_item_recipe_hand_of_midas_2"      "Hand of Midas Recipe"
"DOTA_Tooltip_Ability_item_hand_of_midas_2_Description"                             "<h1>Active: Transmute</h1> Kills a non-hero target for %bonus_gold% gold and %xp_multiplier%x experience. <br><br> Cannot be used on Ancient Creeps.<br><br>Range: %transmute_cast_range_tooltip%"
"DOTA_Tooltip_Ability_item_hand_of_midas_2_Lore"                                    "Preserved through unknown magical means, the Hand of Midas is a weapon of greed, sacrificing animals to line the owner's pockets."
"DOTA_Tooltip_Ability_item_hand_of_midas_2_Note0"                               "The gold given is reliable gold (you do not get the normal creep bounty)."
"DOTA_Tooltip_Ability_item_hand_of_midas_2_Note1"                               "Experience gained by using Transmute is not shared."
"DOTA_Tooltip_Ability_item_hand_of_midas_2_bonus_attack_speed"                  "+$attack"
//"DOTA_Tooltip_Ability_item_hand_of_midas_2_transmute_cast_range_tooltip"        "TRANSMUTE CAST RANGE:"

"DOTA_Tooltip_Ability_item_hand_of_midas_3"             "Hand of Midas"
"DOTA_Tooltip_Ability_item_recipe_hand_of_midas_3"      "Hand of Midas Recipe"
"DOTA_Tooltip_Ability_item_hand_of_midas_3_Description"                             "<h1>Active: Transmute</h1> Kills a non-hero target for %bonus_gold% gold and %xp_multiplier%x experience. <br><br> Cannot be used on Ancient Creeps.<br><br>Range: %transmute_cast_range_tooltip%"
"DOTA_Tooltip_Ability_item_hand_of_midas_3_Lore"                                    "Preserved through unknown magical means, the Hand of Midas is a weapon of greed, sacrificing animals to line the owner's pockets."
"DOTA_Tooltip_Ability_item_hand_of_midas_3_Note0"                               "The gold given is reliable gold (you do not get the normal creep bounty)."
"DOTA_Tooltip_Ability_item_hand_of_midas_3_Note1"                               "Experience gained by using Transmute is not shared."
"DOTA_Tooltip_Ability_item_hand_of_midas_3_bonus_attack_speed"                  "+$attack"
//"DOTA_Tooltip_Ability_item_hand_of_midas_3_transmute_cast_range_tooltip"        "TRANSMUTE CAST RANGE:"
