//========================================================================+
// Heart of Tarrasque
//========================================================================+
// "DOTA_Tooltip_Ability_item_heart"                                              "Heart of Tarrasque"
// "DOTA_Tooltip_Ability_item_recipe_heart"                                       "Heart of Tarrasque Recipe"
// "DOTA_Tooltip_ability_item_heart_Note0"                                        "Multiple instances of Behemoth's Blood do not stack."
// "DOTA_Tooltip_ability_item_heart_Description"                                  "<h1>Passive: Behemoth's Blood</h1>Your health regeneration is increased by %missing_health_regen%%% of your missing health."
// "DOTA_Tooltip_ability_item_heart_Lore"                                         "Preserved heart of an extinct monster, it bolsters the bearer's fortitude."
// "DOTA_Tooltip_ability_item_heart_bonus_strength"                               "+$str"
// "DOTA_Tooltip_ability_item_heart_hp_regen"                                     "%+Max Health Regen"

"DOTA_Tooltip_Ability_item_heart_2"                                             "#{DOTA_Tooltip_Ability_item_heart}"
"DOTA_Tooltip_Ability_item_recipe_heart_2"                                      "#{DOTA_Tooltip_Ability_item_recipe_heart}"
"DOTA_Tooltip_Ability_item_heart_2_Description"                                 "#{DOTA_Tooltip_ability_item_heart_Description}"
"DOTA_Tooltip_Ability_item_heart_2_Lore"                                        "#{DOTA_Tooltip_ability_item_heart_Lore}"
"DOTA_Tooltip_Ability_item_heart_2_Note0"                                       "#{DOTA_Tooltip_ability_item_heart_Note0}"
"DOTA_Tooltip_Ability_item_heart_2_bonus_strength"                              "#{DOTA_Tooltip_ability_item_heart_bonus_strength}"
"DOTA_Tooltip_Ability_item_heart_2_hp_regen"                                    "#{DOTA_Tooltip_ability_item_heart_hp_regen}"

"DOTA_Tooltip_Ability_item_heart_3"                                             "#{DOTA_Tooltip_Ability_item_heart}"
"DOTA_Tooltip_Ability_item_recipe_heart_3"                                      "#{DOTA_Tooltip_Ability_item_recipe_heart}"
"DOTA_Tooltip_Ability_item_heart_3_Description"                                 "#{DOTA_Tooltip_ability_item_heart_Description}"
"DOTA_Tooltip_Ability_item_heart_3_Lore"                                        "#{DOTA_Tooltip_ability_item_heart_Lore}"
"DOTA_Tooltip_Ability_item_heart_3_Note0"                                       "#{DOTA_Tooltip_ability_item_heart_Note0}"
"DOTA_Tooltip_Ability_item_heart_3_bonus_strength"                              "#{DOTA_Tooltip_ability_item_heart_bonus_strength}"
"DOTA_Tooltip_Ability_item_heart_3_hp_regen"                                    "#{DOTA_Tooltip_ability_item_heart_hp_regen}"

"DOTA_Tooltip_Ability_item_heart_4"                                             "#{DOTA_Tooltip_Ability_item_heart}"
"DOTA_Tooltip_Ability_item_recipe_heart_4"                                      "#{DOTA_Tooltip_Ability_item_recipe_heart}"
"DOTA_Tooltip_Ability_item_heart_4_Description"                                 "#{DOTA_Tooltip_ability_item_heart_Description}"
"DOTA_Tooltip_Ability_item_heart_4_Lore"                                        "#{DOTA_Tooltip_ability_item_heart_Lore}"
"DOTA_Tooltip_Ability_item_heart_4_Note0"                                       "#{DOTA_Tooltip_ability_item_heart_Note0}"
"DOTA_Tooltip_Ability_item_heart_4_bonus_strength"                              "#{DOTA_Tooltip_ability_item_heart_bonus_strength}"
"DOTA_Tooltip_Ability_item_heart_4_hp_regen"                                    "#{DOTA_Tooltip_ability_item_heart_hp_regen}"

"DOTA_Tooltip_Ability_item_heart_5"                                             "#{DOTA_Tooltip_Ability_item_heart}"
"DOTA_Tooltip_Ability_item_recipe_heart_5"                                      "#{DOTA_Tooltip_Ability_item_recipe_heart}"
"DOTA_Tooltip_Ability_item_heart_5_Description"                                 "#{DOTA_Tooltip_ability_item_heart_Description}"
"DOTA_Tooltip_Ability_item_heart_5_Lore"                                        "#{DOTA_Tooltip_ability_item_heart_Lore}"
"DOTA_Tooltip_Ability_item_heart_5_Note0"                                       "#{DOTA_Tooltip_ability_item_heart_Note0}"
"DOTA_Tooltip_Ability_item_heart_5_bonus_strength"                              "#{DOTA_Tooltip_ability_item_heart_bonus_strength}"
"DOTA_Tooltip_Ability_item_heart_5_hp_regen"                                    "#{DOTA_Tooltip_ability_item_heart_hp_regen}"
