//=================================================================================================================
// Helm of the Dominator and Overlord
//=================================================================================================================
//"DOTA_Tooltip_Ability_item_helm_of_the_dominator"                               "Helm of the Dominator"
//"DOTA_Tooltip_Ability_item_recipe_helm_of_the_dominator"                        "Helm of the Dominator Recipe"
//"DOTA_Tooltip_ability_item_helm_of_the_dominator_Description"                   "<h1>Active: Dominate</h1>Takes control of one neutral, non-ancient target unit and sets its movement speed to %speed_base% and max health to a minimum of %health_min%. Also provides the unit with +%creep_bonus_damage% base attack damage, +%creep_bonus_hp_regen% health regen and +%creep_bonus_mp_regen% mana regen<br><br>Dominated units with a max health of greater than %health_min% retain their original max health.  Dominated unit's bounty is set to %bounty_gold% gold.<br><br>Range: %abilitycastrange%"
//"DOTA_Tooltip_ability_item_helm_of_the_dominator_Lore"                          "The powerful headpiece of a dead necromancer."
//"DOTA_Tooltip_ability_item_helm_of_the_dominator_Note0"                         "Cannot dominate more than one unit at a time.  If a new unit is dominated, the old one will die."
//"DOTA_Tooltip_ability_item_helm_of_the_dominator_bonus_stats"                   "+$all"
//"DOTA_Tooltip_ability_item_helm_of_the_dominator_bonus_armor"                   "+$armor"
//"DOTA_Tooltip_ability_item_helm_of_the_dominator_bonus_regen"                   "+$hp_regen"

//"DOTA_Tooltip_Ability_item_helm_of_the_overlord"                                "Helm of the Overlord"
//"DOTA_Tooltip_Ability_item_recipe_helm_of_the_overlord"                         "Helm of the Overlord Recipe"
//"DOTA_Tooltip_ability_item_helm_of_the_overlord_Description"                    "<h1>Active: Dominate</h1>Takes control of one neutral target unit and sets its movement speed to %speed_base% and max health to a minimum of %health_min%. Also provides the unit with +%creep_bonus_damage% base attack damage, +%creep_bonus_hp_regen% health regen, +%creep_bonus_mp_regen% mana regen, +%creep_bonus_armor% armor, and levels up some abilities of the target by 1 level. <br><br>Dominated units with a max health of greater than %health_min% retain their original max health.  Dominated unit's bounty is set to %bounty_gold% gold.<br><br>Range: %abilitycastrange%"
//"DOTA_Tooltip_ability_item_helm_of_the_overlord_Lore"                           "The powerful headpiece of a dead necromancer."
"DOTA_Tooltip_ability_item_helm_of_the_overlord_Note0"                          "Cannot dominate more than one unit at a time. If a new unit is dominated, the old one will die."
"DOTA_Tooltip_ability_item_helm_of_the_overlord_Note1"                          "Can also Dominate enemy summoned units."
"DOTA_Tooltip_ability_item_helm_of_the_overlord_Note2"                          "Selling Helm of the Overlord or upgrading it will cause dominated units to die."
//"DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_stats"                    "+$all"
//"DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_armor"                    "+$armor"
//"DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_regen"                    "+$hp_regen"

"DOTA_Tooltip_Ability_item_helm_of_the_overlord_2"                              "#{DOTA_Tooltip_Ability_item_helm_of_the_overlord}"
"DOTA_Tooltip_Ability_item_recipe_helm_of_the_overlord_2"                       "#{DOTA_Tooltip_Ability_item_recipe_helm_of_the_overlord}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_Description"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Description}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_Lore"                         "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Lore}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_Note0"                        "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Note0}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_Note1"                        "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Note1}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_Note2"                        "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Note2}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_bonus_stats"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_stats}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_bonus_armor"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_armor}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_2_bonus_regen"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_regen}"

"DOTA_Tooltip_Ability_item_helm_of_the_overlord_3"                              "#{DOTA_Tooltip_Ability_item_helm_of_the_overlord}"
"DOTA_Tooltip_Ability_item_recipe_helm_of_the_overlord_3"                       "#{DOTA_Tooltip_Ability_item_recipe_helm_of_the_overlord}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_Description"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Description}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_Lore"                         "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Lore}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_Note0"                        "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Note0}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_Note1"                        "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Note1}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_Note2"                        "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Note2}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_bonus_stats"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_stats}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_bonus_armor"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_armor}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_3_bonus_regen"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_regen}"

"DOTA_Tooltip_Ability_item_helm_of_the_overlord_4"                              "#{DOTA_Tooltip_Ability_item_helm_of_the_overlord}"
"DOTA_Tooltip_Ability_item_recipe_helm_of_the_overlord_4"                       "#{DOTA_Tooltip_Ability_item_recipe_helm_of_the_overlord}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_4_Description"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Description}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_4_Lore"                         "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Lore}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_4_Note0"                        "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Note0}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_4_Note1"                        "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Note1}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_4_Note2"                        "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Note2}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_4_bonus_stats"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_stats}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_4_bonus_armor"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_armor}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_4_bonus_regen"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_regen}"

"DOTA_Tooltip_Ability_item_helm_of_the_overlord_5"                              "#{DOTA_Tooltip_Ability_item_helm_of_the_overlord}"
"DOTA_Tooltip_Ability_item_recipe_helm_of_the_overlord_5"                       "#{DOTA_Tooltip_Ability_item_recipe_helm_of_the_overlord}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_5_Description"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Description}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_5_Lore"                         "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Lore}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_5_Note0"                        "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Note0}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_5_Note1"                        "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Note1}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_5_Note2"                        "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_Note2}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_5_bonus_stats"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_stats}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_5_bonus_armor"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_armor}"
"DOTA_Tooltip_ability_item_helm_of_the_overlord_5_bonus_regen"                  "#{DOTA_Tooltip_ability_item_helm_of_the_overlord_bonus_regen}"
