//=================================================================================================================
// Recipe: Hurricane Pike
//=================================================================================================================
//"DOTA_Tooltip_Ability_item_recipe_hurricane_pike"                               "Hurricane Pike Recipe"
"DOTA_Tooltip_Ability_item_hurricane_pike_Description"                          "<h1>Active: Hurricane Thrust</h1> Pushes you and target enemy %enemy_length% units away from each other, and for %range_duration% seconds, allows you to make %max_attacks% attacks against the target without range restrictions and with +%bonus_attack_speed% attack speed.<br><br>Can be cast on self or allies to push the target %push_length% units in the direction it is facing.<br><br>Allied Range: %abilitycastrange%<br>Enemy Range: %cast_range_enemy%<br>Cooldown: %cooldown_tooltip% seconds"
//"DOTA_Tooltip_Ability_item_hurricane_pike_base_attack_range"                    "+$attack_range"

"DOTA_Tooltip_Ability_item_hurricane_pike_2"                                    "#{DOTA_Tooltip_Ability_item_hurricane_pike}"
"DOTA_Tooltip_Ability_item_recipe_hurricane_pike_2"                             "#{DOTA_Tooltip_Ability_item_recipe_hurricane_pike}"
"DOTA_Tooltip_Ability_item_hurricane_pike_2_Description"                        "#{DOTA_Tooltip_Ability_item_hurricane_pike_Description}"
"DOTA_Tooltip_Ability_item_hurricane_pike_2_Lore"                               "#{DOTA_Tooltip_Ability_item_hurricane_pike_Lore}"
"DOTA_Tooltip_Ability_item_hurricane_pike_2_Note0"                              "#{DOTA_Tooltip_Ability_item_hurricane_pike_Note0}"
"DOTA_Tooltip_Ability_item_hurricane_pike_2_Note1"                              "#{DOTA_Tooltip_Ability_item_hurricane_pike_Note1}"
"DOTA_Tooltip_Ability_item_hurricane_pike_2_Note2"                              "#{DOTA_Tooltip_Ability_item_hurricane_pike_Note2}"
"DOTA_Tooltip_Ability_item_hurricane_pike_2_bonus_intellect"                    "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_intellect}"
"DOTA_Tooltip_Ability_item_hurricane_pike_2_bonus_health"                       "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_health}"
"DOTA_Tooltip_Ability_item_hurricane_pike_2_bonus_agility"                      "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_agility}"
"DOTA_Tooltip_Ability_item_hurricane_pike_2_bonus_strength"                     "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_strength}"
"DOTA_Tooltip_Ability_item_hurricane_pike_2_base_attack_range"                  "#{DOTA_Tooltip_Ability_item_hurricane_pike_base_attack_range}"

"DOTA_Tooltip_Ability_item_hurricane_pike_3"                                    "#{DOTA_Tooltip_Ability_item_hurricane_pike}"
"DOTA_Tooltip_Ability_item_recipe_hurricane_pike_3"                             "#{DOTA_Tooltip_Ability_item_recipe_hurricane_pike}"
"DOTA_Tooltip_Ability_item_hurricane_pike_3_Description"                        "#{DOTA_Tooltip_Ability_item_hurricane_pike_Description}"
"DOTA_Tooltip_Ability_item_hurricane_pike_3_Lore"                               "#{DOTA_Tooltip_Ability_item_hurricane_pike_Lore}"
"DOTA_Tooltip_Ability_item_hurricane_pike_3_Note0"                              "#{DOTA_Tooltip_Ability_item_hurricane_pike_Note0}"
"DOTA_Tooltip_Ability_item_hurricane_pike_3_Note1"                              "#{DOTA_Tooltip_Ability_item_hurricane_pike_Note1}"
"DOTA_Tooltip_Ability_item_hurricane_pike_3_Note2"                              "#{DOTA_Tooltip_Ability_item_hurricane_pike_Note2}"
"DOTA_Tooltip_Ability_item_hurricane_pike_3_bonus_intellect"                    "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_intellect}"
"DOTA_Tooltip_Ability_item_hurricane_pike_3_bonus_health"                       "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_health}"
"DOTA_Tooltip_Ability_item_hurricane_pike_3_bonus_agility"                      "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_agility}"
"DOTA_Tooltip_Ability_item_hurricane_pike_3_bonus_strength"                     "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_strength}"
"DOTA_Tooltip_Ability_item_hurricane_pike_3_base_attack_range"                  "#{DOTA_Tooltip_Ability_item_hurricane_pike_base_attack_range}"

"DOTA_Tooltip_Ability_item_hurricane_pike_4"                                    "#{DOTA_Tooltip_Ability_item_hurricane_pike}"
"DOTA_Tooltip_Ability_item_recipe_hurricane_pike_4"                             "#{DOTA_Tooltip_Ability_item_recipe_hurricane_pike}"
"DOTA_Tooltip_Ability_item_hurricane_pike_4_Description"                        "#{DOTA_Tooltip_Ability_item_hurricane_pike_Description}"
"DOTA_Tooltip_Ability_item_hurricane_pike_4_Lore"                               "#{DOTA_Tooltip_Ability_item_hurricane_pike_Lore}"
"DOTA_Tooltip_Ability_item_hurricane_pike_4_Note0"                              "#{DOTA_Tooltip_Ability_item_hurricane_pike_Note0}"
"DOTA_Tooltip_Ability_item_hurricane_pike_4_Note1"                              "#{DOTA_Tooltip_Ability_item_hurricane_pike_Note1}"
"DOTA_Tooltip_Ability_item_hurricane_pike_4_Note2"                              "#{DOTA_Tooltip_Ability_item_hurricane_pike_Note2}"
"DOTA_Tooltip_Ability_item_hurricane_pike_4_bonus_intellect"                    "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_intellect}"
"DOTA_Tooltip_Ability_item_hurricane_pike_4_bonus_health"                       "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_health}"
"DOTA_Tooltip_Ability_item_hurricane_pike_4_bonus_agility"                      "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_agility}"
"DOTA_Tooltip_Ability_item_hurricane_pike_4_bonus_strength"                     "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_strength}"
"DOTA_Tooltip_Ability_item_hurricane_pike_4_base_attack_range"                  "#{DOTA_Tooltip_Ability_item_hurricane_pike_base_attack_range}"

"DOTA_Tooltip_Ability_item_hurricane_pike_5"                                    "#{DOTA_Tooltip_Ability_item_hurricane_pike}"
"DOTA_Tooltip_Ability_item_recipe_hurricane_pike_5"                             "#{DOTA_Tooltip_Ability_item_recipe_hurricane_pike}"
"DOTA_Tooltip_Ability_item_hurricane_pike_5_Description"                        "#{DOTA_Tooltip_Ability_item_hurricane_pike_Description}"
"DOTA_Tooltip_Ability_item_hurricane_pike_5_Lore"                               "#{DOTA_Tooltip_Ability_item_hurricane_pike_Lore}"
"DOTA_Tooltip_Ability_item_hurricane_pike_5_Note0"                              "#{DOTA_Tooltip_Ability_item_hurricane_pike_Note0}"
"DOTA_Tooltip_Ability_item_hurricane_pike_5_Note1"                              "#{DOTA_Tooltip_Ability_item_hurricane_pike_Note1}"
"DOTA_Tooltip_Ability_item_hurricane_pike_5_Note2"                              "#{DOTA_Tooltip_Ability_item_hurricane_pike_Note2}"
"DOTA_Tooltip_Ability_item_hurricane_pike_5_bonus_intellect"                    "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_intellect}"
"DOTA_Tooltip_Ability_item_hurricane_pike_5_bonus_health"                       "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_health}"
"DOTA_Tooltip_Ability_item_hurricane_pike_5_bonus_agility"                      "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_agility}"
"DOTA_Tooltip_Ability_item_hurricane_pike_5_bonus_strength"                     "#{DOTA_Tooltip_Ability_item_hurricane_pike_bonus_strength}"
"DOTA_Tooltip_Ability_item_hurricane_pike_5_base_attack_range"                  "#{DOTA_Tooltip_Ability_item_hurricane_pike_base_attack_range}"
