"DOTA_Tooltip_Ability_item_recipe_hydras_breath"                                "Hydra's Breath Recipe"

"DOTA_Tooltip_Ability_item_hydras_breath_2"                                     "#{DOTA_Tooltip_Ability_item_hydras_breath}"
"DOTA_Tooltip_Ability_item_recipe_hydras_breath_2"                              "#{DOTA_Tooltip_Ability_item_recipe_hydras_breath}"
"DOTA_Tooltip_Ability_item_hydras_breath_2_Description"                         "#{DOTA_Tooltip_Ability_item_hydras_breath_Description}"
"DOTA_Tooltip_Ability_item_hydras_breath_2_strength"                            "#{DOTA_Tooltip_Ability_item_hydras_breath_strength}"
"DOTA_Tooltip_Ability_item_hydras_breath_2_agility"                             "#{DOTA_Tooltip_Ability_item_hydras_breath_agility}"
"DOTA_Tooltip_Ability_item_hydras_breath_2_damage"                              "#{DOTA_Tooltip_Ability_item_hydras_breath_damage}"
"DOTA_Tooltip_ability_item_hydras_breath_2_base_attack_range"                   "#{DOTA_Tooltip_ability_item_hydras_breath_base_attack_range}"

"DOTA_Tooltip_Ability_item_hydras_breath_3"                                     "#{DOTA_Tooltip_Ability_item_hydras_breath}"
"DOTA_Tooltip_Ability_item_recipe_hydras_breath_3"                              "#{DOTA_Tooltip_Ability_item_recipe_hydras_breath}"
"DOTA_Tooltip_Ability_item_hydras_breath_3_Description"                         "#{DOTA_Tooltip_Ability_item_hydras_breath_Description}"
"DOTA_Tooltip_Ability_item_hydras_breath_3_strength"                            "#{DOTA_Tooltip_Ability_item_hydras_breath_strength}"
"DOTA_Tooltip_Ability_item_hydras_breath_3_agility"                             "#{DOTA_Tooltip_Ability_item_hydras_breath_agility}"
"DOTA_Tooltip_Ability_item_hydras_breath_3_damage"                              "#{DOTA_Tooltip_Ability_item_hydras_breath_damage}"
"DOTA_Tooltip_ability_item_hydras_breath_3_base_attack_range"                   "#{DOTA_Tooltip_ability_item_hydras_breath_base_attack_range}"

"DOTA_Tooltip_Ability_item_hydras_breath_4"                                     "#{DOTA_Tooltip_Ability_item_hydras_breath}"
"DOTA_Tooltip_Ability_item_recipe_hydras_breath_4"                              "#{DOTA_Tooltip_Ability_item_recipe_hydras_breath}"
"DOTA_Tooltip_Ability_item_hydras_breath_4_Description"                         "#{DOTA_Tooltip_Ability_item_hydras_breath_Description}"
"DOTA_Tooltip_Ability_item_hydras_breath_4_strength"                            "#{DOTA_Tooltip_Ability_item_hydras_breath_strength}"
"DOTA_Tooltip_Ability_item_hydras_breath_4_agility"                             "#{DOTA_Tooltip_Ability_item_hydras_breath_agility}"
"DOTA_Tooltip_Ability_item_hydras_breath_4_damage"                              "#{DOTA_Tooltip_Ability_item_hydras_breath_damage}"
"DOTA_Tooltip_ability_item_hydras_breath_4_base_attack_range"                   "#{DOTA_Tooltip_ability_item_hydras_breath_base_attack_range}"

"DOTA_Tooltip_Ability_item_hydras_breath_5"                                     "#{DOTA_Tooltip_Ability_item_hydras_breath}"
"DOTA_Tooltip_Ability_item_recipe_hydras_breath_5"                              "#{DOTA_Tooltip_Ability_item_recipe_hydras_breath}"
"DOTA_Tooltip_Ability_item_hydras_breath_5_Description"                         "#{DOTA_Tooltip_Ability_item_hydras_breath_Description}"
"DOTA_Tooltip_Ability_item_hydras_breath_5_strength"                            "#{DOTA_Tooltip_Ability_item_hydras_breath_strength}"
"DOTA_Tooltip_Ability_item_hydras_breath_5_agility"                             "#{DOTA_Tooltip_Ability_item_hydras_breath_agility}"
"DOTA_Tooltip_Ability_item_hydras_breath_5_damage"                              "#{DOTA_Tooltip_Ability_item_hydras_breath_damage}"
"DOTA_Tooltip_ability_item_hydras_breath_5_base_attack_range"                   "#{DOTA_Tooltip_ability_item_hydras_breath_base_attack_range}"
