//===================================================================
// Lotus Orb
//===================================================================
"DOTA_Tooltip_Ability_item_lotus_orb_2"                 "Lotus Orb"
"DOTA_Tooltip_Ability_item_recipe_lotus_orb_2"          "Lotus Orb Recipe"
"DOTA_Tooltip_Ability_item_lotus_orb_2_Description"                     "Active: Echo Shell - Applies a shield to the target unit which re-casts most targeted spells back to their caster. The shielded unit will still take damage from the spell. Dispels negative buffs when applied.\n\nDISPEL TYPE: Basic Dispel"
"DOTA_Tooltip_Ability_item_lotus_orb_2_Lore"                            "The jewel at its center still reflects a pale image of its creator."
"DOTA_Tooltip_Ability_item_lotus_orb_2_bonus_damage"                "+$damage"
"DOTA_Tooltip_Ability_item_lotus_orb_2_bonus_armor"                 "+$armor"
"DOTA_Tooltip_Ability_item_lotus_orb_2_bonus_health_regen"          "+$hp_regen"
"DOTA_Tooltip_Ability_item_lotus_orb_2_bonus_mana_regen"            "%+$mana_regen"
"DOTA_Tooltip_Ability_item_lotus_orb_2_bonus_mana"                  "+$mana"
"DOTA_Tooltip_Ability_item_lotus_orb_2_active_duration"             "ECHO DURATION:"
"DOTA_Tooltip_Ability_item_lotus_orb_2_cast_range_tooltip"          "ECHO CAST RANGE:"
