//============================================================================
// Lucience
//============================================================================
"DOTA_Tooltip_Ability_item_lucience"                                            "Lucience"
"DOTA_Tooltip_Ability_item_recipe_lucience"                                     "Lucience Recipe"
"DOTA_Tooltip_Ability_item_lucience_Description"                                "<h1>Toggle: Change Aura</h1> Rejuvenates nearby allies giving them bonus %aura_bonus_hp_regen% health regen and bonus %aura_bonus_mana_regen% mana regen OR %aura_percentage_bonus_movement_speed%%% bonus move speed and %aura_bonus_attack_speed% bonus attack speed.<br><br>Radius: %aura_radius%"
"DOTA_Tooltip_Ability_item_lucience_Lore"                                       "Feel the rhythm!"
//"DOTA_Tooltip_Ability_item_lucience_bonus_health"                               "+$health"
"DOTA_Tooltip_Ability_item_lucience_bonus_strength"                             "+$str"
//"DOTA_Tooltip_Ability_item_lucience_bonus_mana"                                 "+$mana"
"DOTA_Tooltip_Ability_item_lucience_bonus_intellect"                            "+$int"
//"DOTA_Tooltip_Ability_item_lucience_bonus_armor"                                "+$armor"

"DOTA_Tooltip_Ability_item_lucience_2"                                          "#{DOTA_Tooltip_Ability_item_lucience}"
"DOTA_Tooltip_Ability_item_recipe_lucience_2"                                   "#{DOTA_Tooltip_Ability_item_recipe_lucience}"
"DOTA_Tooltip_Ability_item_lucience_2_Description"                              "#{DOTA_Tooltip_Ability_item_lucience_Description}"
"DOTA_Tooltip_Ability_item_lucience_2_Lore"                                     "#{DOTA_Tooltip_Ability_item_lucience_Lore}"
"DOTA_Tooltip_Ability_item_lucience_2_bonus_strength"                           "#{DOTA_Tooltip_Ability_item_lucience_bonus_strength}"
"DOTA_Tooltip_Ability_item_lucience_2_bonus_intellect"                          "#{DOTA_Tooltip_Ability_item_lucience_bonus_intellect}"

"DOTA_Tooltip_Ability_item_lucience_3"                                          "#{DOTA_Tooltip_Ability_item_lucience}"
"DOTA_Tooltip_Ability_item_recipe_lucience_3"                                   "#{DOTA_Tooltip_Ability_item_recipe_lucience}"
"DOTA_Tooltip_Ability_item_lucience_3_Description"                              "#{DOTA_Tooltip_Ability_item_lucience_Description}"
"DOTA_Tooltip_Ability_item_lucience_3_Lore"                                     "#{DOTA_Tooltip_Ability_item_lucience_Lore}"
"DOTA_Tooltip_Ability_item_lucience_3_bonus_strength"                           "#{DOTA_Tooltip_Ability_item_lucience_bonus_strength}"
"DOTA_Tooltip_Ability_item_lucience_3_bonus_intellect"                          "#{DOTA_Tooltip_Ability_item_lucience_bonus_intellect}"

"DOTA_Tooltip_Ability_item_lucience_4"                                          "#{DOTA_Tooltip_Ability_item_lucience}"
"DOTA_Tooltip_Ability_item_recipe_lucience_4"                                   "#{DOTA_Tooltip_Ability_item_recipe_lucience}"
"DOTA_Tooltip_Ability_item_lucience_4_Description"                              "#{DOTA_Tooltip_Ability_item_lucience_Description}"
"DOTA_Tooltip_Ability_item_lucience_4_Lore"                                     "#{DOTA_Tooltip_Ability_item_lucience_Lore}"
"DOTA_Tooltip_Ability_item_lucience_4_bonus_strength"                           "#{DOTA_Tooltip_Ability_item_lucience_bonus_strength}"
"DOTA_Tooltip_Ability_item_lucience_4_bonus_intellect"                          "#{DOTA_Tooltip_Ability_item_lucience_bonus_intellect}"

// Lucience Aura buffs
"DOTA_Tooltip_modifier_item_lucience_regen_effect"                              "Lucience Regeneration Aura"
"DOTA_Tooltip_modifier_item_lucience_regen_effect_Description"                  "Bonus %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% health regen and bonus %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen."

"DOTA_Tooltip_modifier_item_lucience_movespeed_effect"                          "Lucience Speed Aura"
"DOTA_Tooltip_modifier_item_lucience_movespeed_effect_Description"              "Bonus %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% move speed and bonus %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attack speed."
