//=================================================================================
// Manta Style
//=================================================================================
"DOTA_Tooltip_Ability_item_manta_1"                                             "Manta Style"
"DOTA_Tooltip_Ability_item_recipe_manta_1"                                      "Manta Style Recipe"
"DOTA_Tooltip_Ability_item_manta_1_Description"                                 "<h1>Active: Mirror Image</h1>Creates %images_count% images of your hero that last %tooltip_illusion_duration% seconds. <br><br>Melee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage. <br><br>Cooldown increased by %tooltip_ranged_cooldown_increase% seconds on ranged heroes.<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
"DOTA_Tooltip_Ability_item_manta_1_Lore"                                        "An axe made of reflective materials that causes confusion amongst enemy ranks."
"DOTA_Tooltip_Ability_item_manta_1_Note0"                                       "Has a 0.1 second cast time during which you are invulnerable."
"DOTA_Tooltip_Ability_item_manta_1_Note1"                                       "Many effects are removed upon using Manta."
"DOTA_Tooltip_ability_item_manta_1_Note2"                                       "Yasha based movement speed bonuses from multiple items do not stack."
"DOTA_Tooltip_Ability_item_manta_1_bonus_agility"                               "+$agi"
"DOTA_Tooltip_Ability_item_manta_1_bonus_strength"                              "+$str"
"DOTA_Tooltip_Ability_item_manta_1_bonus_intellect"                             "+$int"
"DOTA_Tooltip_Ability_item_manta_1_bonus_attack_speed"                          "+$attack"
"DOTA_Tooltip_Ability_item_manta_1_bonus_movement_speed"                        "+$move_speed"

"DOTA_Tooltip_Ability_item_manta_2"                                             "#{DOTA_Tooltip_Ability_item_manta_1}"
"DOTA_Tooltip_Ability_item_recipe_manta_2"                                      "#{DOTA_Tooltip_Ability_item_recipe_manta_1}"
"DOTA_Tooltip_Ability_item_manta_2_Description"                                 "#{DOTA_Tooltip_Ability_item_manta_1_Description}"
"DOTA_Tooltip_Ability_item_manta_2_Lore"                                        "#{DOTA_Tooltip_Ability_item_manta_1_Lore}"
"DOTA_Tooltip_Ability_item_manta_2_Note0"                                       "#{DOTA_Tooltip_Ability_item_manta_1_Note0}"
"DOTA_Tooltip_Ability_item_manta_2_Note1"                                       "#{DOTA_Tooltip_Ability_item_manta_1_Note1}"
"DOTA_Tooltip_ability_item_manta_2_Note2"                                       "#{DOTA_Tooltip_ability_item_manta_1_Note2}"
"DOTA_Tooltip_Ability_item_manta_2_bonus_agility"                               "#{DOTA_Tooltip_Ability_item_manta_1_bonus_agility}"
"DOTA_Tooltip_Ability_item_manta_2_bonus_strength"                              "#{DOTA_Tooltip_Ability_item_manta_1_bonus_strength}"
"DOTA_Tooltip_Ability_item_manta_2_bonus_intellect"                             "#{DOTA_Tooltip_Ability_item_manta_1_bonus_intellect}"
"DOTA_Tooltip_Ability_item_manta_2_bonus_attack_speed"                          "#{DOTA_Tooltip_Ability_item_manta_1_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_manta_2_bonus_movement_speed"                        "#{DOTA_Tooltip_Ability_item_manta_1_bonus_movement_speed}"

"DOTA_Tooltip_Ability_item_manta_3"                                             "#{DOTA_Tooltip_Ability_item_manta_1}"
