//"DOTA_Tooltip_Ability_item_meteor_hammer"                                       "Meteor Hammer"
//"DOTA_Tooltip_Ability_item_recipe_meteor_hammer"                                "Meteor Hammer Recipe"
//"DOTA_Tooltip_ability_item_meteor_hammer_Description"                           "<h1>Active: Meteor Hammer</h1> CHANNELED - After a successful channel, summons a meteor that strikes a %impact_radius% AoE, stunning enemies for %stun_duration% seconds and dealing impact damage. Continues to deal damage over time to enemies units and buildings for %burn_duration% seconds. Non-building units are also slowed for %burn_slow%%% for the duration of the burn. <BR><BR>Building Impact Damage: %impact_damage_buildings% <BR>Building Over Time Damage: %burn_dps_buildings% <BR><BR>Non-Building Impact Damage: %impact_damage_units% <BR>Non-Building Over Time Damage: %burn_dps_units% <BR><BR>Channel Duration: %max_duration% seconds.<BR>Landing Time: %land_time% seconds."
//"DOTA_Tooltip_ability_item_meteor_hammer_lore"                                  "An enchanted hammer forged of metals discovered in the ruins of a village destroyed by a great star storm."
//"DOTA_Tooltip_ability_item_meteor_hammer_bonus_strength"                        "+$str"
//"DOTA_Tooltip_ability_item_meteor_hammer_bonus_agility"                         "+$agi"
//"DOTA_Tooltip_ability_item_meteor_hammer_bonus_intellect"                       "+$int"
//"DOTA_Tooltip_ability_item_meteor_hammer_spell_amp"                             "%+Spell Amplification"
//"DOTA_Tooltip_ability_item_meteor_hammer_mana_regen_multiplier"                 "%+Mana Regen Amplification"
//"DOTA_Tooltip_ability_item_meteor_hammer_spell_lifesteal_amp"                   "%+Spell Lifesteal Amplification"

//"DOTA_Tooltip_modifier_item_meteor_hammer_burn"                                 "Meteor Hammer Burn"
//"DOTA_Tooltip_modifier_item_meteor_hammer_burn_Description"                     "Slowed and taking %dMODIFIER_PROPERTY_TOOLTIP% damage every %dMODIFIER_PROPERTY_TOOLTIP2% second."

"DOTA_Tooltip_Ability_item_meteor_hammer_1"                                     "#{DOTA_Tooltip_Ability_item_meteor_hammer}"
"DOTA_Tooltip_Ability_item_recipe_meteor_hammer_1"                              "#{DOTA_Tooltip_Ability_item_recipe_meteor_hammer}"
"DOTA_Tooltip_ability_item_meteor_hammer_1_Description"                         "<h1>Active: Meteor Hammer</h1> CHANNELED - After a succesful channel, summons a meteor that strikes a %impact_radius% AoE, stunning enemies for %stun_duration% seconds and dealing impact damage. Continues to deal damage over time to enemies for %burn_duration% seconds. Enemies are also slowed for %move_speed_slow_pct%%% for the duration of the burn.<br><br>Boss Impact Damage: %impact_damage_boss% <br>Boss Over Time Damage: %burn_dps_boss% <br><br>Non-Boss Impact Damage: %impact_damage% <br>Non-Boss Over Time Damage: %burn_dps% <br><br>Channel Duration: %AbilityChannelTime% seconds.<br>Landing Time: %land_time% seconds.<br>Cooldown: %cooldown_tooltip% seconds"
"DOTA_Tooltip_ability_item_meteor_hammer_1_lore"                                "#{DOTA_Tooltip_ability_item_meteor_hammer_lore}"
"DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_strength"                      "+$str"
"DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_intellect"                     "+$int"
"DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_agility"                       "+$agi"
"DOTA_Tooltip_ability_item_meteor_hammer_1_spell_amp"                           "%+Spell Amplification"
"DOTA_Tooltip_ability_item_meteor_hammer_1_mana_regen_multiplier"               "%+Mana Regen Amplification"
"DOTA_Tooltip_ability_item_meteor_hammer_1_spell_lifesteal_amp"                 "%+Spell Lifesteal Amplification"

"DOTA_Tooltip_Ability_item_meteor_hammer_2"                                     "#{DOTA_Tooltip_Ability_item_meteor_hammer}"
"DOTA_Tooltip_Ability_item_recipe_meteor_hammer_2"                              "#{DOTA_Tooltip_Ability_item_recipe_meteor_hammer}"
"DOTA_Tooltip_ability_item_meteor_hammer_2_Description"                         "#{DOTA_Tooltip_ability_item_meteor_hammer_1_Description}"
"DOTA_Tooltip_ability_item_meteor_hammer_2_lore"                                "#{DOTA_Tooltip_ability_item_meteor_hammer_lore}"
"DOTA_Tooltip_ability_item_meteor_hammer_2_bonus_strength"                      "#{DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_strength}"
"DOTA_Tooltip_ability_item_meteor_hammer_2_bonus_intellect"                     "#{DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_intellect}"
"DOTA_Tooltip_ability_item_meteor_hammer_2_bonus_agility"                       "#{DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_agility}"
"DOTA_Tooltip_ability_item_meteor_hammer_2_spell_amp"                           "#{DOTA_Tooltip_ability_item_meteor_hammer_1_spell_amp}"
"DOTA_Tooltip_ability_item_meteor_hammer_2_mana_regen_multiplier"               "#{DOTA_Tooltip_ability_item_meteor_hammer_1_mana_regen_multiplier}"
"DOTA_Tooltip_ability_item_meteor_hammer_2_spell_lifesteal_amp"                 "#{DOTA_Tooltip_ability_item_meteor_hammer_1_spell_lifesteal_amp}"

"DOTA_Tooltip_Ability_item_meteor_hammer_3"                                     "#{DOTA_Tooltip_Ability_item_meteor_hammer}"
"DOTA_Tooltip_Ability_item_recipe_meteor_hammer_3"                              "#{DOTA_Tooltip_Ability_item_recipe_meteor_hammer}"
"DOTA_Tooltip_ability_item_meteor_hammer_3_Description"                         "#{DOTA_Tooltip_ability_item_meteor_hammer_1_Description}"
"DOTA_Tooltip_ability_item_meteor_hammer_3_lore"                                "#{DOTA_Tooltip_ability_item_meteor_hammer_lore}"
"DOTA_Tooltip_ability_item_meteor_hammer_3_bonus_strength"                      "#{DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_strength}"
"DOTA_Tooltip_ability_item_meteor_hammer_3_bonus_intellect"                     "#{DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_intellect}"
"DOTA_Tooltip_ability_item_meteor_hammer_3_bonus_agility"                       "#{DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_agility}"
"DOTA_Tooltip_ability_item_meteor_hammer_3_spell_amp"                           "#{DOTA_Tooltip_ability_item_meteor_hammer_1_spell_amp}"
"DOTA_Tooltip_ability_item_meteor_hammer_3_mana_regen_multiplier"               "#{DOTA_Tooltip_ability_item_meteor_hammer_1_mana_regen_multiplier}"
"DOTA_Tooltip_ability_item_meteor_hammer_3_spell_lifesteal_amp"                 "#{DOTA_Tooltip_ability_item_meteor_hammer_1_spell_lifesteal_amp}"

"DOTA_Tooltip_Ability_item_meteor_hammer_4"                                     "#{DOTA_Tooltip_Ability_item_meteor_hammer}"
"DOTA_Tooltip_Ability_item_recipe_meteor_hammer_4"                              "#{DOTA_Tooltip_Ability_item_recipe_meteor_hammer}"
"DOTA_Tooltip_ability_item_meteor_hammer_4_Description"                         "#{DOTA_Tooltip_ability_item_meteor_hammer_1_Description}"
"DOTA_Tooltip_ability_item_meteor_hammer_4_lore"                                "#{DOTA_Tooltip_ability_item_meteor_hammer_lore}"
"DOTA_Tooltip_ability_item_meteor_hammer_4_bonus_strength"                      "#{DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_strength}"
"DOTA_Tooltip_ability_item_meteor_hammer_4_bonus_intellect"                     "#{DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_intellect}"
"DOTA_Tooltip_ability_item_meteor_hammer_4_bonus_agility"                       "#{DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_agility}"
"DOTA_Tooltip_ability_item_meteor_hammer_4_spell_amp"                           "#{DOTA_Tooltip_ability_item_meteor_hammer_1_spell_amp}"
"DOTA_Tooltip_ability_item_meteor_hammer_4_mana_regen_multiplier"               "#{DOTA_Tooltip_ability_item_meteor_hammer_1_mana_regen_multiplier}"
"DOTA_Tooltip_ability_item_meteor_hammer_4_spell_lifesteal_amp"                 "#{DOTA_Tooltip_ability_item_meteor_hammer_1_spell_lifesteal_amp}"

"DOTA_Tooltip_Ability_item_meteor_hammer_5"                                     "#{DOTA_Tooltip_Ability_item_meteor_hammer}"
"DOTA_Tooltip_Ability_item_recipe_meteor_hammer_5"                              "#{DOTA_Tooltip_Ability_item_recipe_meteor_hammer}"
"DOTA_Tooltip_ability_item_meteor_hammer_5_Description"                         "#{DOTA_Tooltip_ability_item_meteor_hammer_1_Description}"
"DOTA_Tooltip_ability_item_meteor_hammer_5_lore"                                "#{DOTA_Tooltip_ability_item_meteor_hammer_lore}"
"DOTA_Tooltip_ability_item_meteor_hammer_5_bonus_strength"                      "#{DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_strength}"
"DOTA_Tooltip_ability_item_meteor_hammer_5_bonus_intellect"                     "#{DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_intellect}"
"DOTA_Tooltip_ability_item_meteor_hammer_5_bonus_agility"                       "#{DOTA_Tooltip_ability_item_meteor_hammer_1_bonus_agility}"
"DOTA_Tooltip_ability_item_meteor_hammer_5_spell_amp"                           "#{DOTA_Tooltip_ability_item_meteor_hammer_1_spell_amp}"
"DOTA_Tooltip_ability_item_meteor_hammer_5_mana_regen_multiplier"               "#{DOTA_Tooltip_ability_item_meteor_hammer_1_mana_regen_multiplier}"
"DOTA_Tooltip_ability_item_meteor_hammer_5_spell_lifesteal_amp"                 "#{DOTA_Tooltip_ability_item_meteor_hammer_1_spell_lifesteal_amp}"

"DOTA_Tooltip_modifier_item_meteor_hammer_oaa_dot"                              "#{DOTA_Tooltip_modifier_item_meteor_hammer_burn}"
"DOTA_Tooltip_modifier_item_meteor_hammer_oaa_dot_Description"                  "Taking magical damage, move speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"DOTA_Tooltip_modifier_item_meteor_hammer_oaa_stun"                             "#{DOTA_Tooltip_Ability_item_meteor_hammer} Stun"
"DOTA_Tooltip_modifier_item_meteor_hammer_oaa_stun_Description"                 "Stunned."
