//===================================================================
// Nether Core
//===================================================================
"DOTA_Tooltip_Ability_item_nether_core_1"                                       "Nether Core"
"DOTA_Tooltip_Ability_item_recipe_nether_core_1"                                "Nether Core Recipe"
"DOTA_Tooltip_ability_item_nether_core_1_Description"                           "<h1>Passive: Nether Reduction</h1>Reduces the cooldown time of all spells (not items!) but it also reduces the duration of buffs, debuffs, summons and effects created with spells by %modifier_duration_decrease%%%."
"DOTA_Tooltip_ability_item_nether_core_1_Lore"                                  "Unstable core from the Nether realm that leaks temporal energy."
"DOTA_Tooltip_ability_item_nether_core_1_bonus_mana_regen"                      "+$mana_regen"
"DOTA_Tooltip_ability_item_nether_core_1_bonus_health"                          "+$health"
"DOTA_Tooltip_ability_item_nether_core_1_bonus_mana"                            "+$mana"
"DOTA_Tooltip_ability_item_nether_core_1_cooldown_reduction"                    "%+$cooldown_reduction"

"DOTA_Tooltip_Ability_item_nether_core_2"                                       "#{DOTA_Tooltip_Ability_item_nether_core_1}"
"DOTA_Tooltip_Ability_item_recipe_nether_core_2"                                "#{DOTA_Tooltip_Ability_item_recipe_nether_core_1}"
"DOTA_Tooltip_Ability_item_nether_core_2_Description"                           "#{DOTA_Tooltip_ability_item_nether_core_1_Description}"
"DOTA_Tooltip_Ability_item_nether_core_2_Lore"                                  "#{DOTA_Tooltip_ability_item_nether_core_1_Lore}"
"DOTA_Tooltip_Ability_item_nether_core_2_bonus_mana_regen"                      "#{DOTA_Tooltip_ability_item_nether_core_1_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_nether_core_2_bonus_health"                          "#{DOTA_Tooltip_ability_item_nether_core_1_bonus_health}"
"DOTA_Tooltip_ability_item_nether_core_2_bonus_mana"                            "#{DOTA_Tooltip_ability_item_nether_core_1_bonus_mana}"
"DOTA_Tooltip_ability_item_nether_core_2_cooldown_reduction"                    "#{DOTA_Tooltip_ability_item_nether_core_1_cooldown_reduction}"

"DOTA_Tooltip_Ability_item_nether_core_3"                                       "#{DOTA_Tooltip_Ability_item_nether_core_1}"
"DOTA_Tooltip_Ability_item_recipe_nether_core_3"                                "#{DOTA_Tooltip_Ability_item_recipe_nether_core_1}"
"DOTA_Tooltip_Ability_item_nether_core_3_Description"                           "#{DOTA_Tooltip_ability_item_nether_core_1_Description}"
"DOTA_Tooltip_Ability_item_nether_core_3_Lore"                                  "#{DOTA_Tooltip_ability_item_nether_core_1_Lore}"
"DOTA_Tooltip_Ability_item_nether_core_3_bonus_mana_regen"                      "#{DOTA_Tooltip_ability_item_nether_core_1_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_nether_core_3_bonus_health"                          "#{DOTA_Tooltip_ability_item_nether_core_1_bonus_health}"
"DOTA_Tooltip_ability_item_nether_core_3_bonus_mana"                            "#{DOTA_Tooltip_ability_item_nether_core_1_bonus_mana}"
"DOTA_Tooltip_ability_item_nether_core_3_cooldown_reduction"                    "#{DOTA_Tooltip_ability_item_nether_core_1_cooldown_reduction}"

"DOTA_Tooltip_Ability_item_nether_core_4"                                       "#{DOTA_Tooltip_Ability_item_nether_core_1}"
"DOTA_Tooltip_Ability_item_recipe_nether_core_4"                                "#{DOTA_Tooltip_Ability_item_recipe_nether_core_1}"
"DOTA_Tooltip_Ability_item_nether_core_4_Description"                           "#{DOTA_Tooltip_ability_item_nether_core_1_Description}"
"DOTA_Tooltip_Ability_item_nether_core_4_Lore"                                  "#{DOTA_Tooltip_ability_item_nether_core_1_Lore}"
"DOTA_Tooltip_Ability_item_nether_core_4_bonus_mana_regen"                      "#{DOTA_Tooltip_ability_item_nether_core_1_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_nether_core_4_bonus_health"                          "#{DOTA_Tooltip_ability_item_nether_core_1_bonus_health}"
"DOTA_Tooltip_ability_item_nether_core_4_bonus_mana"                            "#{DOTA_Tooltip_ability_item_nether_core_1_bonus_mana}"
"DOTA_Tooltip_ability_item_nether_core_4_cooldown_reduction"                    "#{DOTA_Tooltip_ability_item_nether_core_1_cooldown_reduction}"

"DOTA_Tooltip_Ability_item_nether_core_5"                                       "#{DOTA_Tooltip_Ability_item_nether_core_1}"
"DOTA_Tooltip_Ability_item_recipe_nether_core_5"                                "#{DOTA_Tooltip_Ability_item_recipe_nether_core_1}"
"DOTA_Tooltip_Ability_item_nether_core_5_Description"                           "#{DOTA_Tooltip_ability_item_nether_core_1_Description}"
"DOTA_Tooltip_Ability_item_nether_core_5_Lore"                                  "#{DOTA_Tooltip_ability_item_nether_core_1_Lore}"
"DOTA_Tooltip_Ability_item_nether_core_5_bonus_mana_regen"                      "#{DOTA_Tooltip_ability_item_nether_core_1_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_nether_core_5_bonus_health"                          "#{DOTA_Tooltip_ability_item_nether_core_1_bonus_health}"
"DOTA_Tooltip_ability_item_nether_core_5_bonus_mana"                            "#{DOTA_Tooltip_ability_item_nether_core_1_bonus_mana}"
"DOTA_Tooltip_ability_item_nether_core_5_cooldown_reduction"                    "#{DOTA_Tooltip_ability_item_nether_core_1_cooldown_reduction}"
