//===========================================================================
// Nullifier
//===========================================================================
"DOTA_Tooltip_ability_item_nullifier_Description"                               "<h1>Active: Nullify</h1> Continuously dispels and slows the target for %mute_duration% seconds.<br><br>Range: %abilitycastrange%<br>Projectile Speed: %projectile_speed%<br><br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
//"DOTA_Tooltip_ability_item_nullifier_lore"                                      "A dangerous weapon pilfered from an inverse dimension."

// "DOTA_Tooltip_modifier_item_nullifier_mute"                                    "Nullifier"
// "DOTA_Tooltip_modifier_item_nullifier_mute_Description"                        "The target is being constantly dispelled. Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
// "DOTA_Tooltip_modifier_item_nullifier_slow"                                    "Nullifier Slow"
// "DOTA_Tooltip_modifier_item_nullifier_slow_Description"                        "Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"DOTA_Tooltip_Ability_item_nullifier_2"                                         "#{DOTA_Tooltip_Ability_item_nullifier}"
"DOTA_Tooltip_Ability_item_recipe_nullifier_2"                                  "#{DOTA_Tooltip_Ability_item_recipe_nullifier}"
"DOTA_Tooltip_ability_item_nullifier_2_Description"                             "#{DOTA_Tooltip_ability_item_nullifier_Description}"
"DOTA_Tooltip_ability_item_nullifier_2_lore"                                    "#{DOTA_Tooltip_ability_item_nullifier_lore}"
"DOTA_Tooltip_ability_item_nullifier_2_bonus_damage"                            "#{DOTA_Tooltip_ability_item_nullifier_bonus_damage}"
"DOTA_Tooltip_ability_item_nullifier_2_bonus_armor"                             "#{DOTA_Tooltip_ability_item_nullifier_bonus_armor}"
"DOTA_Tooltip_ability_item_nullifier_2_slow_pct"                                "#{DOTA_Tooltip_ability_item_nullifier_slow_pct}"

"DOTA_Tooltip_Ability_item_nullifier_3"                                         "#{DOTA_Tooltip_Ability_item_nullifier}"
"DOTA_Tooltip_Ability_item_recipe_nullifier_3"                                  "#{DOTA_Tooltip_Ability_item_recipe_nullifier}"
"DOTA_Tooltip_ability_item_nullifier_3_Description"                             "#{DOTA_Tooltip_ability_item_nullifier_Description}"
"DOTA_Tooltip_ability_item_nullifier_3_lore"                                    "#{DOTA_Tooltip_ability_item_nullifier_lore}"
"DOTA_Tooltip_ability_item_nullifier_3_bonus_damage"                            "#{DOTA_Tooltip_ability_item_nullifier_bonus_damage}"
"DOTA_Tooltip_ability_item_nullifier_3_bonus_armor"                             "#{DOTA_Tooltip_ability_item_nullifier_bonus_armor}"
"DOTA_Tooltip_ability_item_nullifier_3_slow_pct"                                "#{DOTA_Tooltip_ability_item_nullifier_slow_pct}"

"DOTA_Tooltip_Ability_item_nullifier_4"                                         "#{DOTA_Tooltip_Ability_item_nullifier}"
"DOTA_Tooltip_Ability_item_recipe_nullifier_4"                                  "#{DOTA_Tooltip_Ability_item_recipe_nullifier}"
"DOTA_Tooltip_ability_item_nullifier_4_Description"                             "#{DOTA_Tooltip_ability_item_nullifier_Description}"
"DOTA_Tooltip_ability_item_nullifier_4_lore"                                    "#{DOTA_Tooltip_ability_item_nullifier_lore}"
"DOTA_Tooltip_ability_item_nullifier_4_bonus_damage"                            "#{DOTA_Tooltip_ability_item_nullifier_bonus_damage}"
"DOTA_Tooltip_ability_item_nullifier_4_bonus_armor"                             "#{DOTA_Tooltip_ability_item_nullifier_bonus_armor}"
"DOTA_Tooltip_ability_item_nullifier_4_slow_pct"                                "#{DOTA_Tooltip_ability_item_nullifier_slow_pct}"

"DOTA_Tooltip_Ability_item_nullifier_5"                                         "#{DOTA_Tooltip_Ability_item_nullifier}"
"DOTA_Tooltip_Ability_item_recipe_nullifier_5"                                  "#{DOTA_Tooltip_Ability_item_recipe_nullifier}"
"DOTA_Tooltip_ability_item_nullifier_5_Description"                             "#{DOTA_Tooltip_ability_item_nullifier_Description}"
"DOTA_Tooltip_ability_item_nullifier_5_lore"                                    "#{DOTA_Tooltip_ability_item_nullifier_lore}"
"DOTA_Tooltip_ability_item_nullifier_5_bonus_damage"                            "#{DOTA_Tooltip_ability_item_nullifier_bonus_damage}"
"DOTA_Tooltip_ability_item_nullifier_5_bonus_armor"                             "#{DOTA_Tooltip_ability_item_nullifier_bonus_armor}"
"DOTA_Tooltip_ability_item_nullifier_5_slow_pct"                                "#{DOTA_Tooltip_ability_item_nullifier_slow_pct}"
