//===================================================================
// Octarine Core
//===================================================================
//"DOTA_Tooltip_ability_item_octarine_core_bonus_health_regen"                    "+$hp_regen"
//"DOTA_Tooltip_ability_item_octarine_core_bonus_mana_regen"                      "+$mana_regen"
//"DOTA_Tooltip_ability_item_octarine_core_bonus_health"                          "+$health"
//"DOTA_Tooltip_ability_item_octarine_core_bonus_mana"                            "+$mana"
//"DOTA_Tooltip_ability_item_octarine_core_bonus_cooldown"                        "%+$cooldown_reduction"

"DOTA_Tooltip_Ability_item_octarine_core_2"                                     "#{DOTA_Tooltip_Ability_item_octarine_core}"
"DOTA_Tooltip_Ability_item_recipe_octarine_core_2"                              "Octarine Core Recipe"
"DOTA_Tooltip_Ability_item_octarine_core_2_Description"                         "#{DOTA_Tooltip_ability_item_octarine_core_Description}"
"DOTA_Tooltip_Ability_item_octarine_core_2_Lore"                                "#{DOTA_Tooltip_ability_item_octarine_core_Lore}"
//"DOTA_Tooltip_Ability_item_octarine_core_2_bonus_health_regen"                  "#{DOTA_Tooltip_ability_item_octarine_core_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_octarine_core_2_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_octarine_core_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_octarine_core_2_bonus_health"                        "#{DOTA_Tooltip_ability_item_octarine_core_bonus_health}"
"DOTA_Tooltip_ability_item_octarine_core_2_bonus_mana"                          "#{DOTA_Tooltip_ability_item_octarine_core_bonus_mana}"
"DOTA_Tooltip_ability_item_octarine_core_2_bonus_cooldown"                      "#{DOTA_Tooltip_ability_item_octarine_core_bonus_cooldown}"

"DOTA_Tooltip_Ability_item_octarine_core_3"                                     "#{DOTA_Tooltip_Ability_item_octarine_core}"
"DOTA_Tooltip_Ability_item_recipe_octarine_core_3"                              "#{DOTA_Tooltip_Ability_item_recipe_octarine_core_2}"
"DOTA_Tooltip_Ability_item_octarine_core_3_Description"                         "#{DOTA_Tooltip_ability_item_octarine_core_Description}"
"DOTA_Tooltip_Ability_item_octarine_core_3_Lore"                                "#{DOTA_Tooltip_ability_item_octarine_core_Lore}"
//"DOTA_Tooltip_Ability_item_octarine_core_3_bonus_health_regen"                  "#{DOTA_Tooltip_ability_item_octarine_core_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_octarine_core_3_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_octarine_core_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_octarine_core_3_bonus_health"                        "#{DOTA_Tooltip_ability_item_octarine_core_bonus_health}"
"DOTA_Tooltip_ability_item_octarine_core_3_bonus_mana"                          "#{DOTA_Tooltip_ability_item_octarine_core_bonus_mana}"
"DOTA_Tooltip_ability_item_octarine_core_3_bonus_cooldown"                      "#{DOTA_Tooltip_ability_item_octarine_core_bonus_cooldown}"

"DOTA_Tooltip_Ability_item_octarine_core_4"                                     "#{DOTA_Tooltip_Ability_item_octarine_core}"
"DOTA_Tooltip_Ability_item_recipe_octarine_core_4"                              "#{DOTA_Tooltip_Ability_item_recipe_octarine_core_2}"
"DOTA_Tooltip_Ability_item_octarine_core_4_Description"                         "#{DOTA_Tooltip_ability_item_octarine_core_Description}"
"DOTA_Tooltip_Ability_item_octarine_core_4_Lore"                                "#{DOTA_Tooltip_ability_item_octarine_core_Lore}"
//"DOTA_Tooltip_Ability_item_octarine_core_4_bonus_health_regen"                  "#{DOTA_Tooltip_ability_item_octarine_core_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_octarine_core_4_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_octarine_core_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_octarine_core_4_bonus_health"                        "#{DOTA_Tooltip_ability_item_octarine_core_bonus_health}"
"DOTA_Tooltip_ability_item_octarine_core_4_bonus_mana"                          "#{DOTA_Tooltip_ability_item_octarine_core_bonus_mana}"
"DOTA_Tooltip_ability_item_octarine_core_4_bonus_cooldown"                      "#{DOTA_Tooltip_ability_item_octarine_core_bonus_cooldown}"

"DOTA_Tooltip_Ability_item_octarine_core_5"                                     "#{DOTA_Tooltip_Ability_item_octarine_core}"
"DOTA_Tooltip_Ability_item_recipe_octarine_core_5"                              "#{DOTA_Tooltip_Ability_item_recipe_octarine_core_2}"
"DOTA_Tooltip_Ability_item_octarine_core_5_Description"                         "#{DOTA_Tooltip_ability_item_octarine_core_Description}"
"DOTA_Tooltip_Ability_item_octarine_core_5_Lore"                                "#{DOTA_Tooltip_ability_item_octarine_core_Lore}"
//"DOTA_Tooltip_Ability_item_octarine_core_5_bonus_health_regen"                  "#{DOTA_Tooltip_ability_item_octarine_core_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_octarine_core_5_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_octarine_core_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_octarine_core_5_bonus_health"                        "#{DOTA_Tooltip_ability_item_octarine_core_bonus_health}"
"DOTA_Tooltip_ability_item_octarine_core_5_bonus_mana"                          "#{DOTA_Tooltip_ability_item_octarine_core_bonus_mana}"
"DOTA_Tooltip_ability_item_octarine_core_5_bonus_cooldown"                      "#{DOTA_Tooltip_ability_item_octarine_core_bonus_cooldown}"
