//==============================================================================
// Parasma
//==============================================================================
// "DOTA_Tooltip_Ability_item_devastator"                                         "Parasma"
// "DOTA_Tooltip_Ability_item_recipe_devastator"                                  "Parasma Recipe"
// "DOTA_Tooltip_ability_item_devastator_Description"                             "<h1>Passive: Witch Blade</h1> Causes your next attack to have true strike, apply a poison for %slow_duration% seconds, slowing by %slow%%% and dealing %int_damage_multiplier%x your intelligence as damage every second.\n\n<h1>Passive: Magic Corruption</h1> Your attacks reduce the enemy's Magic resistance by %active_mres_reduction%%% for %passive_cooldown% seconds."
// "DOTA_Tooltip_ability_item_devastator_Lore"                                    "Devastating."
// "DOTA_Tooltip_ability_item_devastator_bonus_attack_speed"                      "+$attack"
// "DOTA_Tooltip_ability_item_devastator_bonus_armor"                             "+$armor"
// "DOTA_Tooltip_ability_item_devastator_bonus_intellect"                         "+$int"
// "DOTA_Tooltip_ability_item_devastator_projectile_speed"                        "+$projectile_speed"
"DOTA_Tooltip_Ability_item_devastator_bonus_mana_regen"                         "+$mana_regen"

//"DOTA_Tooltip_modifier_devastator_debuff"                                       "Magic Corruption"
//"DOTA_Tooltip_modifier_devastator_debuff_Description"                           "Magic resistance by reduced by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%"

"DOTA_Tooltip_Ability_item_devastator_2"                                        "#{DOTA_Tooltip_Ability_item_devastator}"
"DOTA_Tooltip_Ability_item_recipe_devastator_2"                                 "#{DOTA_Tooltip_Ability_item_recipe_devastator}"
"DOTA_Tooltip_ability_item_devastator_2_Description"                            "#{DOTA_Tooltip_ability_item_devastator_Description}"
"DOTA_Tooltip_ability_item_devastator_2_Lore"                                   "#{DOTA_Tooltip_ability_item_devastator_Lore}"
"DOTA_Tooltip_ability_item_devastator_2_bonus_attack_speed"                     "#{DOTA_Tooltip_ability_item_devastator_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_devastator_2_bonus_armor"                            "#{DOTA_Tooltip_ability_item_devastator_bonus_armor}"
"DOTA_Tooltip_ability_item_devastator_2_bonus_intellect"                        "#{DOTA_Tooltip_ability_item_devastator_bonus_intellect}"
"DOTA_Tooltip_ability_item_devastator_2_projectile_speed"                       "#{DOTA_Tooltip_ability_item_devastator_projectile_speed}"
"DOTA_Tooltip_Ability_item_devastator_2_bonus_mana_regen"                       "#{DOTA_Tooltip_Ability_item_devastator_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_devastator_3"                                        "#{DOTA_Tooltip_Ability_item_devastator}"
"DOTA_Tooltip_Ability_item_recipe_devastator_3"                                 "#{DOTA_Tooltip_Ability_item_recipe_devastator}"
"DOTA_Tooltip_ability_item_devastator_3_Description"                            "#{DOTA_Tooltip_ability_item_devastator_Description}"
"DOTA_Tooltip_ability_item_devastator_3_Lore"                                   "#{DOTA_Tooltip_ability_item_devastator_Lore}"
"DOTA_Tooltip_ability_item_devastator_3_bonus_attack_speed"                     "#{DOTA_Tooltip_ability_item_devastator_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_devastator_3_bonus_armor"                            "#{DOTA_Tooltip_ability_item_devastator_bonus_armor}"
"DOTA_Tooltip_ability_item_devastator_3_bonus_intellect"                        "#{DOTA_Tooltip_ability_item_devastator_bonus_intellect}"
"DOTA_Tooltip_ability_item_devastator_3_projectile_speed"                       "#{DOTA_Tooltip_ability_item_devastator_projectile_speed}"
"DOTA_Tooltip_Ability_item_devastator_3_bonus_mana_regen"                       "#{DOTA_Tooltip_Ability_item_devastator_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_devastator_4"                                        "#{DOTA_Tooltip_Ability_item_devastator}"
"DOTA_Tooltip_Ability_item_recipe_devastator_4"                                 "#{DOTA_Tooltip_Ability_item_recipe_devastator}"
"DOTA_Tooltip_ability_item_devastator_4_Description"                            "#{DOTA_Tooltip_ability_item_devastator_Description}"
"DOTA_Tooltip_ability_item_devastator_4_Lore"                                   "#{DOTA_Tooltip_ability_item_devastator_Lore}"
"DOTA_Tooltip_ability_item_devastator_4_bonus_attack_speed"                     "#{DOTA_Tooltip_ability_item_devastator_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_devastator_4_bonus_armor"                            "#{DOTA_Tooltip_ability_item_devastator_bonus_armor}"
"DOTA_Tooltip_ability_item_devastator_4_bonus_intellect"                        "#{DOTA_Tooltip_ability_item_devastator_bonus_intellect}"
"DOTA_Tooltip_ability_item_devastator_4_projectile_speed"                       "#{DOTA_Tooltip_ability_item_devastator_projectile_speed}"
"DOTA_Tooltip_Ability_item_devastator_4_bonus_mana_regen"                       "#{DOTA_Tooltip_Ability_item_devastator_bonus_mana_regen}"

"DOTA_Tooltip_Ability_item_devastator_5"                                        "#{DOTA_Tooltip_Ability_item_devastator}"
"DOTA_Tooltip_Ability_item_recipe_devastator_5"                                 "#{DOTA_Tooltip_Ability_item_recipe_devastator}"
