//=====================================================================
// Phylactery
//=====================================================================
// "DOTA_Tooltip_Ability_item_phylactery"                                         "Phylactery"
// "DOTA_Tooltip_Ability_item_phylactery_recipe"                                  "Phylactery Recipe"
"DOTA_Tooltip_Ability_item_recipe_phylactery"                                   "Phylactery Recipe"
// "DOTA_Tooltip_Ability_item_phylactery_Description"                             "<h1>Passive: Empower Spell</h1> The next Unit Target spell you cast on an enemy deals a separate %bonus_spell_damage% bonus damage to the target, and slows them by %slow%%% for %slow_duration%s."
// "DOTA_Tooltip_Ability_item_phylactery_bonus_health"                            "+$health"
// "DOTA_Tooltip_Ability_item_phylactery_bonus_mana"                              "+$mana"
// "DOTA_Tooltip_ability_item_phylactery_bonus_all_stats"                         "+$all"
// "DOTA_Tooltip_ability_item_phylactery_bonus_mana_regen"                        "+$mana_regen"
"DOTA_Tooltip_ability_item_phylactery_cooldown_tooltip"                         "Cooldown:"

// "DOTA_Tooltip_modifier_item_phylactery_slow"                                   "Phylactery"
// "DOTA_Tooltip_modifier_item_phylactery_slow_Description"                       "Movement slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"DOTA_Tooltip_Ability_item_phylactery_2"                                        "#{DOTA_Tooltip_Ability_item_phylactery}"
"DOTA_Tooltip_Ability_item_recipe_phylactery_2"                                 "#{DOTA_Tooltip_Ability_item_recipe_phylactery}"
"DOTA_Tooltip_Ability_item_phylactery_2_Description"                            "#{DOTA_Tooltip_ability_item_phylactery_Description}"
"DOTA_Tooltip_Ability_item_phylactery_2_bonus_health"                           "#{DOTA_Tooltip_ability_item_phylactery_bonus_health}"
"DOTA_Tooltip_Ability_item_phylactery_2_bonus_mana"                             "#{DOTA_Tooltip_ability_item_phylactery_bonus_mana}"
"DOTA_Tooltip_Ability_item_phylactery_2_bonus_all_stats"                        "#{DOTA_Tooltip_ability_item_phylactery_bonus_all_stats}"
"DOTA_Tooltip_ability_item_phylactery_2_bonus_mana_regen"                       "#{DOTA_Tooltip_ability_item_phylactery_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_phylactery_2_cooldown_tooltip"                       "#{DOTA_Tooltip_ability_item_phylactery_cooldown_tooltip}"

"DOTA_Tooltip_Ability_item_phylactery_3"                                        "#{DOTA_Tooltip_Ability_item_phylactery}"
"DOTA_Tooltip_Ability_item_recipe_phylactery_3"                                 "#{DOTA_Tooltip_Ability_item_recipe_phylactery}"
"DOTA_Tooltip_Ability_item_phylactery_3_Description"                            "#{DOTA_Tooltip_ability_item_phylactery_Description}"
"DOTA_Tooltip_Ability_item_phylactery_3_bonus_health"                           "#{DOTA_Tooltip_ability_item_phylactery_bonus_health}"
"DOTA_Tooltip_Ability_item_phylactery_3_bonus_mana"                             "#{DOTA_Tooltip_ability_item_phylactery_bonus_mana}"
"DOTA_Tooltip_Ability_item_phylactery_3_bonus_all_stats"                        "#{DOTA_Tooltip_ability_item_phylactery_bonus_all_stats}"
"DOTA_Tooltip_ability_item_phylactery_3_bonus_mana_regen"                       "#{DOTA_Tooltip_ability_item_phylactery_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_phylactery_3_cooldown_tooltip"                       "#{DOTA_Tooltip_ability_item_phylactery_cooldown_tooltip}"

"DOTA_Tooltip_Ability_item_phylactery_4"                                        "#{DOTA_Tooltip_Ability_item_phylactery}"
"DOTA_Tooltip_Ability_item_recipe_phylactery_4"                                 "#{DOTA_Tooltip_Ability_item_recipe_phylactery}"
"DOTA_Tooltip_Ability_item_phylactery_4_Description"                            "#{DOTA_Tooltip_ability_item_phylactery_Description}"
"DOTA_Tooltip_Ability_item_phylactery_4_bonus_health"                           "#{DOTA_Tooltip_ability_item_phylactery_bonus_health}"
"DOTA_Tooltip_Ability_item_phylactery_4_bonus_mana"                             "#{DOTA_Tooltip_ability_item_phylactery_bonus_mana}"
"DOTA_Tooltip_Ability_item_phylactery_4_bonus_all_stats"                        "#{DOTA_Tooltip_ability_item_phylactery_bonus_all_stats}"
"DOTA_Tooltip_ability_item_phylactery_4_bonus_mana_regen"                       "#{DOTA_Tooltip_ability_item_phylactery_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_phylactery_4_cooldown_tooltip"                       "#{DOTA_Tooltip_ability_item_phylactery_cooldown_tooltip}"

"DOTA_Tooltip_Ability_item_phylactery_5"                                        "#{DOTA_Tooltip_Ability_item_phylactery}"
"DOTA_Tooltip_Ability_item_recipe_phylactery_5"                                 "#{DOTA_Tooltip_Ability_item_recipe_phylactery}"
"DOTA_Tooltip_Ability_item_phylactery_5_Description"                            "#{DOTA_Tooltip_ability_item_phylactery_Description}"
"DOTA_Tooltip_Ability_item_phylactery_5_bonus_health"                           "#{DOTA_Tooltip_ability_item_phylactery_bonus_health}"
"DOTA_Tooltip_Ability_item_phylactery_5_bonus_mana"                             "#{DOTA_Tooltip_ability_item_phylactery_bonus_mana}"
"DOTA_Tooltip_Ability_item_phylactery_5_bonus_all_stats"                        "#{DOTA_Tooltip_ability_item_phylactery_bonus_all_stats}"
"DOTA_Tooltip_ability_item_phylactery_5_bonus_mana_regen"                       "#{DOTA_Tooltip_ability_item_phylactery_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_phylactery_5_cooldown_tooltip"                       "#{DOTA_Tooltip_ability_item_phylactery_cooldown_tooltip}"
