//======================================================================
// Refresher Core
//======================================================================
"DOTA_Tooltip_Ability_item_refresher_core"                                  "Refresher Core"
"DOTA_Tooltip_Ability_item_recipe_refresher_core"                           "Refresher Core Recipe"
"DOTA_Tooltip_Ability_item_refresher_core_Description"                      "<h1>Active: Reset Cooldowns</h1>Resets the cooldowns of all your items and abilities.\n<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%hero_lifesteal%%% of spell damage dealt to enemy heroes is returned to the caster as health, regardless of spell damage type.  <br><br>Lifesteal reduced to %creep_lifesteal%%% against creeps."
"DOTA_Tooltip_Ability_item_refresher_core_Lore"                             "This long lost artifact is said to grant its wielder unfathomable power."
"DOTA_Tooltip_Ability_item_refresher_core_bonus_health_regen"               "+$hp_regen"
"DOTA_Tooltip_Ability_item_refresher_core_bonus_mana_regen"                 "%+$mana_regen"
"DOTA_Tooltip_Ability_item_refresher_core_bonus_intelligence"               "+$int"
"DOTA_Tooltip_Ability_item_refresher_core_bonus_health"                     "+$health"
"DOTA_Tooltip_Ability_item_refresher_core_bonus_mana"                       "+$mana"
//"DOTA_Tooltip_Ability_item_refresher_core_bonus_cooldown"                   "%COOLDOWN REDUCTION:"
//"DOTA_Tooltip_Ability_item_refresher_core_hero_lifesteal"                   "%HERO SPELL LIFESTEAL:"
//"DOTA_Tooltip_Ability_item_refresher_core_creep_lifesteal"                  "%CREEP SPELL LIFESTEAL:"

"DOTA_Tooltip_Ability_item_refresher_core_2"                                "Refresher Core"
"DOTA_Tooltip_Ability_item_recipe_refresher_core_2"                         "Refresher Core Recipe"
"DOTA_Tooltip_Ability_item_refresher_core_2_Description"                    "<h1>Active: Reset Cooldowns</h1>Resets the cooldowns of all your items and abilities.\n<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%hero_lifesteal%%% of spell damage dealt to enemy heroes is returned to the caster as health, regardless of spell damage type.  <br><br>Lifesteal reduced to %creep_lifesteal%%% against creeps."
"DOTA_Tooltip_Ability_item_refresher_core_2_Lore"                           "This long lost artifact is said to grant its wielder unfathomable power."
"DOTA_Tooltip_Ability_item_refresher_core_2_bonus_health_regen"             "+$hp_regen"
"DOTA_Tooltip_Ability_item_refresher_core_2_bonus_mana_regen"               "%+$mana_regen"
"DOTA_Tooltip_Ability_item_refresher_core_2_bonus_intelligence"             "+$int"
"DOTA_Tooltip_Ability_item_refresher_core_2_bonus_health"                   "+$health"
"DOTA_Tooltip_Ability_item_refresher_core_2_bonus_mana"                     "+$mana"
//"DOTA_Tooltip_Ability_item_refresher_core_2_bonus_cooldown"                 "%COOLDOWN REDUCTION:"
//"DOTA_Tooltip_Ability_item_refresher_core_2_hero_lifesteal"                 "%HERO SPELL LIFESTEAL:"
//"DOTA_Tooltip_Ability_item_refresher_core_2_creep_lifesteal"                "%CREEP SPELL LIFESTEAL:"

"DOTA_Tooltip_Ability_item_refresher_core_3"                                "Refresher Core"
"DOTA_Tooltip_Ability_item_recipe_refresher_core_3"                         "Refresher Core Recipe"
"DOTA_Tooltip_Ability_item_refresher_core_3_Description"                    "<h1>Active: Reset Cooldowns</h1>Resets the cooldowns of all your items and abilities.\n<h1>Passive: Cooldown Reduction</h1>Reduces the cooldown time of all spells and items by %bonus_cooldown%%%.\n<h1>Passive: Spell Lifesteal</h1>%hero_lifesteal%%% of spell damage dealt to enemy heroes is returned to the caster as health, regardless of spell damage type.  <br><br>Lifesteal reduced to %creep_lifesteal%%% against creeps."
"DOTA_Tooltip_Ability_item_refresher_core_3_Lore"                           "This long lost artifact is said to grant its wielder unfathomable power."
"DOTA_Tooltip_Ability_item_refresher_core_3_bonus_health_regen"             "+$hp_regen"
"DOTA_Tooltip_Ability_item_refresher_core_3_bonus_mana_regen"               "%+$mana_regen"
"DOTA_Tooltip_Ability_item_refresher_core_3_bonus_intelligence"             "+$int"
"DOTA_Tooltip_Ability_item_refresher_core_3_bonus_health"                   "+$health"
"DOTA_Tooltip_Ability_item_refresher_core_3_bonus_mana"                     "+$mana"
//"DOTA_Tooltip_Ability_item_refresher_core_3_bonus_cooldown"                 "%COOLDOWN REDUCTION:"
//"DOTA_Tooltip_Ability_item_refresher_core_3_hero_lifesteal"                 "%HERO SPELL LIFESTEAL:"
//"DOTA_Tooltip_Ability_item_refresher_core_3_creep_lifesteal"                "%CREEP SPELL LIFESTEAL:"
