//=============================================================================
// A Sacred Skull
//=============================================================================
"DOTA_Tooltip_Ability_item_sacred_skull"                                        "A Sacred Skull"
"DOTA_Tooltip_Ability_item_recipe_sacred_skull"                                 "A Sacred Skull Recipe"
"DOTA_Tooltip_Ability_item_sacred_skull_Description"                            "<h1>Active: Sacred Ritual</h1>Grants %spell_amp%%% spell amplification and mana based on consumed health. Mana gained is %min_mana_gain% + %health_cost%%% of your max Health. But it changes damage type of all your spells and items to Physical. Lasts %active_duration% seconds.\n<h1>Passive: Nothl Substance</h1>Any spell damage reduces armor by %passive_armor_reduction% for %armor_reduction_duration% seconds."
//<h1>Active: Sacred Flame</h1>Deals damage to enemies and heals allies in a %effect_radius% radius around the caster. Damage and heal is based on the percentage difference between max and current HP. Damage per missing HP is %damage_per_missing_hp%. Heal per missing HP is %heal_per_missing_hp%. <br><br>Health Cost: %health_cost%%% of current HP.\n<h1>Passive: Death Flare</h1>On death; heals allies within %death_heal_radius% radius for %death_heal_base% + your max health, and grants %death_vision_radius% flying vision for %death_vision_duration% seconds. Death Flare will trigger unused Sacred Flame with halved damage in %death_heal_radius% radius.
"DOTA_Tooltip_Ability_item_sacred_skull_Lore"                                   "The Skull from the Nothl Realm thirsts for Blood."
"DOTA_Tooltip_Ability_item_sacred_skull_bonus_strength"                         "+$str"
"DOTA_Tooltip_Ability_item_sacred_skull_bonus_health"                           "+$health"
"DOTA_Tooltip_Ability_item_sacred_skull_bonus_mana"                             "+$mana"
"DOTA_Tooltip_Ability_item_sacred_skull_bonus_armor"                            "+$armor"

"DOTA_Tooltip_Ability_item_sacred_skull_2"                                      "#{DOTA_Tooltip_Ability_item_sacred_skull}"
"DOTA_Tooltip_Ability_item_recipe_sacred_skull_2"                               "#{DOTA_Tooltip_Ability_item_recipe_sacred_skull}"
"DOTA_Tooltip_Ability_item_sacred_skull_2_Description"                          "#{DOTA_Tooltip_Ability_item_sacred_skull_Description}"
"DOTA_Tooltip_Ability_item_sacred_skull_2_Lore"                                 "#{DOTA_Tooltip_Ability_item_sacred_skull_Lore}"
"DOTA_Tooltip_Ability_item_sacred_skull_2_bonus_strength"                       "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_strength}"
"DOTA_Tooltip_Ability_item_sacred_skull_2_bonus_health"                         "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_health}"
"DOTA_Tooltip_Ability_item_sacred_skull_2_bonus_mana"                           "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_mana}"
"DOTA_Tooltip_Ability_item_sacred_skull_2_bonus_armor"                          "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_armor}"

"DOTA_Tooltip_Ability_item_sacred_skull_3"                                      "#{DOTA_Tooltip_Ability_item_sacred_skull}"
"DOTA_Tooltip_Ability_item_recipe_sacred_skull_3"                               "#{DOTA_Tooltip_Ability_item_recipe_sacred_skull}"
"DOTA_Tooltip_Ability_item_sacred_skull_3_Description"                          "#{DOTA_Tooltip_Ability_item_sacred_skull_Description}"
"DOTA_Tooltip_Ability_item_sacred_skull_3_Lore"                                 "#{DOTA_Tooltip_Ability_item_sacred_skull_Lore}"
"DOTA_Tooltip_Ability_item_sacred_skull_3_bonus_strength"                       "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_strength}"
"DOTA_Tooltip_Ability_item_sacred_skull_3_bonus_health"                         "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_health}"
"DOTA_Tooltip_Ability_item_sacred_skull_3_bonus_mana"                           "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_mana}"
"DOTA_Tooltip_Ability_item_sacred_skull_3_bonus_armor"                          "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_armor}"

"DOTA_Tooltip_Ability_item_sacred_skull_4"                                      "#{DOTA_Tooltip_Ability_item_sacred_skull}"
"DOTA_Tooltip_Ability_item_recipe_sacred_skull_4"                               "#{DOTA_Tooltip_Ability_item_recipe_sacred_skull}"
"DOTA_Tooltip_Ability_item_sacred_skull_4_Description"                          "#{DOTA_Tooltip_Ability_item_sacred_skull_Description}"
"DOTA_Tooltip_Ability_item_sacred_skull_4_Lore"                                 "#{DOTA_Tooltip_Ability_item_sacred_skull_Lore}"
"DOTA_Tooltip_Ability_item_sacred_skull_4_bonus_strength"                       "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_strength}"
"DOTA_Tooltip_Ability_item_sacred_skull_4_bonus_health"                         "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_health}"
"DOTA_Tooltip_Ability_item_sacred_skull_4_bonus_mana"                           "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_mana}"
"DOTA_Tooltip_Ability_item_sacred_skull_4_bonus_armor"                          "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_armor}"

"DOTA_Tooltip_Ability_item_sacred_skull_5"                                      "#{DOTA_Tooltip_Ability_item_sacred_skull}"
"DOTA_Tooltip_Ability_item_recipe_sacred_skull_5"                               "#{DOTA_Tooltip_Ability_item_recipe_sacred_skull}"
"DOTA_Tooltip_Ability_item_sacred_skull_5_Description"                          "#{DOTA_Tooltip_Ability_item_sacred_skull_Description}"
"DOTA_Tooltip_Ability_item_sacred_skull_5_Lore"                                 "#{DOTA_Tooltip_Ability_item_sacred_skull_Lore}"
"DOTA_Tooltip_Ability_item_sacred_skull_5_bonus_strength"                       "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_strength}"
"DOTA_Tooltip_Ability_item_sacred_skull_5_bonus_health"                         "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_health}"
"DOTA_Tooltip_Ability_item_sacred_skull_5_bonus_mana"                           "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_mana}"
"DOTA_Tooltip_Ability_item_sacred_skull_5_bonus_armor"                          "#{DOTA_Tooltip_Ability_item_sacred_skull_bonus_armor}"

"DOTA_Tooltip_modifier_item_sacred_skull_active"                                "#{DOTA_Tooltip_Ability_item_sacred_skull}"
"DOTA_Tooltip_modifier_item_sacred_skull_active_Description"                    "All damage is Physical. +%dMODIFIER_PROPERTY_MANA_BONUS% Mana and +%dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% spell amplification."
"DOTA_Tooltip_modifier_item_sacred_skull_armor_reduction_debuff"                "#{DOTA_Tooltip_Ability_item_sacred_skull}"
"DOTA_Tooltip_modifier_item_sacred_skull_armor_reduction_debuff_Description"    "Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
