//===============================================================================
// Sange and Yasha
//===============================================================================
//"DOTA_Tooltip_Ability_item_sange_and_yasha"                                 "Sange and Yasha"
"DOTA_Tooltip_Ability_item_recipe_sange_and_yasha"                              "Sange and Yasha Recipe"
//"DOTA_Tooltip_ability_item_sange_and_yasha_Lore"                            "Sange and Yasha, when attuned by the moonlight and used together, become a very powerful combination."
//"DOTA_Tooltip_ability_item_sange_and_yasha_bonus_damage"                    "+$damage"
//"DOTA_Tooltip_ability_item_sange_and_yasha_bonus_strength"                  "+$str"
//"DOTA_Tooltip_ability_item_sange_and_yasha_bonus_agility"                   "+$agi"
//"DOTA_Tooltip_ability_item_sange_and_yasha_bonus_attack_speed"              "+$attack"
//"DOTA_Tooltip_ability_item_sange_and_yasha_movement_speed_percent_bonus"    "+$move_speed"
//"DOTA_Tooltip_ability_item_sange_and_yasha_status_resistance"               "%+Status Resistance"
//"DOTA_Tooltip_ability_item_sange_and_yasha_hp_regen_amp"                    "%+Self HP Regen and Lifesteal Amp"

"DOTA_Tooltip_Ability_item_sange_and_yasha_2"                                   "#{DOTA_Tooltip_Ability_item_sange_and_yasha}"
"DOTA_Tooltip_Ability_item_recipe_sange_and_yasha_2"                            "#{DOTA_Tooltip_Ability_item_recipe_sange_and_yasha}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_2_Lore"                              "#{DOTA_Tooltip_ability_item_sange_and_yasha_Lore}"
//"DOTA_Tooltip_Ability_item_sange_and_yasha_2_bonus_damage"                      "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_damage}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_2_bonus_strength"                    "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_strength}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_2_bonus_agility"                     "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_agility}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_2_bonus_attack_speed"                "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_2_movement_speed_percent_bonus"      "#{DOTA_Tooltip_ability_item_sange_and_yasha_movement_speed_percent_bonus}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_2_status_resistance"                 "#{DOTA_Tooltip_ability_item_sange_and_yasha_status_resistance}"
"DOTA_Tooltip_ability_item_sange_and_yasha_2_hp_regen_amp"                      "#{DOTA_Tooltip_ability_item_sange_and_yasha_hp_regen_amp}"

"DOTA_Tooltip_Ability_item_sange_and_yasha_3"                                   "#{DOTA_Tooltip_Ability_item_sange_and_yasha}"
"DOTA_Tooltip_Ability_item_recipe_sange_and_yasha_3"                            "#{DOTA_Tooltip_Ability_item_recipe_sange_and_yasha}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_3_Lore"                              "#{DOTA_Tooltip_ability_item_sange_and_yasha_Lore}"
//"DOTA_Tooltip_Ability_item_sange_and_yasha_3_bonus_damage"                      "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_damage}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_3_bonus_strength"                    "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_strength}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_3_bonus_agility"                     "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_agility}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_3_bonus_attack_speed"                "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_3_movement_speed_percent_bonus"      "#{DOTA_Tooltip_ability_item_sange_and_yasha_movement_speed_percent_bonus}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_3_status_resistance"                 "#{DOTA_Tooltip_ability_item_sange_and_yasha_status_resistance}"
"DOTA_Tooltip_ability_item_sange_and_yasha_3_hp_regen_amp"                      "#{DOTA_Tooltip_ability_item_sange_and_yasha_hp_regen_amp}"

"DOTA_Tooltip_Ability_item_sange_and_yasha_4"                                   "#{DOTA_Tooltip_Ability_item_sange_and_yasha}"
"DOTA_Tooltip_Ability_item_recipe_sange_and_yasha_4"                            "#{DOTA_Tooltip_Ability_item_recipe_sange_and_yasha}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_4_Lore"                              "#{DOTA_Tooltip_ability_item_sange_and_yasha_Lore}"
//"DOTA_Tooltip_Ability_item_sange_and_yasha_4_bonus_damage"                      "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_damage}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_4_bonus_strength"                    "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_strength}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_4_bonus_agility"                     "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_agility}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_4_bonus_attack_speed"                "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_4_movement_speed_percent_bonus"      "#{DOTA_Tooltip_ability_item_sange_and_yasha_movement_speed_percent_bonus}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_4_status_resistance"                 "#{DOTA_Tooltip_ability_item_sange_and_yasha_status_resistance}"
"DOTA_Tooltip_ability_item_sange_and_yasha_4_hp_regen_amp"                      "#{DOTA_Tooltip_ability_item_sange_and_yasha_hp_regen_amp}"

"DOTA_Tooltip_Ability_item_sange_and_yasha_5"                                   "#{DOTA_Tooltip_Ability_item_sange_and_yasha}"
"DOTA_Tooltip_Ability_item_recipe_sange_and_yasha_5"                            "#{DOTA_Tooltip_Ability_item_recipe_sange_and_yasha}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_5_Lore"                              "#{DOTA_Tooltip_ability_item_sange_and_yasha_Lore}"
//"DOTA_Tooltip_Ability_item_sange_and_yasha_5_bonus_damage"                      "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_damage}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_5_bonus_strength"                    "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_strength}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_5_bonus_agility"                     "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_agility}"
"DOTA_Tooltip_Ability_item_sange_and_yasha_5_bonus_attack_speed"                "#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_attack_speed}"
