//=============================================================================+
// Shiva's Guard
//=============================================================================+
//"DOTA_Tooltip_ability_item_shivas_guard_Description"                            "<h1>Active: Arctic Blast</h1> Emits a freezing wave that deals %blast_damage% magical damage to enemies and slows their movement by %blast_movement_speed%%% for %blast_debuff_duration% seconds.<br><br>Radius: %blast_radius%\n\n<h1>Passive: Freezing Aura</h1> Reduces the attack speed of all enemies by %aura_attack_speed%. <br><br>Radius: %aura_radius%"
//"DOTA_Tooltip_ability_item_shivas_guard_Lore"                                   "Said to have belonged to a goddess, today it retains much of its former power."
// "DOTA_Tooltip_ability_item_shivas_guard_Note0"                                 "The wave extends at a speed of %blast_speed% to a max size of %blast_radius%."
// "DOTA_Tooltip_ability_item_shivas_guard_Note1"                                 "The Arctic Blast follows its caster."
// "DOTA_Tooltip_ability_item_shivas_guard_Note2"                                 "Multiple instances of Freezing Aura do not stack."
// "DOTA_Tooltip_ability_item_shivas_guard_Note3"                                 "AoE bonuses from multiple Chasm Stones or its upgrades do not stack."
"DOTA_Tooltip_Ability_item_shivas_guard_cooldown_tooltip"                       "Cooldown:"

// "DOTA_Tooltip_modifier_item_shivas_guard_aura"                                 "Freezing Aura"
// "DOTA_Tooltip_modifier_item_shivas_guard_aura_Description"                     "Attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
// "DOTA_Tooltip_modifier_item_shivas_guard_blast"                                "Arctic Blast"
// "DOTA_Tooltip_modifier_item_shivas_guard_blast_Description"                    "Movement speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"DOTA_Tooltip_Ability_item_shivas_guard_2"                                      "#{DOTA_Tooltip_Ability_item_shivas_guard}"
"DOTA_Tooltip_Ability_item_recipe_shivas_guard_2"                               "#{DOTA_Tooltip_Ability_item_recipe_shivas_guard}"
"DOTA_Tooltip_Ability_item_shivas_guard_2_Description"                          "#{DOTA_Tooltip_ability_item_shivas_guard_Description}"
"DOTA_Tooltip_Ability_item_shivas_guard_2_Lore"                                 "#{DOTA_Tooltip_ability_item_shivas_guard_Lore}"
"DOTA_Tooltip_Ability_item_shivas_guard_2_Note0"                                "#{DOTA_Tooltip_ability_item_shivas_guard_Note0}"
"DOTA_Tooltip_Ability_item_shivas_guard_2_Note1"                                "#{DOTA_Tooltip_ability_item_shivas_guard_Note1}"
"DOTA_Tooltip_ability_item_shivas_guard_2_Note2"                                "#{DOTA_Tooltip_ability_item_shivas_guard_Note2}"
"DOTA_Tooltip_Ability_item_shivas_guard_2_bonus_aoe"                            "#{DOTA_Tooltip_ability_item_shivas_guard_bonus_aoe}"
"DOTA_Tooltip_Ability_item_shivas_guard_2_bonus_armor"                          "#{DOTA_Tooltip_ability_item_shivas_guard_bonus_armor}"
