//==============================================================================
// Shroud of Shadows
//==============================================================================
"DOTA_Tooltip_Ability_item_shroud"                                          "Shroud of Shadows"
"DOTA_Tooltip_Ability_item_recipe_shroud"                                   "Shroud of Shadows Recipe"
"DOTA_Tooltip_Ability_item_shroud_Description"                              "<h1>Active: Shadow Form</h1> Target allied unit enters shadow form, gaining %active_magical_armor% bonus magic resistance, invisibility and immunity to physical damage for %duration% seconds. Units in shadow form are unable to attack."
"DOTA_Tooltip_Ability_item_shroud_Note0"                                    "Ends if the unit becomes Spell Immune, and will have no effect if it is already Spell Immune."
"DOTA_Tooltip_Ability_item_shroud_Note1"                                    "Shares cooldown with Ethereal Blade."
"DOTA_Tooltip_Ability_item_shroud_Note2"                                    "Using a Town Portal Scroll or Boots of Travel  will not dispel Shadow Form."
"DOTA_Tooltip_Ability_item_shroud_bonus_all_stats"                          "+$all"
"DOTA_Tooltip_Ability_item_shroud_Lore"                                     "Cape of Dark Reef's sole survivor, the unsung 13th."
"DOTA_Tooltip_Ability_item_shroud_bonus_attack_speed"                       "+$attack"
"DOTA_Tooltip_Ability_item_shroud_bonus_magical_armor"                      "%+$spell_resist"
//"DOTA_Tooltip_Ability_item_shroud_fade_delay"                               "SHADOW FADE TIME:"
//"DOTA_Tooltip_Ability_item_shroud_active_magical_armor"                     "%SHADOW MAGIC RESISTANCE:"
//"DOTA_Tooltip_Ability_item_shroud_duration"                                 "SHADOW DURATION:"

"DOTA_Tooltip_Ability_item_shroud_2"                                          "#{DOTA_Tooltip_Ability_item_shroud}"
"DOTA_Tooltip_Ability_item_recipe_shroud_2"                                   "#{DOTA_Tooltip_Ability_item_recipe_shroud}"
"DOTA_Tooltip_Ability_item_shroud_2_Description"                              "#{DOTA_Tooltip_Ability_item_shroud_Description}"
"DOTA_Tooltip_Ability_item_shroud_2_Note0"                                    "#{DOTA_Tooltip_Ability_item_shroud_Note0}"
"DOTA_Tooltip_Ability_item_shroud_2_Note1"                                    "#{DOTA_Tooltip_Ability_item_shroud_Note1}"
"DOTA_Tooltip_Ability_item_shroud_2_Note2"                                    "#{DOTA_Tooltip_Ability_item_shroud_Note2}"
"DOTA_Tooltip_Ability_item_shroud_2_bonus_all_stats"                          "#{DOTA_Tooltip_Ability_item_shroud_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_shroud_2_Lore"                                     "#{DOTA_Tooltip_Ability_item_shroud_Lore}"
"DOTA_Tooltip_Ability_item_shroud_2_bonus_attack_speed"                       "#{DOTA_Tooltip_Ability_item_shroud_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_shroud_2_bonus_magical_armor"                      "#{DOTA_Tooltip_Ability_item_shroud_bonus_magical_armor}"
//"DOTA_Tooltip_Ability_item_shroud_2_fade_delay"                               "SHADOW FADE TIME:"
//"DOTA_Tooltip_Ability_item_shroud_2_active_magical_armor"                     "%SHADOW MAGIC RESISTANCE:"
//"DOTA_Tooltip_Ability_item_shroud_2_duration"                                 "SHADOW DURATION:"

"DOTA_Tooltip_Ability_item_shroud_3"                                          "#{DOTA_Tooltip_Ability_item_shroud}"
"DOTA_Tooltip_Ability_item_recipe_shroud_3"                                   "#{DOTA_Tooltip_Ability_item_recipe_shroud}"
"DOTA_Tooltip_Ability_item_shroud_3_Description"                              "#{DOTA_Tooltip_Ability_item_shroud_Description}"
"DOTA_Tooltip_Ability_item_shroud_3_Note0"                                    "#{DOTA_Tooltip_Ability_item_shroud_Note0}"
"DOTA_Tooltip_Ability_item_shroud_3_Note1"                                    "#{DOTA_Tooltip_Ability_item_shroud_Note1}"
"DOTA_Tooltip_Ability_item_shroud_3_Note2"                                    "#{DOTA_Tooltip_Ability_item_shroud_Note2}"
"DOTA_Tooltip_Ability_item_shroud_3_bonus_all_stats"                          "#{DOTA_Tooltip_Ability_item_shroud_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_shroud_3_Lore"                                     "#{DOTA_Tooltip_Ability_item_shroud_Lore}"
"DOTA_Tooltip_Ability_item_shroud_3_bonus_attack_speed"                       "#{DOTA_Tooltip_Ability_item_shroud_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_shroud_3_bonus_magical_armor"                      "#{DOTA_Tooltip_Ability_item_shroud_bonus_magical_armor}"
//"DOTA_Tooltip_Ability_item_shroud_3_fade_delay"                               "SHADOW FADE TIME:"
//"DOTA_Tooltip_Ability_item_shroud_3_active_magical_armor"                     "%SHADOW MAGIC RESISTANCE:"
//"DOTA_Tooltip_Ability_item_shroud_3_duration"                                 "SHADOW DURATION:"

"DOTA_Tooltip_Ability_item_shroud_4"                                          "#{DOTA_Tooltip_Ability_item_shroud}"
"DOTA_Tooltip_Ability_item_recipe_shroud_4"                                   "#{DOTA_Tooltip_Ability_item_recipe_shroud}"
"DOTA_Tooltip_Ability_item_shroud_4_Description"                              "#{DOTA_Tooltip_Ability_item_shroud_Description}"
"DOTA_Tooltip_Ability_item_shroud_4_Note0"                                    "#{DOTA_Tooltip_Ability_item_shroud_Note0}"
"DOTA_Tooltip_Ability_item_shroud_4_Note1"                                    "#{DOTA_Tooltip_Ability_item_shroud_Note1}"
"DOTA_Tooltip_Ability_item_shroud_4_Note2"                                    "#{DOTA_Tooltip_Ability_item_shroud_Note2}"
"DOTA_Tooltip_Ability_item_shroud_4_bonus_all_stats"                          "#{DOTA_Tooltip_Ability_item_shroud_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_shroud_4_Lore"                                     "#{DOTA_Tooltip_Ability_item_shroud_Lore}"
"DOTA_Tooltip_Ability_item_shroud_4_bonus_attack_speed"                       "#{DOTA_Tooltip_Ability_item_shroud_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_shroud_4_bonus_magical_armor"                      "#{DOTA_Tooltip_Ability_item_shroud_bonus_magical_armor}"
//"DOTA_Tooltip_Ability_item_shroud_4_fade_delay"                               "SHADOW FADE TIME:"
//"DOTA_Tooltip_Ability_item_shroud_4_active_magical_armor"                     "%SHADOW MAGIC RESISTANCE:"
//"DOTA_Tooltip_Ability_item_shroud_4_duration"                                 "SHADOW DURATION:"
