//=============================================================================
// Solar Crest
//=============================================================================
//"DOTA_Tooltip_ability_item_solar_crest_Description"                             "<h1>Active: Shine</h1>When cast on an ally, grants them %target_armor% armor, %target_attack_speed% attack speed, %target_movement_speed%%% movement speed and a %absorb_amount% physical damage barrier. <br><br>Does not grant bonus armor, movement or attack speed if used on self. <br><br>Duration: %duration%"
//"DOTA_Tooltip_ability_item_solar_crest_Lore"                                    "A talisman forged to honor the daytime sky."

"DOTA_Tooltip_Ability_item_solar_crest_2"                                       "#{DOTA_Tooltip_Ability_item_solar_crest}"
"DOTA_Tooltip_Ability_item_recipe_solar_crest_2"                                "#{DOTA_Tooltip_Ability_item_recipe_solar_crest}"
"DOTA_Tooltip_Ability_item_solar_crest_2_Description"                           "#{DOTA_Tooltip_ability_item_solar_crest_Description}"
"DOTA_Tooltip_Ability_item_solar_crest_2_Lore"                                  "#{DOTA_Tooltip_ability_item_solar_crest_Lore}"
"DOTA_Tooltip_Ability_item_solar_crest_2_bonus_armor"                           "#{DOTA_Tooltip_ability_item_solar_crest_bonus_armor}"
"DOTA_Tooltip_ability_item_solar_crest_2_self_movement_speed"                   "#{DOTA_Tooltip_ability_item_solar_crest_self_movement_speed}"
"DOTA_Tooltip_ability_item_solar_crest_2_bonus_health"                          "#{DOTA_Tooltip_ability_item_solar_crest_bonus_health}"
"DOTA_Tooltip_ability_item_solar_crest_2_bonus_mana"                            "#{DOTA_Tooltip_ability_item_solar_crest_bonus_mana}"

"DOTA_Tooltip_Ability_item_solar_crest_3"                                       "#{DOTA_Tooltip_Ability_item_solar_crest}"
"DOTA_Tooltip_Ability_item_recipe_solar_crest_3"                                "#{DOTA_Tooltip_Ability_item_recipe_solar_crest}"
"DOTA_Tooltip_Ability_item_solar_crest_3_Description"                           "#{DOTA_Tooltip_ability_item_solar_crest_Description}"
"DOTA_Tooltip_Ability_item_solar_crest_3_Lore"                                  "#{DOTA_Tooltip_ability_item_solar_crest_Lore}"
"DOTA_Tooltip_Ability_item_solar_crest_3_bonus_armor"                           "#{DOTA_Tooltip_ability_item_solar_crest_bonus_armor}"
"DOTA_Tooltip_ability_item_solar_crest_3_self_movement_speed"                   "#{DOTA_Tooltip_ability_item_solar_crest_self_movement_speed}"
"DOTA_Tooltip_ability_item_solar_crest_3_bonus_health"                          "#{DOTA_Tooltip_ability_item_solar_crest_bonus_health}"
"DOTA_Tooltip_ability_item_solar_crest_3_bonus_mana"                            "#{DOTA_Tooltip_ability_item_solar_crest_bonus_mana}"

"DOTA_Tooltip_Ability_item_solar_crest_4"                                       "#{DOTA_Tooltip_Ability_item_solar_crest}"
"DOTA_Tooltip_Ability_item_recipe_solar_crest_4"                                "#{DOTA_Tooltip_Ability_item_recipe_solar_crest}"
"DOTA_Tooltip_Ability_item_solar_crest_4_Description"                           "#{DOTA_Tooltip_ability_item_solar_crest_Description}"
"DOTA_Tooltip_Ability_item_solar_crest_4_Lore"                                  "#{DOTA_Tooltip_ability_item_solar_crest_Lore}"
"DOTA_Tooltip_Ability_item_solar_crest_4_bonus_armor"                           "#{DOTA_Tooltip_ability_item_solar_crest_bonus_armor}"
"DOTA_Tooltip_ability_item_solar_crest_4_self_movement_speed"                   "#{DOTA_Tooltip_ability_item_solar_crest_self_movement_speed}"
"DOTA_Tooltip_ability_item_solar_crest_4_bonus_health"                          "#{DOTA_Tooltip_ability_item_solar_crest_bonus_health}"
"DOTA_Tooltip_ability_item_solar_crest_4_bonus_mana"                            "#{DOTA_Tooltip_ability_item_solar_crest_bonus_mana}"

"DOTA_Tooltip_Ability_item_solar_crest_5"                                       "#{DOTA_Tooltip_Ability_item_solar_crest}"
"DOTA_Tooltip_Ability_item_recipe_solar_crest_5"                                "#{DOTA_Tooltip_Ability_item_recipe_solar_crest}"
"DOTA_Tooltip_Ability_item_solar_crest_5_Description"                           "#{DOTA_Tooltip_ability_item_solar_crest_Description}"
"DOTA_Tooltip_Ability_item_solar_crest_5_Lore"                                  "#{DOTA_Tooltip_ability_item_solar_crest_Lore}"
"DOTA_Tooltip_Ability_item_solar_crest_5_bonus_armor"                           "#{DOTA_Tooltip_ability_item_solar_crest_bonus_armor}"
"DOTA_Tooltip_ability_item_solar_crest_5_self_movement_speed"                   "#{DOTA_Tooltip_ability_item_solar_crest_self_movement_speed}"
"DOTA_Tooltip_ability_item_solar_crest_5_bonus_health"                          "#{DOTA_Tooltip_ability_item_solar_crest_bonus_health}"
"DOTA_Tooltip_ability_item_solar_crest_5_bonus_mana"                            "#{DOTA_Tooltip_ability_item_solar_crest_bonus_mana}"
