//=============================================================================
// Sonic
//=============================================================================
"DOTA_Tooltip_Ability_item_sonic"                                               "Sonic Mask"
"DOTA_Tooltip_Ability_item_recipe_sonic"                                        "Sonic Mask Recipe"
"DOTA_Tooltip_Ability_item_sonic_Description"                                   "<h1>Active: Sonic Flight</h1> Grants flying movement, %active_speed_bonus%%% bonus move speed, %active_cast_speed%%% cast time reduction and makes you unslowable, unrootable and unleashable. Removes move speed limit. Lasts %duration% seconds."
"DOTA_Tooltip_Ability_item_sonic_Note0"                                         "Spells and items that apply roots, leashes and slows still apply their secondary effects if they have them (e.g. damage, disarm, reveal etc.)"
"DOTA_Tooltip_Ability_item_sonic_Note1"                                         "During Sonic Flight percentage move speed slows and flat attack speed slows have no effect."
"DOTA_Tooltip_Ability_item_sonic_bonus_movement_speed"                          "+$move_speed"
"DOTA_Tooltip_Ability_item_sonic_bonus_attack_speed"                            "+$attack"
"DOTA_Tooltip_Ability_item_sonic_bonus_agility"                                 "+$agi"
"DOTA_Tooltip_Ability_item_sonic_bonus_damage"                                  "+$damage"
"DOTA_Tooltip_Ability_item_sonic_Lore"                                          "Mask of some hedgehog that moved faster than light."

"DOTA_Tooltip_Ability_item_sonic_2"                                             "#{DOTA_Tooltip_Ability_item_sonic}"
"DOTA_Tooltip_Ability_item_recipe_sonic_2"                                      "#{DOTA_Tooltip_Ability_item_recipe_sonic}"
"DOTA_Tooltip_Ability_item_sonic_2_Description"                                 "#{DOTA_Tooltip_Ability_item_sonic_Description}"
"DOTA_Tooltip_Ability_item_sonic_2_Note0"                                       "#{DOTA_Tooltip_Ability_item_sonic_Note0}"
"DOTA_Tooltip_Ability_item_sonic_2_Note1"                                       "#{DOTA_Tooltip_Ability_item_sonic_Note1}"
"DOTA_Tooltip_Ability_item_sonic_2_bonus_movement_speed"                        "#{DOTA_Tooltip_Ability_item_sonic_bonus_movement_speed}"
"DOTA_Tooltip_Ability_item_sonic_2_bonus_attack_speed"                          "#{DOTA_Tooltip_Ability_item_sonic_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_sonic_2_bonus_agility"                               "#{DOTA_Tooltip_Ability_item_sonic_bonus_agility}"
"DOTA_Tooltip_Ability_item_sonic_2_bonus_damage"                                "#{DOTA_Tooltip_Ability_item_sonic_bonus_damage}"
"DOTA_Tooltip_Ability_item_sonic_2_Lore"                                        "#{DOTA_Tooltip_Ability_item_sonic_Lore}"

"dota_tooltip_modifier_sonic_fly"                                               "Sonic Flight"
"dota_tooltip_modifier_sonic_fly_Description"                                   "Flying, unslowable, unrootable, unleashable, bonus move and cast speed and no move speed limit."
