//==============================================================================
// Spell Breaker
//==============================================================================
//"DOTA_Tooltip_Ability_item_recipe_mage_slayer"                                  "Mage Slayer Recipe"
//"DOTA_Tooltip_Ability_item_mage_slayer"                                         "Mage Slayer"
//"DOTA_Tooltip_ability_item_mage_slayer_Description"                             "<h1>Passive: Mage Slayer</h1>Places a debuff when you attack enemies, dealing %dps% damage per second and causing them to do %spell_amp_debuff%%% less spell damage for %duration% seconds."
//"DOTA_Tooltip_ability_item_mage_slayer_Lore"                                    "Forged by a secret order in The Third Age of Praxa'cia to fell the False King."
//"DOTA_Tooltip_ability_item_mage_slayer_bonus_magical_armor"                     "%+$spell_resist"
//"DOTA_Tooltip_ability_item_mage_slayer_bonus_attack_speed"                      "+$attack"
//"DOTA_Tooltip_ability_item_mage_slayer_bonus_damage"                            "+$damage"
//"DOTA_Tooltip_ability_item_mage_slayer_bonus_mana_regen"                        "+$mana_regen"
//"DOTA_Tooltip_ability_item_mage_slayer_bonus_intellect"                         "+$int"

//"DOTA_Tooltip_modifier_item_mage_slayer_debuff"                                 "Mage Slayer"
"DOTA_Tooltip_modifier_item_mage_slayer_debuff_Description"                     "Takes damage over time. Reduced spell damage by %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%."

"DOTA_Tooltip_Ability_item_recipe_spell_breaker_1"                              "Spell Breaker Recipe"
"DOTA_Tooltip_Ability_item_spell_breaker_1"                                     "Spell Breaker"
"DOTA_Tooltip_Ability_item_spell_breaker_1_Description"                         "<h1>Active: Spell Jammer</h1>Applies Mage Slayer debuff and reduces AoE of spells by %aoe_decrease_percent%%% for %debuff_duration% seconds. Applies a mini-silence to the enemy when used.<br><br>Range: %abilitycastrange%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>\n\n#{DOTA_Tooltip_ability_item_mage_slayer_Description}"
"DOTA_Tooltip_Ability_item_spell_breaker_1_Lore"                                "Yoskreth's last resort for defeating Sahsk."
"DOTA_Tooltip_ability_item_spell_breaker_1_bonus_magical_armor"                 "%+$spell_resist"
"DOTA_Tooltip_ability_item_spell_breaker_1_bonus_attack_speed"                  "+$attack"
"DOTA_Tooltip_ability_item_spell_breaker_1_bonus_intellect"                     "+$int"
"DOTA_Tooltip_ability_item_spell_breaker_1_bonus_mana_regen"                    "+$mana_regen"
"DOTA_Tooltip_Ability_item_spell_breaker_1_bonus_attack_damage"                 "+$damage"

