//==========================================================================
// Spiked Mail
//==========================================================================
"DOTA_Tooltip_Ability_item_spiked_mail_1"                                       "Spiked Mail"
"DOTA_Tooltip_Ability_item_recipe_spiked_mail_1"                                "Spiked Mail Recipe"
"DOTA_Tooltip_Ability_item_spiked_mail_1_Description"                           "<h1>Active: Spiked</h1>For %duration% seconds, returns %active_reflection_pct%%% of the damage taken back to the unit that dealt the damage. <font color='#FFA500'>Can be used while stunned but not while hexed or muted.</font>\n<h1>Passive: Damage Return</h1>Every time you are damaged (with attacks or with <font color='#FFA500'>spells</font>), you return %passive_reflection_pct%%% of the damage taken back to the unit that dealt the damage. <font color='#FFA500'>Damage Return will pierce Debuff Immunity if the damage taken isn't Pure.</font>"
"DOTA_Tooltip_Ability_item_spiked_mail_1_Lore"                                  "Mail made from Zealot Scarab's carapace."
"DOTA_Tooltip_Ability_item_spiked_mail_1_Note0"                                 "Damage is calculated before reductions and amplifications. Damage type is the same as it was received."
"DOTA_Tooltip_Ability_item_spiked_mail_1_Note1"                                 "Spiked doesn't pierce Debuff Immunity, but Damage Return does."
"DOTA_Tooltip_Ability_item_spiked_mail_1_Note2"                                 "Shares cooldown with Blade Mail."
"DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_damage"                          "+$damage"
"DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_armor"                           "+$armor"
"DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_intellect"                       "+$int"

"DOTA_Tooltip_Ability_item_spiked_mail_2"                                       "#{DOTA_Tooltip_Ability_item_spiked_mail_1}"
"DOTA_Tooltip_Ability_item_recipe_spiked_mail_2"                                "#{DOTA_Tooltip_Ability_item_recipe_spiked_mail_1}"
"DOTA_Tooltip_Ability_item_spiked_mail_2_Description"                           "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Description}"
"DOTA_Tooltip_Ability_item_spiked_mail_2_Lore"                                  "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Lore}"
"DOTA_Tooltip_Ability_item_spiked_mail_2_Note0"                                 "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Note0}"
"DOTA_Tooltip_Ability_item_spiked_mail_2_Note1"                                 "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Note1}"
"DOTA_Tooltip_Ability_item_spiked_mail_2_Note2"                                 "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Note2}"
"DOTA_Tooltip_Ability_item_spiked_mail_2_bonus_damage"                          "#{DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_damage}"
"DOTA_Tooltip_Ability_item_spiked_mail_2_bonus_armor"                           "#{DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_armor}"
"DOTA_Tooltip_Ability_item_spiked_mail_2_bonus_intellect"                       "#{DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_intellect}"

"DOTA_Tooltip_Ability_item_spiked_mail_3"                                       "#{DOTA_Tooltip_Ability_item_spiked_mail_1}"
"DOTA_Tooltip_Ability_item_recipe_spiked_mail_3"                                "#{DOTA_Tooltip_Ability_item_recipe_spiked_mail_1}"
"DOTA_Tooltip_Ability_item_spiked_mail_3_Description"                           "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Description}"
"DOTA_Tooltip_Ability_item_spiked_mail_3_Lore"                                  "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Lore}"
"DOTA_Tooltip_Ability_item_spiked_mail_3_Note0"                                 "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Note0}"
"DOTA_Tooltip_Ability_item_spiked_mail_3_Note1"                                 "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Note1}"
"DOTA_Tooltip_Ability_item_spiked_mail_3_Note2"                                 "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Note2}"
"DOTA_Tooltip_Ability_item_spiked_mail_3_bonus_damage"                          "#{DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_damage}"
"DOTA_Tooltip_Ability_item_spiked_mail_3_bonus_armor"                           "#{DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_armor}"
"DOTA_Tooltip_Ability_item_spiked_mail_3_bonus_intellect"                       "#{DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_intellect}"

"DOTA_Tooltip_Ability_item_spiked_mail_4"                                       "#{DOTA_Tooltip_Ability_item_spiked_mail_1}"
"DOTA_Tooltip_Ability_item_recipe_spiked_mail_4"                                "#{DOTA_Tooltip_Ability_item_recipe_spiked_mail_1}"
"DOTA_Tooltip_Ability_item_spiked_mail_4_Description"                           "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Description}"
"DOTA_Tooltip_Ability_item_spiked_mail_4_Lore"                                  "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Lore}"
"DOTA_Tooltip_Ability_item_spiked_mail_4_Note0"                                 "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Note0}"
"DOTA_Tooltip_Ability_item_spiked_mail_4_Note1"                                 "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Note1}"
"DOTA_Tooltip_Ability_item_spiked_mail_4_Note2"                                 "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Note2}"
"DOTA_Tooltip_Ability_item_spiked_mail_4_bonus_damage"                          "#{DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_damage}"
"DOTA_Tooltip_Ability_item_spiked_mail_4_bonus_armor"                           "#{DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_armor}"
"DOTA_Tooltip_Ability_item_spiked_mail_4_bonus_intellect"                       "#{DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_intellect}"

"DOTA_Tooltip_Ability_item_spiked_mail_5"                                       "#{DOTA_Tooltip_Ability_item_spiked_mail_1}"
"DOTA_Tooltip_Ability_item_recipe_spiked_mail_5"                                "#{DOTA_Tooltip_Ability_item_recipe_spiked_mail_1}"
"DOTA_Tooltip_Ability_item_spiked_mail_5_Description"                           "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Description}"
"DOTA_Tooltip_Ability_item_spiked_mail_5_Lore"                                  "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Lore}"
"DOTA_Tooltip_Ability_item_spiked_mail_5_Note0"                                 "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Note0}"
"DOTA_Tooltip_Ability_item_spiked_mail_5_Note1"                                 "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Note1}"
"DOTA_Tooltip_Ability_item_spiked_mail_5_Note2"                                 "#{DOTA_Tooltip_Ability_item_spiked_mail_1_Note2}"
"DOTA_Tooltip_Ability_item_spiked_mail_5_bonus_damage"                          "#{DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_damage}"
"DOTA_Tooltip_Ability_item_spiked_mail_5_bonus_armor"                           "#{DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_armor}"
"DOTA_Tooltip_Ability_item_spiked_mail_5_bonus_intellect"                       "#{DOTA_Tooltip_Ability_item_spiked_mail_1_bonus_intellect}"

"DOTA_Tooltip_modifier_item_spiked_mail_active_return"                          "#{DOTA_Tooltip_Ability_item_spiked_mail_1}"
"DOTA_Tooltip_modifier_item_spiked_mail_active_return_Description"              "Returns a percent of the damage taken back to the damage dealer."
