//===================================================================================
// Spirit Vessel
//===================================================================================
// "DOTA_Tooltip_Ability_item_recipe_spirit_vessel"                               "Spirit Vessel Recipe"
// "DOTA_Tooltip_Ability_item_spirit_vessel"                                      "Spirit Vessel"
// "DOTA_Tooltip_ability_item_spirit_vessel_Description"                          "<h1>Active: Soul Release</h1> When used against enemies, it reduces health by %enemy_hp_drain%%% of current health per second, and reduces HP regeneration, healing, lifesteal and spell lifesteal by %hp_regen_reduction_enemy%%%. Deals %soul_damage_amount% damage per second. <br><br>When used on allies, it provides %soul_heal_amount% health regeneration per second. <br><br>Lasts %duration% seconds.  <br><br>Gains charges every time an enemy hero dies within %soul_radius% units.  Only the closest Spirit Vessel to the dying hero will gain a charge.<br><br>Cast Range: %abilitycastrange%"
// "DOTA_Tooltip_ability_item_spirit_vessel_lore"                                 "Forged by a god to entrap the soul of another."
// "DOTA_Tooltip_ability_item_spirit_vessel_bonus_health"                         "+$health"
// "DOTA_Tooltip_ability_item_spirit_vessel_bonus_mana_regen"                     "+$mana_regen"
// "DOTA_Tooltip_ability_item_spirit_vessel_bonus_all_stats"                      "+$all"
// "DOTA_Tooltip_ability_item_spirit_vessel_bonus_armor"                          "+$armor"
// "DOTA_Tooltip_ability_item_spirit_vessel_mana_regen"                           "+$mana_regen"

// "DOTA_Tooltip_modifier_item_spirit_vessel_heal"                                "Spirit Vessel Heal"
// "DOTA_Tooltip_modifier_item_spirit_vessel_heal_Description"                    "Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."
// "DOTA_Tooltip_modifier_item_spirit_vessel_damage"                              "Spirit Vessel Damage"
// "DOTA_Tooltip_modifier_item_spirit_vessel_damage_Description"                  "Losing %dMODIFIER_PROPERTY_TOOLTIP% HP plus %dMODIFIER_PROPERTY_TOOLTIP%%% of current health per second. All heals reduced by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%."
"DOTA_Tooltip_Ability_item_spirit_vessel_oaa"                                   "#{DOTA_Tooltip_Ability_item_spirit_vessel}"
"DOTA_Tooltip_Ability_item_recipe_spirit_vessel_oaa"                            "#{DOTA_Tooltip_Ability_item_recipe_spirit_vessel}"
"DOTA_Tooltip_ability_item_spirit_vessel_oaa_Description"                       "<h1>Active: Soul Release</h1> When used against enemies, it reduces health by %current_hp_as_dmg%%% of current health per second, and reduces HP regeneration and healing by %heal_reduction_with_charge%%%. Deals %soul_damage_amount% damage per second. <font color='#FFA500'>If used when at 0 charges, it will not do damage and heal reduction is decreased to %heal_reduction_no_charge%%%.</font> <br><br>When used on allies, it provides %soul_heal_amount% hp regen. <font color='#FFA500'>Effect is not removed upon taking damage.</font><br><br>Lasts %duration% seconds. <font color='#FFA500'>If used when at 0 charges, duration will be halved.</font> <br><br>Gains charges every time an enemy hero <font color='#FFA500'>or boss</font> dies within %soul_radius% units. <font color='#FFA500'>Every hero with a Spirit Vessel within range will gain charges.</font><br><br>Cast Range: %abilitycastrange%"
"DOTA_Tooltip_ability_item_spirit_vessel_oaa_lore"                              "#{DOTA_Tooltip_ability_item_spirit_vessel_lore}"
"DOTA_Tooltip_ability_item_spirit_vessel_oaa_bonus_health"                      "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_health}"
"DOTA_Tooltip_ability_item_spirit_vessel_oaa_bonus_mana_regen"                  "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_spirit_vessel_oaa_bonus_all_stats"                   "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_all_stats}"
"DOTA_Tooltip_ability_item_spirit_vessel_oaa_bonus_armor"                       "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_armor}"
"DOTA_Tooltip_ability_item_spirit_vessel_oaa_mana_regen"                        "#{DOTA_Tooltip_ability_item_spirit_vessel_mana_regen}"

"DOTA_Tooltip_Ability_item_spirit_vessel_2"                                     "#{DOTA_Tooltip_Ability_item_spirit_vessel}"
"DOTA_Tooltip_Ability_item_recipe_spirit_vessel_2"                              "#{DOTA_Tooltip_Ability_item_recipe_spirit_vessel}"
"DOTA_Tooltip_ability_item_spirit_vessel_2_Description"                         "#{DOTA_Tooltip_ability_item_spirit_vessel_oaa_Description}"
"DOTA_Tooltip_ability_item_spirit_vessel_2_lore"                                "#{DOTA_Tooltip_ability_item_spirit_vessel_lore}"
"DOTA_Tooltip_ability_item_spirit_vessel_2_bonus_health"                        "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_health}"
"DOTA_Tooltip_ability_item_spirit_vessel_2_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_spirit_vessel_2_bonus_all_stats"                     "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_all_stats}"
"DOTA_Tooltip_ability_item_spirit_vessel_2_bonus_armor"                         "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_armor}"
"DOTA_Tooltip_ability_item_spirit_vessel_2_mana_regen"                          "#{DOTA_Tooltip_ability_item_spirit_vessel_mana_regen}"

"DOTA_Tooltip_Ability_item_spirit_vessel_3"                                     "#{DOTA_Tooltip_Ability_item_spirit_vessel}"
"DOTA_Tooltip_Ability_item_recipe_spirit_vessel_3"                              "#{DOTA_Tooltip_Ability_item_recipe_spirit_vessel}"
"DOTA_Tooltip_ability_item_spirit_vessel_3_Description"                         "#{DOTA_Tooltip_ability_item_spirit_vessel_oaa_Description}"
"DOTA_Tooltip_ability_item_spirit_vessel_3_lore"                                "#{DOTA_Tooltip_ability_item_spirit_vessel_lore}"
"DOTA_Tooltip_ability_item_spirit_vessel_3_bonus_health"                        "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_health}"
"DOTA_Tooltip_ability_item_spirit_vessel_3_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_spirit_vessel_3_bonus_all_stats"                     "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_all_stats}"
"DOTA_Tooltip_ability_item_spirit_vessel_3_bonus_armor"                         "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_armor}"
"DOTA_Tooltip_ability_item_spirit_vessel_3_mana_regen"                          "#{DOTA_Tooltip_ability_item_spirit_vessel_mana_regen}"

"DOTA_Tooltip_Ability_item_spirit_vessel_4"                                     "#{DOTA_Tooltip_Ability_item_spirit_vessel}"
"DOTA_Tooltip_Ability_item_recipe_spirit_vessel_4"                              "#{DOTA_Tooltip_Ability_item_recipe_spirit_vessel}"
"DOTA_Tooltip_ability_item_spirit_vessel_4_Description"                         "#{DOTA_Tooltip_ability_item_spirit_vessel_oaa_Description}"
"DOTA_Tooltip_ability_item_spirit_vessel_4_lore"                                "#{DOTA_Tooltip_ability_item_spirit_vessel_lore}"
"DOTA_Tooltip_ability_item_spirit_vessel_4_bonus_health"                        "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_health}"
"DOTA_Tooltip_ability_item_spirit_vessel_4_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_spirit_vessel_4_bonus_all_stats"                     "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_all_stats}"
"DOTA_Tooltip_ability_item_spirit_vessel_4_bonus_armor"                         "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_armor}"
"DOTA_Tooltip_ability_item_spirit_vessel_4_mana_regen"                          "#{DOTA_Tooltip_ability_item_spirit_vessel_mana_regen}"

"DOTA_Tooltip_Ability_item_spirit_vessel_5"                                     "#{DOTA_Tooltip_Ability_item_spirit_vessel}"
"DOTA_Tooltip_Ability_item_recipe_spirit_vessel_5"                              "#{DOTA_Tooltip_Ability_item_recipe_spirit_vessel}"
"DOTA_Tooltip_ability_item_spirit_vessel_5_Description"                         "#{DOTA_Tooltip_ability_item_spirit_vessel_oaa_Description}"
"DOTA_Tooltip_ability_item_spirit_vessel_5_lore"                                "#{DOTA_Tooltip_ability_item_spirit_vessel_lore}"
"DOTA_Tooltip_ability_item_spirit_vessel_5_bonus_health"                        "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_health}"
"DOTA_Tooltip_ability_item_spirit_vessel_5_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_spirit_vessel_5_bonus_all_stats"                     "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_all_stats}"
"DOTA_Tooltip_ability_item_spirit_vessel_5_bonus_armor"                         "#{DOTA_Tooltip_ability_item_spirit_vessel_bonus_armor}"
"DOTA_Tooltip_ability_item_spirit_vessel_5_mana_regen"                          "#{DOTA_Tooltip_ability_item_spirit_vessel_mana_regen}"

"DOTA_Tooltip_modifier_spirit_vessel_oaa_buff"                                  "#{DOTA_Tooltip_modifier_item_spirit_vessel_heal}"
"DOTA_Tooltip_modifier_spirit_vessel_oaa_buff_Description"                      "#{DOTA_Tooltip_modifier_item_spirit_vessel_heal_Description}"
"DOTA_Tooltip_modifier_spirit_vessel_oaa_debuff_with_charge"                    "#{DOTA_Tooltip_modifier_item_spirit_vessel_damage}"
"DOTA_Tooltip_modifier_spirit_vessel_oaa_debuff_with_charge_Description"        "Taking damage and all heals reduced by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%."
"DOTA_Tooltip_modifier_spirit_vessel_oaa_debuff_no_charge"                      "#{DOTA_Tooltip_Ability_item_spirit_vessel}"
"DOTA_Tooltip_modifier_spirit_vessel_oaa_debuff_no_charge_Description"          "All heals reduced by %dMODIFIER_PROPERTY_HP_REGEN_AMPLIFY_PERCENTAGE%%%."
