//========================================================================================
// Stoneskin Armor
//========================================================================================
"DOTA_Tooltip_Ability_item_stoneskin"                                           "Stoneskin Armor"
"DOTA_Tooltip_Ability_item_stoneskin_Description"                               "<h1>Active: Stone Form</h1> Grants %stone_armor% armor, %knockback_resist%%% knockback resistance and %stone_deflect_chance%%% chance to fully block incoming ranged attacks but it reduces move speed limit to: caster's base move speed + %stone_max_move_speed_bonus%. Lasts %duration% seconds."
"DOTA_Tooltip_Ability_item_stoneskin_Lore"                                      "Massive and hefty rock armor bestows incredible defense on the user."
"DOTA_Tooltip_Ability_item_stoneskin_bonus_armor"                               "+$armor"
"DOTA_Tooltip_Ability_item_stoneskin_bonus_health_regen"                        "+$hp_regen"
"DOTA_Tooltip_Ability_item_stoneskin_bonus_status_resist"                       "%+$status_resist"

"DOTA_Tooltip_Ability_item_stoneskin_2"                                         "#{DOTA_Tooltip_Ability_item_stoneskin}"
"DOTA_Tooltip_Ability_item_stoneskin_2_Description"                             "#{DOTA_Tooltip_Ability_item_stoneskin_Description}"
"DOTA_Tooltip_Ability_item_stoneskin_2_Lore"                                    "#{DOTA_Tooltip_Ability_item_stoneskin_Lore}"
"DOTA_Tooltip_Ability_item_stoneskin_2_bonus_armor"                             "#{DOTA_Tooltip_Ability_item_stoneskin_bonus_armor}"
"DOTA_Tooltip_Ability_item_stoneskin_2_bonus_health_regen"                      "#{DOTA_Tooltip_Ability_item_stoneskin_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_stoneskin_2_bonus_status_resist"                     "#{DOTA_Tooltip_Ability_item_stoneskin_bonus_status_resist}"

"DOTA_Tooltip_modifier_item_stoneskin_stone_armor"                              "Stone Form"
"DOTA_Tooltip_modifier_item_stoneskin_stone_armor_Description"                  "Bonus knockback resistance, +%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor, some incoming attacks projectiles will do no damage and reduced move speed limit."
