//===============================================================================
// Blade of Judecca (Covfefe)
//===============================================================================
"DOTA_Tooltip_Ability_item_trumps_fists"                                    "Blade of Judecca"
"DOTA_Tooltip_Ability_item_recipe_trumps_fists"                             "Blade of Judecca Recipe"
"DOTA_Tooltip_Ability_item_trumps_fists_Description"                        "<h1>Passive: Frostburn</h1> Your attacks and spells apply a debuff that deals magic damage to the affected enemy every time they gain health. Damage is equal to %heal_prevent_percent%%% of the gained health. Debuff lasts for %heal_prevent_duration% seconds."//<br><br>The heal reduction decays linearly with the duration."
"DOTA_Tooltip_Ability_item_trumps_fists_Lore"                               "The ancient frozen hatred within this sacred blade has the power to cease bloodflow to the extremities of its victims."
"DOTA_Tooltip_Ability_item_trumps_fists_Note0"                              "Frostburn is not reducing healing, health regen and lifesteal, it's applying magic damage based on gained health. This also means that it doesn't stack with Eye of Skadi and Shiva's Guard."
"DOTA_Tooltip_Ability_item_trumps_fists_Note1"                              "Frostburn pierces spell immunity and it's not dispellable."
"DOTA_Tooltip_Ability_item_trumps_fists_Note2"                              "Frostburn duration is not affected by status resistance."
//"DOTA_Tooltip_Ability_item_trumps_fists_bonus_damage"                       "+$damage"
"DOTA_Tooltip_Ability_item_trumps_fists_bonus_all_stats"                    "+$all"
"DOTA_Tooltip_Ability_item_trumps_fists_bonus_health"                       "+$health"
"DOTA_Tooltip_Ability_item_trumps_fists_bonus_mana"                         "+$mana"
//"DOTA_Tooltip_Ability_item_trumps_fists_heal_prevent_percent"               "%HEAL PREVENT PERCENT:"

"DOTA_Tooltip_Ability_item_trumps_fists_2"                                  "#{DOTA_Tooltip_Ability_item_trumps_fists}"
"DOTA_Tooltip_Ability_item_recipe_trumps_fists_2"                           "#{DOTA_Tooltip_Ability_item_recipe_trumps_fists}"
"DOTA_Tooltip_Ability_item_trumps_fists_2_Description"                      "#{DOTA_Tooltip_Ability_item_trumps_fists_Description}"
"DOTA_Tooltip_Ability_item_trumps_fists_2_Lore"                             "#{DOTA_Tooltip_Ability_item_trumps_fists_Lore}"
"DOTA_Tooltip_Ability_item_trumps_fists_2_Note0"                            "#{DOTA_Tooltip_Ability_item_trumps_fists_Note0}"
"DOTA_Tooltip_Ability_item_trumps_fists_2_Note1"                            "#{DOTA_Tooltip_Ability_item_trumps_fists_Note1}"
"DOTA_Tooltip_Ability_item_trumps_fists_2_Note2"                            "#{DOTA_Tooltip_Ability_item_trumps_fists_Note2}"
//"DOTA_Tooltip_Ability_item_trumps_fists_2_bonus_damage"                     "#{DOTA_Tooltip_Ability_item_trumps_fists_bonus_damage}"
"DOTA_Tooltip_Ability_item_trumps_fists_2_bonus_all_stats"                  "#{DOTA_Tooltip_Ability_item_trumps_fists_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_trumps_fists_2_bonus_health"                     "#{DOTA_Tooltip_Ability_item_trumps_fists_bonus_health}"
"DOTA_Tooltip_Ability_item_trumps_fists_2_bonus_mana"                       "#{DOTA_Tooltip_Ability_item_trumps_fists_bonus_mana}"
//"DOTA_Tooltip_Ability_item_trumps_fists_2_heal_prevent_percent"             "%HEAL PREVENT PERCENT:"
