//==================================================================
// Aghanim's Scepter
//==================================================================
"DOTA_Tooltip_Ability_item_aghanims_scepter_1"                          "Aghanim's Scepter"
//"DOTA_Tooltip_Ability_item_ultimate_scepter_Description"                "<h1>Passive: Ability Upgrade</h1>Upgrades the ultimate, and some abilities, of all heroes."
//"DOTA_Tooltip_Ability_item_aghanims_scepter_1_Description"              "<h1>Passive: Ability Upgrade</h1>Upgrades the ultimate, and some abilities, of certain heroes."
"DOTA_Tooltip_Ability_item_aghanims_scepter_1_Lore"                     "The scepter of a wizard with demigod-like powers."
"DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_all_stats"          "+$all"
"DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_health"             "+$health"
"DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_mana"               "+$mana"

"DOTA_Tooltip_Ability_item_aghanims_scepter_2"                          "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1}"
"DOTA_Tooltip_Ability_item_recipe_aghanims_scepter_2"                   "Aghanim's Scepter Recipe"
"DOTA_Tooltip_Ability_item_aghanims_scepter_2_Description"              "#{DOTA_Tooltip_Ability_item_ultimate_scepter_Description}\n\n<h1>Passive: Talent Booster</h1>Enables both talent options for up to level %talent_level_tooltip%."
"DOTA_Tooltip_Ability_item_aghanims_scepter_2_Lore"                     "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_Lore}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_2_bonus_all_stats"          "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_2_bonus_health"             "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_health}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_2_bonus_mana"               "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_mana}"

"DOTA_Tooltip_Ability_item_aghanims_scepter_3"                          "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1}"
"DOTA_Tooltip_Ability_item_recipe_aghanims_scepter_3"                   "#{DOTA_Tooltip_Ability_item_recipe_aghanims_scepter_2}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_3_Description"              "#{DOTA_Tooltip_Ability_item_aghanims_scepter_2_Description}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_3_Lore"                     "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_Lore}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_3_bonus_all_stats"          "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_3_bonus_health"             "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_health}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_3_bonus_mana"               "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_mana}"

"DOTA_Tooltip_Ability_item_aghanims_scepter_4"                          "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1}"
"DOTA_Tooltip_Ability_item_recipe_aghanims_scepter_4"                   "#{DOTA_Tooltip_Ability_item_recipe_aghanims_scepter_2}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_4_Description"              "#{DOTA_Tooltip_Ability_item_aghanims_scepter_2_Description}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_4_Lore"                     "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_Lore}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_4_bonus_all_stats"          "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_4_bonus_health"             "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_health}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_4_bonus_mana"               "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_mana}"

"DOTA_Tooltip_Ability_item_aghanims_scepter_5"                          "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1}"
"DOTA_Tooltip_Ability_item_recipe_aghanims_scepter_5"                   "#{DOTA_Tooltip_Ability_item_recipe_aghanims_scepter_2}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_5_Description"              "#{DOTA_Tooltip_Ability_item_aghanims_scepter_2_Description}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_5_Lore"                     "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_Lore}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_5_bonus_all_stats"          "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_5_bonus_health"             "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_health}"
"DOTA_Tooltip_Ability_item_aghanims_scepter_5_bonus_mana"               "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1_bonus_mana}"

"DOTA_Tooltip_Ability_item_ultimate_scepter"                            "#{DOTA_Tooltip_Ability_item_aghanims_scepter_1}"
"DOTA_Tooltip_ability_item_ultimate_scepter_Description"                "#{DOTA_Tooltip_Ability_item_recipe_aghanims_scepter_2}"

"DOTA_Tooltip_Ability_item_ultimate_scepter_2"                          "Aghanim's Blessing"
"DOTA_Tooltip_Ability_item_recipe_ultimate_scepter_2"                   "Aghanim's Blessing Recipe"
"DOTA_Tooltip_ability_item_ultimate_scepter_2_Description"              "#{DOTA_Tooltip_Ability_item_ultimate_scepter_Description}\n\nCan be consumed but it doesn't provide stats and it doesn't enable non-learned talents!"
