//==========================================
// CORES
//==========================================
"DOTA_Tooltip_Ability_item_farming_core"                                        "Yearning Spark"
"DOTA_Tooltip_Ability_item_farming_core_Description"                            ""
"DOTA_Tooltip_Ability_item_farming_core_Note0"                                  ""
//"DOTA_Tooltip_Ability_item_farming_core_Note1"                                  "Maximum Sparks per player: 1"

"DOTA_Tooltip_Ability_item_upgrade_core"                                        "Upgrade Core 1"
"DOTA_Tooltip_Ability_item_upgrade_core_Description"                            "<font color='#FF0000'>Tier 1 Bosses and tier 1 capture points grant this item. Worth 2 #{oaa_core_points}.</font> <br><font color='#FFA500'>Cannot be purchased with gold!</font>"
//"<br>This item is used for upgrading items, up to Level 2.  give you an Upgrade Core 1."
"DOTA_Tooltip_Ability_item_upgrade_core_Note0"                                  "The level of a core depends upon the strength of the boss."
"DOTA_Tooltip_Ability_item_upgrade_core_Note1"                                  "Managing your cores and upgrading your items is essential to victory."

"DOTA_Tooltip_Ability_item_upgrade_core_2"                                      "Upgrade Core 2"
"DOTA_Tooltip_Ability_item_recipe_upgrade_core_2"                               "#{DOTA_Tooltip_Ability_item_upgrade_core_2} Recipe"
"DOTA_Tooltip_Ability_item_recipe_upgrade_core_2_Description"                   "Cannot be purchased!"
"DOTA_Tooltip_Ability_item_upgrade_core_2_Description"                          "<font color='#FF0000'>Tier 2 Bosses and tier 2 capture points grant this item. Worth 4 #{oaa_core_points}.</font> <br><font color='#FFA500'>Cannot be purchased with gold!</font>"
//"\n<h1>Use: Fission</h1> CHANNELED - After channeling for %channel_time% seconds, split this into %core_count% Level 1 Upgrade Cores. <font color='#FFA500'>This cannot be undone.</font>\nThis item is used for upgrading items, up to Level 3. Tier 2 Bosses and tier 2 capture points give you an Upgrade Core 2."
"DOTA_Tooltip_Ability_item_upgrade_core_2_Note0"                                "The level of a core depends upon the strength of the boss."
"DOTA_Tooltip_Ability_item_upgrade_core_2_Note1"                                "Managing your cores and upgrading your items is essential to victory."

"DOTA_Tooltip_Ability_item_upgrade_core_3"                                      "Upgrade Core 3"
"DOTA_Tooltip_Ability_item_recipe_upgrade_core_3"                               "#{DOTA_Tooltip_Ability_item_upgrade_core_3} Recipe"
"DOTA_Tooltip_Ability_item_recipe_upgrade_core_3_Description"                   "Cannot be purchased!"
"DOTA_Tooltip_Ability_item_upgrade_core_3_Description"                          "<font color='#FF0000'>Tier 3 Bosses and tier 3 capture points grant this item. Worth 8 #{oaa_core_points}.</font> <br><font color='#FFA500'>Cannot be purchased with gold!</font>"
//"\n<h1>Use: Fission</h1> CHANNELED - After channeling for %channel_time% seconds, split this into %core_count% Level 2 Upgrade Cores. <font color='#FFA500'>This cannot be undone.</font>\nThis item is used for upgrading items, up to Level 4. Tier 3 Bosses and tier 3 capture points give you an Upgrade Core 3."
"DOTA_Tooltip_Ability_item_upgrade_core_3_Note0"                                "The level of a core depends upon the strength of the boss."
"DOTA_Tooltip_Ability_item_upgrade_core_3_Note1"                                "Managing your cores and upgrading your items is essential to victory."

"DOTA_Tooltip_Ability_item_upgrade_core_4"                                      "Upgrade Core 4"
"DOTA_Tooltip_Ability_item_recipe_upgrade_core_4"                               "#{DOTA_Tooltip_Ability_item_upgrade_core_4} Recipe"
"DOTA_Tooltip_Ability_item_recipe_upgrade_core_4_Description"                   "Cannot be purchased!"
"DOTA_Tooltip_Ability_item_upgrade_core_4_Description"                          "<font color='#FF0000'>Tier 4 Bosses and tier 4 capture points grant this item. Worth 16 #{oaa_core_points}.</font> <br><font color='#FFA500'>Cannot be purchased with gold!</font>"
//"\n<h1>Use: Fission</h1> CHANNELED - After channeling for %channel_time% seconds, split this into %core_count% Level 3 Upgrade Cores. <font color='#FFA500'>This cannot be undone.</font>\nThis item is used for upgrading items, up to Level 5. Tier 4/5 Bosses and tier 4/5 capture points give you an Upgrade Core 4."
"DOTA_Tooltip_Ability_item_upgrade_core_4_Note0"                                "The level of a core depends upon the strength of the boss."
"DOTA_Tooltip_Ability_item_upgrade_core_4_Note1"                                "Managing your cores and upgrading your items is essential to victory."

"DOTA_Tooltip_Ability_item_upgrade_core_5"                                      "Upgrade Core 5"
"DOTA_Tooltip_Ability_item_recipe_upgrade_core_5"                               "#{DOTA_Tooltip_Ability_item_upgrade_core_5} Recipe"
"DOTA_Tooltip_Ability_item_upgrade_core_5_Description"                          "<font color='#FF0000'>Worth 32 #{oaa_core_points}.</font> <br><font color='#FFA500'>Cannot be purchased with gold! Can be disassembled always.</font>"
