//===================================================================================
// Urn of Shadows
//===================================================================================
// "DOTA_Tooltip_Ability_item_urn_of_shadows"                                     "Urn of Shadows"
// "DOTA_Tooltip_Ability_item_recipe_urn_of_shadows"                              "Urn of Shadows Recipe"
// "DOTA_Tooltip_ability_item_urn_of_shadows_Description"                         "<h1>Active: Soul Release</h1> Provides %soul_heal_amount% health regeneration when cast on allies, and deals %soul_damage_amount% damage per second when cast on enemies. <br><br>Lasts %duration% seconds.  <br><br>Gains charges every time an enemy hero dies within %soul_radius% units.  Only the closest Urn to the dying hero will gain a charge.<br><br>Cast Range: %abilitycastrange%"
// "DOTA_Tooltip_ability_item_urn_of_shadows_Note0"                               "Empty urns gain 2 charges."
// "DOTA_Tooltip_ability_item_urn_of_shadows_Note1"                               "If used on a hero with Soul Release already active on them, it will refresh its duration."
// "DOTA_Tooltip_ability_item_urn_of_shadows_Lore"                                "Contains the ashes of powerful demons."

// "DOTA_Tooltip_modifier_item_urn_heal"                                          "Soul Release"
// "DOTA_Tooltip_modifier_item_urn_heal_Description"                              "Regenerating %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP per second."
// "DOTA_Tooltip_modifier_item_urn_damage"                                        "Soul Release"
// "DOTA_Tooltip_modifier_item_urn_damage_Description"                            "Taking %dMODIFIER_PROPERTY_TOOLTIP% damage per second."

"DOTA_Tooltip_Ability_item_urn_of_shadows_oaa"                                  "#{DOTA_Tooltip_Ability_item_urn_of_shadows}"
"DOTA_Tooltip_Ability_item_recipe_urn_of_shadows_oaa"                           "#{DOTA_Tooltip_Ability_item_recipe_urn_of_shadows}"
"DOTA_Tooltip_ability_item_urn_of_shadows_oaa_Description"                      "<h1>Active: Soul Release</h1> Provides %soul_heal_amount% health regeneration when cast on allies, and deals %soul_damage_amount% damage per second when cast on enemies. <br><br>Lasts %duration% seconds. <br><br>Gains charges every time an enemy hero <font color='#FFA500'>or boss</font> dies within %soul_radius% units. <font color='#FFA500'>Every hero with an Urn of Shadows or Spirit Vessel within range will gain charges.</font> <br><br>Cast Range: %abilitycastrange%"
"DOTA_Tooltip_ability_item_urn_of_shadows_oaa_lore"                             "#{DOTA_Tooltip_ability_item_urn_of_shadows_lore}"
"DOTA_Tooltip_Ability_item_urn_of_shadows_oaa_Note0"                            "#{DOTA_Tooltip_ability_item_urn_of_shadows_Note0}"
"DOTA_Tooltip_Ability_item_urn_of_shadows_oaa_Note1"                            "#{DOTA_Tooltip_ability_item_urn_of_shadows_Note1}"
"DOTA_Tooltip_ability_item_urn_of_shadows_oaa_bonus_mana_regen"                 "+$mana_regen"
//"DOTA_Tooltip_ability_item_urn_of_shadows_oaa_bonus_all_stats"                  "+$all"
"DOTA_Tooltip_ability_item_urn_of_shadows_oaa_bonus_armor"                      "+$armor"
"DOTA_Tooltip_ability_item_urn_of_shadows_oaa_bonus_health"                     "+$health"

"DOTA_Tooltip_modifier_urn_of_shadows_oaa_buff"                                 "#{DOTA_Tooltip_Ability_item_urn_of_shadows_oaa}"
"DOTA_Tooltip_modifier_urn_of_shadows_oaa_buff_Description"                     "#{DOTA_Tooltip_modifier_item_urn_heal_Description}"
"DOTA_Tooltip_modifier_urn_of_shadows_oaa_debuff"                               "#{DOTA_Tooltip_Ability_item_urn_of_shadows_oaa}"
"DOTA_Tooltip_modifier_urn_of_shadows_oaa_debuff_Description"                   "Taking damage per second."
