"dota_tooltip_ability_item_vampire"                     "Vampire Tooth"
"dota_tooltip_ability_item_vampire_description"         "<h1>Toggle: #{dota_tooltip_modifier_item_vampire_active}</h1> When active, all sources of healing are disabled except for the lifesteal provided by this item."
"dota_tooltip_ability_item_vampire_Note0"               "#{transformation_note0}"
"dota_tooltip_ability_item_vampire_Note1"               "Other sources of lifesteal will also be disabled while #{dota_tooltip_modifier_item_vampire_active} is active."

"dota_tooltip_ability_item_vampire_2"                   "#{dota_tooltip_ability_item_vampire}"
"dota_tooltip_ability_item_vampire_2_description"       "#{dota_tooltip_ability_item_vampire_description}"
"dota_tooltip_ability_item_vampire_2_Note0"             "#{dota_tooltip_ability_item_vampire_Note0}"
"dota_tooltip_ability_item_vampire_2_Note1"             "#{dota_tooltip_ability_item_vampire_Note1}"

"dota_tooltip_modifier_item_vampire_active"             "Vampirism"
"dota_tooltip_modifier_item_vampire_active_description" "All healing is disabled except for lifesteal."
