//===================================================================
// Vladmir's Offering
//===================================================================
        "DOTA_Tooltip_Ability_item_vladmir"                                     "Vladmir's Offering"
        "DOTA_Tooltip_ability_item_vladmir_Description"                         "Passive: Vladmir's Aura - Grants lifesteal, health regeneration, mana regeneration, bonus attack damage, and armor to allies in a %aura_radius% radius.  The lifesteal percentage is based on whether the hero affected by the aura is melee or ranged.\n\nMultiple instances of Vladmir's Aura do not stack."
        "DOTA_Tooltip_ability_item_vladmir_Lore"                                "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_Note0"                               "Does not stack with armor auras from Ring of Basilius, Ring of Aquila, or Vladmir's Offering."
        "DOTA_Tooltip_ability_item_vladmir_bonus_all_stats"                     "+$all"
        "DOTA_Tooltip_ability_item_vladmir_hp_regen"                            "AURA HEALTH REGEN:"
        "DOTA_Tooltip_ability_item_vladmir_vampiric_aura"                       "%AURA MELEE LIFESTEAL:"
        "DOTA_Tooltip_ability_item_vladmir_vampiric_aura_ranged"                        "%AURA RANGED LIFESTEAL:"
        "DOTA_Tooltip_ability_item_vladmir_mana_regen_aura"                     "AURA MANA REGEN:"
        "DOTA_Tooltip_ability_item_vladmir_damage_aura"                         "%AURA BONUS ATTACK DAMAGE:"
        "DOTA_Tooltip_ability_item_vladmir_armor_aura"                          "AURA BONUS ARMOR:"
        "DOTA_Tooltip_ability_item_vladmir_aura_radius"                         "AURA RADIUS:"


        "DOTA_Tooltip_Ability_item_vladmir_2"                                     "Vladmir's Offering"
        "DOTA_Tooltip_Ability_item_recipe_vladmir_2"                                     "Vladmir's Offering Recipe"
        "DOTA_Tooltip_ability_item_vladmir_2_Description"                         "Passive: Vladmir's Aura - Grants lifesteal, health regeneration, mana regeneration, bonus attack damage, and armor to allies in a %aura_radius% radius.  The lifesteal percentage is based on whether the hero affected by the aura is melee or ranged.\n\nMultiple instances of Vladmir's Aura do not stack."
        "DOTA_Tooltip_ability_item_vladmir_2_Lore"                                "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_2_Note0"                               "Does not stack with armor auras from Ring of Basilius, Ring of Aquila, or Vladmir's Offering."
        "DOTA_Tooltip_ability_item_vladmir_2_bonus_all_stats"                     "+$all"
