//===================================================================
// Vladimir's Helm
//===================================================================
"DOTA_Tooltip_Ability_item_vlads_helm"                                      "Vladimir's Helm"
"DOTA_Tooltip_Ability_item_recipe_vlads_helm"                               "Vladimir's Helm Recipe"
"DOTA_Tooltip_Ability_item_vlads_helm_Description"                          "Active: Dominate - Take control of a non-hero, non-ancient target unit and sets its movement speed to %speed_base%. If a dominated creep's base health is naturally below the health minimum, its base health will be raised to the health minimum.\nPassive: Vladmir's Aura - Grants lifesteal, health regeneration, mana regeneration, bonus attack damage, and armor to allies in a %aura_radius% radius.  The lifesteal percentage is based on whether the hero affected by the aura is melee or ranged.\n\nMultiple instances of Vladmir's Aura do not stack."
"DOTA_Tooltip_Ability_item_vlads_helm_Lore"                                 "A cursed helm that once belonged to The Vampire Queen."
"DOTA_Tooltip_Ability_item_vlads_helm_Note0"                                "Does not stack with armor auras from Ring of Basilius, Ring of Aquila, or Vladmir's Offering."
"DOTA_Tooltip_Ability_item_vlads_helm_Note1"                                "Cannot dominate more than one unit at a time.  If a new unit is dominated, the old one will die."
"DOTA_Tooltip_Ability_item_vlads_helm_Note2"                                "Selling or upgrading Helm of the Dominator will cause dominated units to die."
"DOTA_Tooltip_Ability_item_vlads_helm_hp_regen"                             "AURA HEALTH REGEN:"
"DOTA_Tooltip_Ability_item_vlads_helm_vampiric_aura"                        "%AURA MELEE LIFESTEAL:"
"DOTA_Tooltip_Ability_item_vlads_helm_vampiric_aura_ranged"                 "%AURA RANGED LIFESTEAL:"
"DOTA_Tooltip_Ability_item_vlads_helm_mana_regen_aura"                      "AURA MANA REGEN:"
"DOTA_Tooltip_Ability_item_vlads_helm_damage_aura"                          "%AURA BONUS ATTACK DAMAGE:"
"DOTA_Tooltip_Ability_item_vlads_helm_armor_aura"                           "AURA BONUS ARMOR:"
"DOTA_Tooltip_Ability_item_vlads_helm_aura_radius"                          "AURA RADIUS:"
"DOTA_Tooltip_Ability_item_vlads_helm_attack_speed"                         "+$attack"
"DOTA_Tooltip_Ability_item_vlads_helm_attack_speed_aura"                    "AURA ATTACK SPEED:"
"DOTA_Tooltip_Ability_item_vlads_helm_hp_regen_aura"                        "AURA HEALTH REGEN:"
"DOTA_Tooltip_Ability_item_vlads_helm_bonus_stats"                          "+$all"
"DOTA_Tooltip_Ability_item_vlads_helm_health_min"                           "DOMINATED HEALTH MINIMUM:"
"DOTA_Tooltip_Ability_item_vlads_helm_speed_base"                           "CREEP MOVEMENT SPEED:"

"DOTA_Tooltip_Ability_item_vlads_helm_2"                                        "Vladimir's Helm"
"DOTA_Tooltip_Ability_item_recipe_vlads_helm_2"                             "Vladimir's Helm Recipe"
"DOTA_Tooltip_Ability_item_vlads_helm_2_Description"                            "Active: Dominate - Take control of a non-hero, non-ancient target unit and sets its movement speed to %speed_base%. If a dominated creep's base health is naturally below the health minimum, its base health will be raised to the health minimum.\nPassive: Vladmir's Aura - Grants lifesteal, health regeneration, mana regeneration, bonus attack damage, and armor to allies in a %aura_radius% radius.  The lifesteal percentage is based on whether the hero affected by the aura is melee or ranged.\n\nMultiple instances of Vladmir's Aura do not stack."
"DOTA_Tooltip_Ability_item_vlads_helm_2_Lore"                                   "A cursed helm that once belonged to The Vampire Queen."
"DOTA_Tooltip_Ability_item_vlads_helm_2_Note0"                              "Does not stack with armor auras from Ring of Basilius, Ring of Aquila, or Vladmir's Offering."
"DOTA_Tooltip_Ability_item_vlads_helm_2_Note1"                              "Cannot dominate more than one unit at a time.  If a new unit is dominated, the old one will die."
"DOTA_Tooltip_Ability_item_vlads_helm_2_Note2"                              "Selling or upgrading Helm of the Dominator will cause dominated units to die."
"DOTA_Tooltip_Ability_item_vlads_helm_2_hp_regen"                               "AURA HEALTH REGEN:"
"DOTA_Tooltip_Ability_item_vlads_helm_2_vampiric_aura"                      "%AURA MELEE LIFESTEAL:"
"DOTA_Tooltip_Ability_item_vlads_helm_2_vampiric_aura_ranged"                   "%AURA RANGED LIFESTEAL:"
"DOTA_Tooltip_Ability_item_vlads_helm_2_mana_regen_aura"                        "AURA MANA REGEN:"
"DOTA_Tooltip_Ability_item_vlads_helm_2_damage_aura"                            "%AURA BONUS ATTACK DAMAGE:"
"DOTA_Tooltip_Ability_item_vlads_helm_2_armor_aura"                         "AURA BONUS ARMOR:"
"DOTA_Tooltip_Ability_item_vlads_helm_2_aura_radius"                            "AURA RADIUS:"
"DOTA_Tooltip_Ability_item_vlads_helm_2_attack_speed"                           "+$attack"
"DOTA_Tooltip_Ability_item_vlads_helm_2_attack_speed_aura"                      "AURA ATTACK SPEED:"
"DOTA_Tooltip_Ability_item_vlads_helm_2_hp_regen_aura"                      "AURA HEALTH REGEN:"
"DOTA_Tooltip_Ability_item_vlads_helm_2_bonus_stats"                            "+$all"
"DOTA_Tooltip_Ability_item_vlads_helm_2_health_min"                         "DOMINATED HEALTH MINIMUM:"
"DOTA_Tooltip_Ability_item_vlads_helm_2_speed_base"                         "CREEP MOVEMENT SPEED:"
