"DOTA_Tooltip_Ability_item_ward_stack"                                          "Ward Stack"
"DOTA_Tooltip_Ability_item_ward_stack_description"                              "#{DOTA_Tooltip_ability_item_ward_dispenser_Description}\n\n<h1>Passive: Ward Factory</h1>Generates an observer ward every %observer_recharge% seconds up to a max stack of %observer_max%. Additionally, generates a sentry ward every %sentry_recharge% seconds up to a max stack of %sentry_max%. Ward Factory works in backpack.\n\n<h1>Passive: Support Aura</h1>Grants %aura_mana_regen% mana regeneration.<br>Radius: %aura_radius%"
"DOTA_Tooltip_Ability_item_ward_stack_bonus_health_regen"                       "+$hp_regen"
"DOTA_Tooltip_Ability_item_ward_stack_bonus_health"                             "+$health"
//"DOTA_Tooltip_Ability_item_ward_stack_bonus_all_stats"                          "+$all"

"DOTA_Tooltip_Ability_item_ward_stack_2"                                        "#{DOTA_Tooltip_Ability_item_ward_stack}"
"DOTA_Tooltip_Ability_item_ward_stack_2_description"                            "#{DOTA_Tooltip_Ability_item_ward_stack_description}"
"DOTA_Tooltip_Ability_item_ward_stack_2_bonus_health_regen"                     "#{DOTA_Tooltip_Ability_item_ward_stack_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_ward_stack_2_bonus_health"                           "#{DOTA_Tooltip_Ability_item_ward_stack_bonus_health}"
//"DOTA_Tooltip_Ability_item_ward_stack_2_bonus_all_stats"                        "#{DOTA_Tooltip_Ability_item_ward_stack_bonus_all_stats}"

"DOTA_Tooltip_Ability_item_ward_stack_3"                                        "#{DOTA_Tooltip_Ability_item_ward_stack}"
"DOTA_Tooltip_Ability_item_ward_stack_3_description"                            "#{DOTA_Tooltip_Ability_item_ward_stack_description}"
"DOTA_Tooltip_Ability_item_ward_stack_3_bonus_health_regen"                     "#{DOTA_Tooltip_Ability_item_ward_stack_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_ward_stack_3_bonus_health"                           "#{DOTA_Tooltip_Ability_item_ward_stack_bonus_health}"
//"DOTA_Tooltip_Ability_item_ward_stack_3_bonus_all_stats"                        "#{DOTA_Tooltip_Ability_item_ward_stack_bonus_all_stats}"

"DOTA_Tooltip_Ability_item_ward_stack_4"                                        "#{DOTA_Tooltip_Ability_item_ward_stack}"
"DOTA_Tooltip_Ability_item_ward_stack_4_description"                            "#{DOTA_Tooltip_Ability_item_ward_stack_description}"
"DOTA_Tooltip_Ability_item_ward_stack_4_bonus_health_regen"                     "#{DOTA_Tooltip_Ability_item_ward_stack_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_ward_stack_4_bonus_health"                           "#{DOTA_Tooltip_Ability_item_ward_stack_bonus_health}"
//"DOTA_Tooltip_Ability_item_ward_stack_4_bonus_all_stats"                        "#{DOTA_Tooltip_Ability_item_ward_stack_bonus_all_stats}"

"DOTA_Tooltip_Ability_item_ward_stack_5"                                        "#{DOTA_Tooltip_Ability_item_ward_stack}"
"DOTA_Tooltip_Ability_item_ward_stack_5_description"                            "#{DOTA_Tooltip_Ability_item_ward_stack_description}"
"DOTA_Tooltip_Ability_item_ward_stack_5_bonus_health_regen"                     "#{DOTA_Tooltip_Ability_item_ward_stack_bonus_health_regen}"
"DOTA_Tooltip_Ability_item_ward_stack_5_bonus_health"                           "#{DOTA_Tooltip_Ability_item_ward_stack_bonus_health}"
//"DOTA_Tooltip_Ability_item_ward_stack_5_bonus_all_stats"                        "#{DOTA_Tooltip_Ability_item_ward_stack_bonus_all_stats}"

"dota_tooltip_modifier_sentry_ward_recharger"                                   "Sentry Wards"
"dota_tooltip_modifier_sentry_ward_recharger_description"                       "Sentry ward count and recharge time for the Ward Stack"
"dota_tooltip_modifier_observer_ward_recharger"                                 "Observer Wards"
"dota_tooltip_modifier_observer_ward_recharger_description"                     "Observer ward count and recharge time for the Ward Stack"
"DOTA_Tooltip_modifier_item_ward_stack_aura"                                    "Ward Stack Aura"
"DOTA_Tooltip_modifier_item_ward_stack_aura_Description"                        "Mana regeneration increased by %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT%."

"oaa_hud_error_ward_stack"                                                      "Out of Wards. Generating more..."
