//==========================================================================
// Wind Waker
//==========================================================================
// "DOTA_Tooltip_Ability_item_wind_waker"                                         "Wind Waker"
// "DOTA_Tooltip_Ability_item_recipe_wind_waker"                                  "Wind Waker Recipe"
// "DOTA_Tooltip_ability_item_wind_waker_Description"                             "<h1>Active: Cyclone</h1> Sweeps a target unit up into a cyclone, making them invulnerable for %cyclone_duration% seconds. Cyclone can be cast on yourself, enemy units or allied units.<br><br>Enemy units take %tooltip_drop_damage% magical damage upon landing.<br><br>Range: %abilitycastrange%<br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
// "DOTA_Tooltip_ability_item_wind_waker_Lore"                                    "Proof enough to some that unseen forces manipulate the happenings of the material plane."
// "DOTA_Tooltip_ability_item_wind_waker_Note0"                                   "Cyclone can dispel some buffs and debuffs."
// "DOTA_Tooltip_ability_item_wind_waker_Note1"                                   "When cast on yourself, the cyclone can be moved anywhere at a speed of 360."
// "DOTA_Tooltip_ability_item_wind_waker_Note2"                                   "Cyclone duration is unaffected by status resistance."
// "DOTA_Tooltip_ability_item_wind_waker_bonus_movement_speed"                    "+$move_speed"
// "DOTA_Tooltip_ability_item_wind_waker_cast_range_bonus"                        "+$cast_range"
// "DOTA_Tooltip_ability_item_wind_waker_bonus_mana_regen"                        "+$mana_regen"
// "DOTA_Tooltip_ability_item_wind_waker_bonus_intellect"                         "+$int"

// "DOTA_Tooltip_modifier_wind_waker"                                             "Cyclone"
// "DOTA_Tooltip_modifier_wind_waker_Description"                                 "Swept up in a cyclone, you are invulnerable and unable to act."

"DOTA_Tooltip_Ability_item_wind_waker_2"                                        "#{DOTA_Tooltip_Ability_item_wind_waker}"
"DOTA_Tooltip_Ability_item_recipe_wind_waker_2"                                 "#{DOTA_Tooltip_Ability_item_recipe_wind_waker}"
"DOTA_Tooltip_ability_item_wind_waker_2_Description"                            "#{DOTA_Tooltip_ability_item_wind_waker_Description}"
"DOTA_Tooltip_ability_item_wind_waker_2_Lore"                                   "#{DOTA_Tooltip_ability_item_wind_waker_Lore}"
"DOTA_Tooltip_ability_item_wind_waker_2_Note0"                                  "#{DOTA_Tooltip_ability_item_wind_waker_Note0}"
"DOTA_Tooltip_ability_item_wind_waker_2_Note1"                                  "#{DOTA_Tooltip_ability_item_wind_waker_Note1}"
"DOTA_Tooltip_ability_item_wind_waker_2_bonus_intellect"                        "#{DOTA_Tooltip_ability_item_wind_waker_bonus_intellect}"
"DOTA_Tooltip_ability_item_wind_waker_2_bonus_mana_regen"                       "#{DOTA_Tooltip_ability_item_wind_waker_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_wind_waker_2_bonus_movement_speed"                   "#{DOTA_Tooltip_ability_item_wind_waker_bonus_movement_speed}"

"DOTA_Tooltip_Ability_item_wind_waker_3"                                        "#{DOTA_Tooltip_Ability_item_wind_waker}"
"DOTA_Tooltip_Ability_item_recipe_wind_waker_3"                                 "#{DOTA_Tooltip_Ability_item_recipe_wind_waker}"
"DOTA_Tooltip_ability_item_wind_waker_3_Description"                            "#{DOTA_Tooltip_ability_item_wind_waker_Description}"
"DOTA_Tooltip_ability_item_wind_waker_3_Lore"                                   "#{DOTA_Tooltip_ability_item_wind_waker_Lore}"
"DOTA_Tooltip_ability_item_wind_waker_3_Note0"                                  "#{DOTA_Tooltip_ability_item_wind_waker_Note0}"
"DOTA_Tooltip_ability_item_wind_waker_3_Note1"                                  "#{DOTA_Tooltip_ability_item_wind_waker_Note1}"
"DOTA_Tooltip_ability_item_wind_waker_3_bonus_intellect"                        "#{DOTA_Tooltip_ability_item_wind_waker_bonus_intellect}"
"DOTA_Tooltip_ability_item_wind_waker_3_bonus_mana_regen"                       "#{DOTA_Tooltip_ability_item_wind_waker_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_wind_waker_3_bonus_movement_speed"                   "#{DOTA_Tooltip_ability_item_wind_waker_bonus_movement_speed}"

"DOTA_Tooltip_Ability_item_wind_waker_4"                                        "#{DOTA_Tooltip_Ability_item_wind_waker}"
