
//"DOTA_Tooltip_Ability_item_yasha_and_kaya"                                  "Yasha and Kaya"
"DOTA_Tooltip_Ability_item_recipe_yasha_and_kaya"                           "Yasha and Kaya Recipe"
//"DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_intellect"                  "+$int"
//"DOTA_Tooltip_ability_item_yasha_and_kaya_spell_amp"                        "%+Spell Amplification"
//"DOTA_Tooltip_ability_item_yasha_and_kaya_manacost_reduction"               "%+Manacost and Manaloss Reduction"
//"DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_agility"                    "+$agi"
//"DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_attack_speed"               "+$attack"
//"DOTA_Tooltip_ability_item_yasha_and_kaya_movement_speed_percent_bonus"     "+$move_speed"

"DOTA_Tooltip_Ability_item_yasha_and_kaya_2"                                "#{DOTA_Tooltip_Ability_item_yasha_and_kaya}"
"DOTA_Tooltip_Ability_item_recipe_yasha_and_kaya_2"                         "#{DOTA_Tooltip_Ability_item_recipe_yasha_and_kaya}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_2_bonus_intellect"                "#{DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_intellect}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_2_bonus_agility"                  "#{DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_agility}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_2_spell_amp"                      "#{DOTA_Tooltip_ability_item_yasha_and_kaya_spell_amp}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_2_manacost_reduction"             "#{DOTA_Tooltip_ability_item_yasha_and_kaya_manacost_reduction}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_2_bonus_attack_speed"             "#{DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_2_movement_speed_percent_bonus"   "#{DOTA_Tooltip_ability_item_yasha_and_kaya_movement_speed_percent_bonus}"

