//========================================================================================
// Stoneskin Armor
//========================================================================================
"DOTA_Tooltip_Ability_item_stoneskin"                                       "Stoneskin Armor"
"DOTA_Tooltip_Ability_item_stoneskin_Description"                           "<h1>Active: Stone Skin</h1> Grants %stone_armor% armor, %stone_magic_resist%%% magic resistance, %stone_status_resist%%% status resistance and %stone_block_chance%%% chance to block ranged attacks. Lasts %duration% seconds."
"DOTA_Tooltip_Ability_item_stoneskin_Lore"                                  "Massive and hefty ice armor bestows incredible defense on the user."
//"DOTA_Tooltip_Ability_item_stoneskin_Note0"                                 "#{transformation_note0}"
"DOTA_Tooltip_Ability_item_stoneskin_Note0"                                 "Stone Skin ranged attack block chance is not evasion!"
"DOTA_Tooltip_Ability_item_stoneskin_bonus_armor"                           "+$armor"
"DOTA_Tooltip_Ability_item_stoneskin_bonus_intellect"                       "+$int"
"DOTA_Tooltip_Ability_item_stoneskin_hp_regen_amp"                          "%+Health Regen Amplification"

"DOTA_Tooltip_Ability_item_stoneskin_2"                                     "#{DOTA_Tooltip_Ability_item_stoneskin}"
"DOTA_Tooltip_Ability_item_stoneskin_2_Description"                         "#{DOTA_Tooltip_Ability_item_stoneskin_Description}"
"DOTA_Tooltip_Ability_item_stoneskin_2_Lore"                                "#{DOTA_Tooltip_Ability_item_stoneskin_Lore}"
"DOTA_Tooltip_Ability_item_stoneskin_2_Note0"                               "#{DOTA_Tooltip_Ability_item_stoneskin_Note0}"
"DOTA_Tooltip_Ability_item_stoneskin_2_bonus_armor"                         "#{DOTA_Tooltip_Ability_item_stoneskin_bonus_armor}"
"DOTA_Tooltip_Ability_item_stoneskin_2_bonus_intellect"                     "#{DOTA_Tooltip_Ability_item_stoneskin_bonus_intellect}"
"DOTA_Tooltip_Ability_item_stoneskin_2_hp_regen_amp"                        "#{DOTA_Tooltip_Ability_item_stoneskin_hp_regen_amp}"

"DOTA_Tooltip_modifier_item_stoneskin_stone_armor"                          "Stone Skin"
"DOTA_Tooltip_modifier_item_stoneskin_stone_armor_Description"              "Extra %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor, %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%% magic resistance, %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% status resistance and a chance to block ranged attacks."

