//==================================================================
// Vampire Fang
//==================================================================
"dota_tooltip_ability_item_vampire"                                             "Vampire Fang"
"dota_tooltip_ability_item_vampire_description"                                 "<h1>Active: Vampirism</h1> Grants %active_lifesteal_percent%%% lifesteal but during the day all other sources of healing are disabled. You also take %damage_per_second_pct%%% of current health in damage per second and lose bonus status resistance. Lasts %duration% seconds.\n<h1>Passive: Lifesteal</h1>Heals the attacker for %lifesteal_percent%%% of attack damage dealt."
"dota_tooltip_ability_item_vampire_Note0"                                       "Other sources of lifesteal will also be disabled while #{dota_tooltip_modifier_item_vampire_active} is active."
//"dota_tooltip_ability_item_vampire_Note1"                                       "#{transformation_note0}"
"dota_tooltip_ability_item_vampire_bonus_strength"                              "+$str"
"dota_tooltip_ability_item_vampire_bonus_damage"                                "+$damage"
"dota_tooltip_ability_item_vampire_bonus_attack_speed"                          "+$attack"
"dota_tooltip_ability_item_vampire_bonus_status_resistance"                     "+$status_resist"
"dota_tooltip_ability_item_vampire_Lore"                                        "A fang of fallen vampire that grants you vampire powers and weaknesses."

"dota_tooltip_ability_item_vampire_2"                                           "#{dota_tooltip_ability_item_vampire}"
"dota_tooltip_ability_item_vampire_2_description"                               "#{dota_tooltip_ability_item_vampire_description}"
//"dota_tooltip_ability_item_vampire_2_Note1"                                     "#{dota_tooltip_ability_item_vampire_Note1}"
"dota_tooltip_ability_item_vampire_2_Note0"                                     "#{dota_tooltip_ability_item_vampire_Note0}"
"dota_tooltip_ability_item_vampire_2_bonus_strength"                            "#{dota_tooltip_ability_item_vampire_bonus_strength}"
"dota_tooltip_ability_item_vampire_2_bonus_damage"                              "#{dota_tooltip_ability_item_vampire_bonus_damage}"
"dota_tooltip_ability_item_vampire_2_bonus_attack_speed"                        "#{dota_tooltip_ability_item_vampire_bonus_attack_speed}"
"dota_tooltip_ability_item_vampire_2_bonus_status_resistance"                   "#{dota_tooltip_ability_item_vampire_bonus_status_resistance}"
"dota_tooltip_ability_item_vampire_2_Lore"                                      "#{dota_tooltip_ability_item_vampire_Lore}"

"dota_tooltip_modifier_item_vampire_active"                                     "Vampirism"
"dota_tooltip_modifier_item_vampire_active_description"                         "During the day all healing is disabled except for lifesteal. Losing HP over time."
