//=============================================================================
// Magma Mage Boss
//=============================================================================
"npc_dota_creature_magma_mage_boss"                                             "Magma Mage"
"npc_dota_magma_mage_volcano"                                                   "Volcano"
"dota_tooltip_ability_boss_magma_mage_volcano"                                  "Volcano"
"dota_tooltip_ability_boss_magma_mage_volcano_description"                      "Volcanos violently erupt from the ground, dealing damage and stunning enemies. Growing pools of magma appear around volcanos that deal damage over time and heal the Magma Mage."
"dota_tooltip_ability_boss_magma_mage_volcano_torrents_casted"                  "NUMBER OF VOLCANOS:"
"dota_tooltip_ability_boss_magma_mage_volcano_torrent_stun_duration"            "STUN DURATION:"
"dota_tooltip_ability_boss_magma_mage_volcano_torrent_damage"                   "ERUPTION DAMAGE:"
"dota_tooltip_ability_boss_magma_mage_volcano_torrent_delay"                    "ERUPTION DELAY:"
"dota_tooltip_ability_boss_magma_mage_volcano_torrent_range"                    "SPAWN RADIUS:"
"dota_tooltip_ability_boss_magma_mage_volcano_totem_health"                     "VOLCANO HEALTH:"
"dota_tooltip_ability_boss_magma_mage_volcano_magma_damage_per_second"          "MAGMA DAMAGE PER SECOND:"
"dota_tooltip_ability_boss_magma_mage_volcano_magma_heal_per_second"            "MAGMA HEAL PER SECOND:"
