//=============================================================================
// Carapace abilities
//=============================================================================

"DOTA_Tooltip_Ability_boss_carapace_crystals"                               "Crystal Shell"
"DOTA_Tooltip_Ability_boss_carapace_crystals_Description"                   ""
"DOTA_Tooltip_Ability_boss_carapace_crystals_damage_amplification"       	"WOLF LIFETIME:"
"DOTA_Tooltip_Ability_boss_carapace_crystals_damage"               			"HOUNDS SPAWNED:"

"DOTA_Tooltip_Ability_boss_carapace_headbutt"                               "Headbutt"
"DOTA_Tooltip_Ability_boss_carapace_headbutt_Description"                   ""
"DOTA_Tooltip_Ability_boss_carapace_headbutt_slow_value"                 	""
"DOTA_Tooltip_Ability_boss_carapace_headbutt_slow_duration"               	""
"DOTA_Tooltip_Ability_boss_carapace_headbutt_self_stun"          			""
"DOTA_Tooltip_Ability_boss_carapace_headbutt_damage"                 		""
