//=============================================================================
// Swiper abilities
//=============================================================================


"DOTA_Tooltip_Ability_boss_swiper_thrust"                               "Thrust"
"DOTA_Tooltip_Ability_boss_swiper_thrust_Description"                   ""
"DOTA_Tooltip_Ability_boss_swiper_thrust_damage"               			""
"DOTA_Tooltip_Ability_boss_swiper_thrust_range"                 		""
"DOTA_Tooltip_Ability_boss_swiper_thrust_width"              			""

"DOTA_Tooltip_Ability_boss_swiper_reapers_rush"                               	"Reaper's Rush"
"DOTA_Tooltip_Ability_boss_swiper_reapers_rush_Description"                   	""
"DOTA_Tooltip_Ability_boss_swiper_reapers_rush_speed"                 			""
"DOTA_Tooltip_Ability_boss_swiper_reapers_rush_max_range"           			""
"DOTA_Tooltip_Ability_boss_swiper_reapers_rush_push_length"          			""
"DOTA_Tooltip_Ability_boss_swiper_reapers_rush_slow"             	 			""
"DOTA_Tooltip_Ability_boss_swiper_reapers_rush_slow_duration"             	 	""
"DOTA_Tooltip_Ability_boss_swiper_reapers_rush_max_damage"              		""
"DOTA_Tooltip_Ability_boss_swiper_reapers_rush_min_damage"             			""
"DOTA_Tooltip_Ability_boss_swiper_reapers_rush_radius"             				""

"DOTA_Tooltip_Ability_boss_swiper_frontswipe"                   			"Frontswipe"
"DOTA_Tooltip_Ability_boss_swiper_frontswipe_Description"       			""
"DOTA_Tooltip_Ability_boss_swiper_frontswipe_damage"            			""

"DOTA_Tooltip_Ability_boss_swiper_backswipe"                   				"Backswipe"
"DOTA_Tooltip_Ability_boss_swiper_backswipe_Description"       				""
"DOTA_Tooltip_Ability_boss_swiper_backswipe_damage"            				""
