//=============================================================================
// Alchemist Chemical Rage
//=============================================================================
// "DOTA_Tooltip_ability_alchemist_chemical_rage"                                 "Chemical Rage"
// "DOTA_Tooltip_ability_alchemist_chemical_rage_Description"                     "Alchemist causes his Ogre to enter a chemically induced rage, reducing base attack cooldown and increasing movement speed and health regeneration.\n\nDISPEL TYPE: Basic Dispel"
// "DOTA_Tooltip_ability_alchemist_chemical_rage_scepter_description"             "Alchemist melts down Aghanim's Scepter to grant an allied hero all Aghanim's Scepter upgrades. You will gain bonus damage and spell amplification for each gifted Scepter."
// "DOTA_Tooltip_ability_alchemist_chemical_rage_abilitydraft_note"               "Chemical Rage Aghanim's Scepter has been moved to Greevil's Greed for Ability Draft. Getting Aghanim's Scepter for Chemical Rage <b>does not</b> grant any bonuses."
// "DOTA_Tooltip_ability_alchemist_chemical_rage_Lore"                            "The brew Razzil gave to the Ogre during their prison bust has become a useful potion in the midst of combat."
// "DOTA_Tooltip_ability_alchemist_chemical_rage_Note0"                           "Has a %transformation_time% second transformation time, which can be used to dodge projectiles and stuns."
// "DOTA_Tooltip_ability_alchemist_chemical_rage_duration"                        "DURATION:"
// "DOTA_Tooltip_ability_alchemist_chemical_rage_base_attack_time"                "BASE ATTACK TIME:"
// "DOTA_Tooltip_ability_alchemist_chemical_rage_bonus_health_regen"              "BONUS HEALTH REGEN:"
// "DOTA_Tooltip_ability_alchemist_chemical_rage_bonus_movespeed"                 "BONUS MOVE SPEED:"
// "DOTA_Tooltip_ability_alchemist_chemical_rage_scepter_bonus_damage"            "SCEPTER BONUS DAMAGE:"
// "DOTA_Tooltip_ability_alchemist_chemical_rage_scepter_spell_amp"               "%SCEPTER SPELL AMP:"

"DOTA_Tooltip_ability_alchemist_chemical_rage_oaa"                              "#{DOTA_Tooltip_ability_alchemist_chemical_rage}"
"DOTA_Tooltip_ability_alchemist_chemical_rage_oaa_Description"                  "#{DOTA_Tooltip_ability_alchemist_chemical_rage_Description}"
"DOTA_Tooltip_ability_alchemist_chemical_rage_oaa_scepter_description"          "#{DOTA_Tooltip_ability_alchemist_chemical_rage_scepter_description}"
"DOTA_Tooltip_ability_alchemist_chemical_rage_oaa_Lore"                         "#{DOTA_Tooltip_ability_alchemist_chemical_rage_Lore}"
"DOTA_Tooltip_ability_alchemist_chemical_rage_oaa_Note0"                        "#{DOTA_Tooltip_ability_alchemist_chemical_rage_Note0}"
"DOTA_Tooltip_ability_alchemist_chemical_rage_oaa_duration"                     "#{DOTA_Tooltip_ability_alchemist_chemical_rage_duration}"
"DOTA_Tooltip_ability_alchemist_chemical_rage_oaa_base_attack_time"             "#{DOTA_Tooltip_ability_alchemist_chemical_rage_base_attack_time}"
"DOTA_Tooltip_ability_alchemist_chemical_rage_oaa_bonus_health_regen"           "#{DOTA_Tooltip_ability_alchemist_chemical_rage_bonus_health_regen}"
"DOTA_Tooltip_ability_alchemist_chemical_rage_oaa_bonus_movespeed"              "#{DOTA_Tooltip_ability_alchemist_chemical_rage_bonus_movespeed}"
"DOTA_Tooltip_ability_alchemist_chemical_rage_oaa_scepter_bonus_damage"         "#{DOTA_Tooltip_ability_alchemist_chemical_rage_scepter_bonus_damage}"
"DOTA_Tooltip_ability_alchemist_chemical_rage_oaa_scepter_spell_amp"            "#{DOTA_Tooltip_ability_alchemist_chemical_rage_scepter_spell_amp}"

"DOTA_Tooltip_ability_special_bonus_unique_alchemist_1_oaa"                     "#{DOTA_Tooltip_ability_alchemist_chemical_rage} Strong Dispels"
